Competition,Overall Rank,Overall Percentile,Dynamic Rank,Dynamic Percentile,Static Rank,Static Percentile,Cost Rank,Cost Percentile,Design Rank,Design Percentile,Business Rank,Business Percentile,Acceleration Rank,Acceleration Percentile,Maneuverability Rank,Maneuverability Percentile,Hill Climb/Sled Pull Rank,Hill Climb/Sled Pull Percentile,Suspension Rank,Suspension Percentile,Endurance Rank,Endurance Percentile,Num Cars
2024.1,9,84.7457627118644,1,98.30508474576271,7,88.13559322033898,19,67.79661016949152,6,89.83050847457628,22,62.71186440677966,1,98.30508474576271,2,96.61016949152543,1,98.30508474576271,5,91.52542372881356,19,67.79661016949152,59
2023.3,1,98.7012987012987,2,97.40259740259741,6,92.20779220779221,22,71.42857142857143,8,89.6103896103896,2,97.40259740259741,3,96.1038961038961,2,97.40259740259741,28,63.63636363636363,1,98.7012987012987,2,97.40259740259741,77
2023.2,6,93.02325581395348,7,91.86046511627907,10,88.37209302325581,47,45.348837209302324,3,96.51162790697676,9,89.53488372093024,5,94.18604651162791,4,95.34883720930233,11,87.20930232558139,17,80.23255813953489,4,95.34883720930233,86
2023.1,5,93.90243902439023,9,89.02439024390245,6,92.6829268292683,13,84.14634146341463,5,93.90243902439023,6,92.6829268292683,2,97.5609756097561,4,95.1219512195122,42,48.78048780487805,11,86.58536585365853,8,90.2439024390244,82
2022.3,5,88.63636363636364,3,93.18181818181817,10,77.27272727272727,12,72.72727272727273,13,70.45454545454545,2,95.45454545454545,3,93.18181818181817,3,93.18181818181817,6,86.36363636363636,11,75.0,8,81.81818181818183,44
2022.2,28,68.18181818181817,38,56.81818181818182,19,78.4090909090909,15,82.95454545454545,25,71.5909090909091,13,85.22727272727273,6,93.18181818181817,18,79.54545454545455,58,34.090909090909086,51,42.04545454545455,39,55.68181818181818,88
2022.1,12,87.09677419354838,44,52.68817204301075,5,94.6236559139785,13,86.02150537634408,6,93.54838709677419,7,92.47311827956989,4,95.6989247311828,30,67.74193548387096,54,41.935483870967744,40,56.98924731182796,12,87.09677419354838,93
2021.2,28,65.85365853658537,6,92.6829268292683,3,96.34146341463415,8,90.2439024390244,4,95.1219512195122,2,97.5609756097561,6,92.6829268292683,1,98.78048780487805,1,98.78048780487805,35,57.3170731707317,34,58.536585365853654,82
2021.1,34,0.0,34,0.0,2,94.11764705882352,3,91.17647058823529,4,88.23529411764706,1,97.05882352941177,34,0.0,34,0.0,34,0.0,34,0.0,34,0.0,34
2020.3,12,87.87878787878788,12,87.87878787878788,8,91.91919191919192,15,84.84848484848484,11,88.88888888888889,8,91.91919191919192,12,87.87878787878788,12,87.87878787878788,12,87.87878787878788,12,87.87878787878788,12,87.87878787878788,99
2020.2,9,91.0,9,91.0,7,93.0,11,89.0,8,92.0,3,97.0,9,91.0,9,91.0,9,91.0,9,91.0,9,91.0,100
2020.1,12,87.87878787878788,12,87.87878787878788,9,90.9090909090909,14,85.85858585858585,12,87.87878787878788,6,93.93939393939394,12,87.87878787878788,12,87.87878787878788,12,87.87878787878788,12,87.87878787878788,12,87.87878787878788,99
2019.3,11,88.54166666666666,11,88.54166666666666,14,85.41666666666666,25,73.95833333333334,20,79.16666666666666,13,86.45833333333334,1,98.95833333333334,41,57.291666666666664,4,95.83333333333334,34,64.58333333333334,15,84.375,96
2019.2,13,86.73469387755102,20,79.59183673469387,25,74.48979591836735,23,76.53061224489795,19,80.61224489795919,45,54.08163265306123,22,77.55102040816327,31,68.36734693877551,28,71.42857142857143,29,70.40816326530613,15,84.6938775510204,98
2019.1,31,67.70833333333334,10,89.58333333333334,10,89.58333333333334,20,79.16666666666666,12,87.5,16,83.33333333333334,8,91.66666666666666,35,63.541666666666664,35,63.541666666666664,6,93.75,64,33.33333333333333,96
2018.3,18,81.44329896907216,12,87.62886597938144,15,84.5360824742268,32,67.0103092783505,14,85.56701030927834,47,51.546391752577314,4,95.87628865979381,15,84.5360824742268,24,75.25773195876289,34,64.94845360824742,31,68.04123711340206,97
2018.2,23,75.78947368421053,17,82.10526315789474,9,90.52631578947368,43,54.736842105263165,3,96.84210526315789,40,57.89473684210527,10,89.47368421052632,25,73.68421052631578,17,82.10526315789474,54,43.15789473684211,40,57.89473684210527,95
2018.1,12,87.2340425531915,18,80.85106382978722,22,76.59574468085107,34,63.829787234042556,22,76.59574468085107,19,79.7872340425532,4,95.74468085106383,3,96.80851063829788,9,90.42553191489363,39,58.51063829787234,16,82.97872340425532,94
2017.3,,,,,,,,,,,,,,,,,,,,,,,
2017.2,8,92.5925925925926,11,89.81481481481481,44,59.25925925925925,77,28.703703703703702,22,79.62962962962963,67,37.96296296296296,11,89.81481481481481,6,94.44444444444444,40,62.96296296296296,14,87.03703703703704,8,92.5925925925926,108
2017.1,9,90.10989010989012,29,68.13186813186813,18,80.21978021978022,37,59.34065934065934,14,84.61538461538461,6,93.4065934065934,14,84.61538461538461,6,93.4065934065934,28,69.23076923076923,51,43.956043956043956,4,95.6043956043956,91
2016.3,23,76.53061224489795,5,94.89795918367348,14,85.71428571428571,27,72.44897959183673,15,84.6938775510204,7,92.85714285714286,3,96.93877551020408,22,77.55102040816327,4,95.91836734693877,26,73.46938775510205,50,48.97959183673469,98
2016.2,46,53.06122448979592,29,70.40816326530613,24,75.51020408163265,30,69.38775510204081,27,72.44897959183673,24,75.51020408163265,4,95.91836734693877,30,69.38775510204081,62,36.734693877551024,34,65.3061224489796,67,31.63265306122449,98
2016.1,23,76.76767676767676,24,75.75757575757575,11,88.88888888888889,29,70.70707070707071,13,86.86868686868688,6,93.93939393939394,8,91.91919191919192,32,67.67676767676768,31,68.68686868686868,39,60.60606060606061,40,59.59595959595959,99
2015.3,14,85.71428571428571,23,76.53061224489795,36,63.26530612244898,58,40.816326530612244,21,78.57142857142857,52,46.93877551020408,38,61.224489795918366,23,76.53061224489795,28,71.42857142857143,22,77.55102040816327,6,93.87755102040816,98
