Rank,Car No,School,Team,Overall Event,Overall Dynamic,Overall Static,Cost,Design,Sales Presentation,Acceleration,Land Manuverability,Hill Climb,Rock Crawl,Endurance,Tech Penalty,Event Penalty
1,57, Auburn University, Auburn University,855.28,250.87,216.17,71.92,108.25,36.00,69.63,74.42,64.33,42.49,388.24,0,
2,78, Oregon State Univ, Beaver Racing Orange,848.14,236.19,247.24,72.95,124.29,50.00,59.40,54.55,60.31,61.93,364.71,0,
3,27, SUNY - Stony Brook, Stony Brook Motorsports,839.79,230.31,233.00,62.02,124.98,46.00,66.32,64.80,60.31,38.88,376.47,0,
4,2, University of South Florida, No Bull,839.71,212.14,225.57,84.79,108.78,32.00,69.81,75.00,67.33,0.00,402.00,0,
5,1, Oregon State Univ, Beaver Racing Black,831.27,213.11,229.93,61.46,121.47,47.00,56.20,69.24,48.79,38.88,388.24,0,
6,85, Rochester Institute of Technology, RIT Tigers #1,825.46,222.85,199.61,45.34,113.27,41.00,67.34,72.33,63.39,19.78,403.00,0,
7,49, South Dakota Sch of Mines & Tech, Hardrocker Underclass Racing,825.33,214.69,222.41,64.08,113.33,45.00,66.32,70.72,57.52,20.13,388.24,0,
8,3, Queen's Univ-Ontario Canada, Queen's University,811.84,185.04,225.80,63.42,123.38,39.00,68.51,59.77,56.76,0.00,401.00,0,
9,101, University of Michigan-Ann Arbor, BG Racing,768.08,215.31,211.59,87.90,96.69,27.00,75.00,65.44,74.87,0.00,341.18,0,
10,97, University of Vermont, Catamount Racing,767.69,226.77,187.98,56.55,100.93,30.50,64.59,68.33,55.32,38.53,352.94,0,
11,7, South Dakota Sch of Mines & Tech, Hardrocker Racing,759.86,260.06,217.45,67.29,108.66,41.50,74.92,71.09,75.00,39.05,282.35,0,
12,94, Instituto Tecnologico de Chihuahua, Rhino Racing Team,735.12,182.49,246.75,89.37,123.38,34.00,59.55,61.34,61.60,0.00,305.88,0,
13,86, Rochester Institute of Technology, RIT Tigers #2,733.47,208.84,171.69,45.07,95.12,31.50,63.61,68.57,53.61,23.05,352.94,0,
14,20, Wichita State Univ, Shocker Racing #1,732.95,179.90,215.10,81.63,112.97,20.50,65.45,59.49,54.97,0.00,352.94,15,
15,69, SUNY - Buffalo, Team Raging Bull,722.39,173.11,208.10,70.09,109.51,28.50,68.63,61.05,43.42,0.00,341.18,0,
16,30, University of Illinois-Urbana-Champaign, Off-Road Illini,719.84,188.09,214.10,69.11,108.49,36.50,68.79,67.46,32.05,19.78,317.65,0,
17,19, University of Iowa, Hawkeye motorsports,711.56,219.83,221.14,76.90,103.74,40.50,62.69,53.80,64.81,38.53,270.59,0,
18,10, LeTourneau Univ, Lightning,710.03,120.92,224.40,52.69,125.21,46.50,68.92,0.00,52.01,0.00,364.71,0,
19,73, Michigan Tech Univ, Blizzard Baja Black,705.93,178.99,232.82,72.42,123.90,36.50,66.88,45.65,47.20,19.27,294.12,0,
20,5, LeTourneau Univ, Orion,703.17,189.98,219.08,49.72,123.36,46.00,71.65,62.29,56.03,0.00,294.12,0,
21,4, Michigan State Univ, Spartan Offroad Racing 1,689.63,170.62,213.13,74.30,109.33,29.50,74.00,72.02,5.33,19.27,305.88,0,
22,48, Michigan State Univ, Spartan Offroad Racing 2,678.30,137.63,223.02,72.70,110.82,39.50,60.08,64.73,4.22,8.60,317.65,0,
23,98, Northeastern Univ, SkunkWorks,668.32,231.15,188.35,33.44,117.91,37.00,65.57,69.31,55.67,40.60,258.82,10,
24,51, Universidad La Salle, Aguilas La Salle,654.15,160.78,244.55,99.00,105.55,40.00,64.71,32.66,53.94,9.46,258.82,10,
