Rank,Car,School,Team,Overall Score,Overall Dynamic,Overall Static,Cost,Design,Business Presentation (50),Accel,Maneuverability (75),Sled Pull,S & T,Endurance,Penalties,"Technical 
Inspection",Water,Mud Bog
1,3,Universite De Sherbrooke,Sherbrooke Racing Team,904.74,162.62,264.73,77.73,187.00,,58.33,,44.32,59.97,400.00,,0.00,51.65,25.74
2,1,Tennessee Tech Univ,TTU Baja,883.12,177.75,251.45,77.45,174.00,,58.58,,59.90,59.27,365.22,,0.00,60.00,28.70
3,21,Ecole De Technologie Superieure,ETS,819.81,167.35,239.75,81.75,158.00,,56.19,,54.94,56.22,330.43,,-15.00,45.79,51.49
4,9,Bucknell University,Bison Racing,808.58,105.87,217.72,65.72,152.00,,53.56,,21.33,30.98,382.61,,0.00,50.74,51.63
5,10,Northeastern Univ,SkunkWorks,791.23,147.98,220.63,42.63,178.00,,52.84,,37.89,57.25,347.83,,0.00,55.95,18.85
6,8,University of South Florida,No Bull,789.51,129.39,238.83,82.83,156.00,,54.51,,15.00,59.88,365.22,,0.00,36.61,19.47
7,4,Queen's University Ontario Canada,Queen's University,768.38,144.68,244.97,58.97,186.00,,56.66,,31.85,56.17,295.65,,0.00,43.39,39.69
8,22,Michigan State Univ,Spartan Offroad Racing 1,753.53,137.22,238.57,73.57,165.00,,50.93,,27.86,58.43,313.04,,-15.00,50.91,28.78
9,44,West Virginia University,WVU,733.32,158.58,165.08,31.08,134.00,,54.03,,47.53,57.02,330.43,,-15.00,41.82,52.40
10,14,University of Michigan-Dearborn,UM Dearborn,716.99,132.57,277.00,100.00,177.00,,52.84,,24.94,54.79,243.48,,-15.00,33.06,45.90
11,6,Louisiana State Univ,LSU Tigers,709.01,163.64,178.04,47.04,131.00,,49.96,,57.56,56.12,278.26,,-15.00,47.93,56.13
12,63,University of Michigan-Ann Arbor,Wolverine Racing,682.65,168.69,241.99,78.99,163.00,,58.82,,50.75,59.12,243.48,,0.00,0.00,28.49
13,50,Cep de Drummondville,Beavers,669.24,130.17,200.63,64.63,136.00,,53.31,,33.12,43.74,278.26,,-25.00,31.90,53.28
14,34,Central Michigan Univ,Chippewa Performance,658.83,99.24,207.70,65.70,142.00,,49.01,,7.31,42.92,295.65,,0.00,34.55,21.70
