Rank,Car,School,Team,Overall Event,Overall Dynamic,Overall Static,Cost,Design,Business Presentation (50),Acceleration,Land Manuverability,Hill Climb,Suspension & Traction,Endurance Race,Tech Penalty,Event Penalty
1,5, Centro Universitario Da FEI, FEI BAJA 1,936.61,283.50,260.38,91.38,169.00,,70.891,70.54,75.00,67.07,392.73,0,
2,2, Universite de Sherbrooke, Sherbrooke Racing Team,918.48,272.30,252.18,81.18,171.00,,65.975,69.10,62.23,75.00,404.00,10,
3,54, Tennessee Tech Univ, TTU Baja,885.86,259.53,234.33,81.33,153.00,,64.739,66.39,55.01,73.39,402.00,10,
4,9, Michigan State Univ, Spartan Offroad Racing 1,883.81,251.96,230.85,74.85,156.00,,72.681,62.61,43.94,72.73,401.00,0,
5,46, Univ of Florida, gator motorsports,882.32,245.63,243.96,83.96,160.00,,65.017,55.76,56.60,68.25,392.73,0,
6,70, Univ of Michigan - Ann Arbor, BG Racing,877.85,272.65,227.02,86.02,141.00,,70.160,62.23,68.64,71.62,378.18,0,
7,4, Univ of South Florida, No Bull,875.04,267.88,214.43,85.43,129.00,,70.210,69.40,55.31,72.96,392.73,0,
8,20, Queen's Univ - Ontario Canada, Queen's University,863.95,254.46,231.31,65.31,166.00,,69.882,64.30,48.66,71.62,378.18,0,
9,13, LeTourneau Univ, Lightning,863.40,282.82,209.67,61.67,148.00,,70.008,68.37,73.81,70.63,370.91,0,
10,47, Ecole De Technologie Superieure, ETS,862.78,252.92,248.95,78.95,170.00,,56.723,66.52,56.08,73.60,370.91,10,
11,75, Cornell Univ, Cornell Baja SAE,853.39,259.08,237.95,71.95,166.00,,63.857,65.70,57.95,71.57,356.36,0,
12,3, Auburn Univ, Auburn University,841.96,247.58,218.93,72.93,146.00,,62.622,67.09,49.13,68.74,385.45,10,
13,59, Universidad De La Salle Bajio, De La Salle Bajio,840.95,260.57,209.47,81.47,128.00,,64.689,64.14,61.04,70.70,370.91,0,
14,37, Univ of Iowa, Hawkeye Motorsports,839.74,229.31,224.98,76.98,148.00,,48.378,50.33,60.68,69.92,385.45,0,
15,71, Univ of Michigan - Ann Arbor, Thunder,838.94,251.36,223.94,85.94,138.00,,62.269,65.26,57.13,66.70,363.64,0,
16,43, SUNY - Buffalo, Team Night_Rider,835.34,210.51,221.83,74.83,147.00,,70.739,62.79,6.17,70.81,403.00,0,
17,6, LeTourneau Univ, Orion,826.04,278.76,220.00,59.00,161.00,,72.555,68.10,64.07,74.04,327.27,0,
18,134, Tennessee Tech Univ, We Built it R Selves,822.24,238.74,227.14,83.14,144.00,,66.076,61.87,48.89,61.90,356.36,0,
19,1, Oregon State Univ, OSU Orange,817.35,263.61,233.74,59.74,174.00,,64.084,75.00,59.20,65.33,320.00,0,
20,50, SUNY - Stony Brook, Stony Brook Motorsports,813.44,236.28,228.07,64.07,164.00,,62.420,57.56,60.92,55.38,349.09,0,
21,116, Rochester Institute of Technology, RIT Tigers #1,808.08,251.96,202.49,48.49,154.00,,62.395,65.67,51.33,72.56,363.64,10,
22,11, Escola de Eng de Sao Carlos USP, EESC USP BAJA,805.62,268.04,253.94,85.94,168.00,,74.143,69.03,49.90,74.97,283.64,0,
23,55, Univ of Illinois - Urbana Champaign, Off-Road Illini,805.44,208.04,219.22,73.22,146.00,,68.092,68.87,5.63,65.45,378.18,0,
24,10, Northeastern Univ, SkunkWorks,800.84,229.42,185.97,34.97,151.00,,66.227,63.63,41.05,58.51,385.45,0,
25,7, Univ of Wisconsin - Madison, Red,799.36,227.17,223.10,82.10,141.00,,61.992,49.52,52.22,63.44,349.09,0,
26,16, Univ of Maryland - College Park, Terps Racing,797.71,254.25,223.46,78.46,145.00,,65.496,56.94,60.68,71.13,320.00,0,
27,72, North Carolina State Univ - Raleigh, Wolfpack Motorsports,797.38,269.52,207.87,79.87,128.00,,66.655,61.26,68.56,73.04,320.00,0,
28,44, Virginia Tech, Virginia Tech,787.37,232.18,220.64,71.64,149.00,,62.546,54.92,56.13,58.58,334.55,0,
29,38, Univ of Windsor, Lancers,780.87,189.93,215.49,50.49,165.00,,59.697,60.34,8.99,60.90,385.45,10,
30,25, Worcester Polytechnic Inst, WPI Mini Baja,772.73,213.00,203.37,49.37,154.00,,44.168,58.69,43.15,66.99,356.36,0,
31,87, Univ of Calgary, Bus of Death,765.87,231.60,177.91,80.91,97.00,,56.748,63.85,40.05,70.95,356.36,0,
32,26, Univ of Michigan - Dearborn, UM Dearborn,763.94,186.11,243.28,99.28,144.00,,68.849,58.33,54.66,4.27,334.55,0,
33,12, Universidade Federal de Minas Gerais, DEMEC 09,751.26,253.10,235.43,85.43,150.00,,75.000,64.11,41.14,72.85,312.73,50,
34,118, Univ of Wisconsin - Madison, Black,748.65,172.30,219.99,79.99,140.00,,51.706,51.52,3.50,65.57,356.36,0,
35,128, Univ of Maryland - Baltimore County, Nothing Matters,744.55,174.19,214.00,97.00,117.00,,62.395,60.95,46.57,4.27,356.36,0,
36,18, Concordia Univ, Concordia Motorsports,738.90,209.39,194.96,78.96,116.00,,54.933,49.58,48.08,56.80,334.55,0,
37,78, Universite Laval, alerion,736.10,201.11,171.35,63.35,108.00,,59.319,65.43,4.35,72.01,363.64,0,
38,133, Instituto Tecnologico de Queretaro, Zorros,722.69,174.93,198.67,76.67,122.00,,47.168,56.65,8.15,62.96,349.09,0,
39,107, Ohio State Univ, OSU Baja Buckeyes,719.67,196.62,181.23,64.23,117.00,,34.639,55.41,45.90,60.67,341.82,0,
40,90, Conestoga College, Team Cobra,717.87,196.48,165.03,52.03,113.00,,51.101,49.35,32.69,63.34,356.36,0,
41,76, Universidad Catolica Andres Bello, Baja UCAB,717.52,187.27,212.98,78.98,134.00,,60.529,51.57,4.43,70.74,327.27,10,
42,24, Penn State Univ - Altoona, Nittany Lions,713.77,216.85,140.56,31.56,109.00,,58.739,52.14,40.45,65.52,356.36,0,
43,62, Michigan Tech Univ, Blizzard Baja Black,713.36,235.72,215.82,72.82,143.00,,58.992,58.11,48.93,69.69,261.82,0,
44,117, Rochester Institute of Technology, RIT Tigers #2,701.42,228.72,177.25,48.25,129.00,,59.395,62.08,41.76,65.49,305.45,10,
45,95, Grand Valley State Univ, Laker Racers,699.95,205.81,166.87,24.87,142.00,,58.286,48.15,42.58,56.79,327.27,0,
46,58, Clarkson Univ, Clarkson Mini Baja,688.99,219.83,207.34,49.34,158.00,,43.286,56.69,55.16,64.69,261.82,0,
47,65, Georgia Insitute of Technology, GT Off-Road 2,686.27,232.45,112.00,0.00,112.00,,54.681,60.24,46.21,71.32,341.82,0,
48,88, Ohio Northern Univ, ONU Baja SAE,667.60,189.58,172.56,64.56,108.00,,45.555,53.63,35.17,55.23,305.45,0,
49,17, McMaster Univ, McMaster Mini Baja,662.03,164.53,155.68,56.68,99.00,,47.773,33.79,29.24,53.73,341.82,0,
50,127, Univ of St Thomas, University of St Thomas,655.43,172.96,206.11,85.11,121.00,,48.983,54.54,6.76,62.68,276.36,0,
51,89, Michigan State Univ, Spartan Offroad Racing 2,654.28,139.89,216.21,73.21,143.00,,66.353,63.50,5.77,4.27,298.18,0,
52,79, Univ of Louisiana - Lafayette, UL-Tra,651.13,203.45,200.41,75.41,125.00,,39.807,54.81,45.90,62.93,247.27,0,
53,74, Universite Du Quebec a Rimouski, uqar-race,633.43,130.16,200.54,71.54,129.00,,34.992,0.00,38.38,56.79,312.73,10,
54,21, Old Dominion Univ, ODU Mini Baja,629.82,208.17,174.38,53.38,121.00,,46.840,56.46,43.34,61.53,247.27,0,
55,112, Keimyung Univ, Speed Limit,629.50,147.11,191.48,79.48,112.00,,54.857,49.31,38.67,4.27,290.91,0,
56,96, Univ of Tennessee -Chattanooga, UTC Baja,626.69,233.87,146.00,11.00,135.00,,59.597,64.23,42.40,67.64,261.82,15,
57,81, Pennsylvania College of Technology, Wildcats,622.82,182.05,155.32,32.32,123.00,,34.261,45.92,42.02,59.85,305.45,20,
58,86, Univ of Waterloo, The Mountie,615.91,157.32,153.14,20.14,133.00,,57.983,48.40,46.67,4.27,305.45,0,
59,124, Univ of Texas - Pan American, UTPA,610.35,150.28,184.16,74.16,110.00,,9.782,46.91,46.35,47.24,290.91,15,
60,121, Univ of Vermont, Catamount Racing,608.45,242.87,132.85,58.85,74.00,,70.286,63.53,44.42,64.63,232.73,0,
61,42, Univ of Western Ontario, Western Baja SAE,607.49,202.30,107.01,32.01,75.00,,48.403,53.54,44.61,55.75,298.18,0,
62,73, Universidad Simon Bolivar, BAJASAEUSB,605.00,166.66,227.43,85.43,142.00,,50.445,52.11,7.46,56.64,210.91,0,
63,119, California State Univ - Long Beach, Long Beach Motorsports,604.61,167.32,190.02,77.02,113.00,,57.630,49.51,52.62,7.56,247.27,0,
64,129, McGill Univ, McGill Baja SAE,594.37,233.79,215.13,82.13,133.00,,57.000,56.06,48.42,72.31,145.45,0,
65,115, College of New Jersey, Junior Lions,587.98,137.49,166.85,40.85,126.00,,40.210,52.87,3.83,40.58,283.64,0,
66,106, SUNY Inst of Tech - Utica, Wildcats,570.87,234.14,119.00,0.00,119.00,,50.849,65.19,47.37,70.73,232.73,15,
67,31, Miami Univ, Redhawk Racing,568.72,157.86,188.13,61.13,127.00,,54.807,52.73,39.15,11.17,232.73,10,
68,99, Central Michigan Univ, Chippewa Performance,567.36,163.40,178.51,79.51,99.00,,47.345,48.12,0.70,67.23,225.45,0,
69,82, Pittsburg State University, Gorilla Racing,563.83,208.39,180.89,71.89,109.00,,51.857,52.16,37.55,66.82,174.55,0,
70,108, Virginia Western Comm Coll, VWCC Racing,561.19,224.41,140.42,56.42,84.00,,57.504,59.09,42.94,64.88,196.36,0,
71,33, Univ of Virginia, Competing Hoos In Mechanical Engineering,560.01,211.34,162.31,58.31,104.00,,50.849,50.74,43.62,66.13,196.36,10,
72,66, Purdue Univ - W Lafayette, Purdue University Squirrel,557.05,162.76,176.56,43.56,133.00,,47.496,49.16,1.91,64.19,232.73,15,
73,45, Buffalo State College, Buffalo State Mini Baja 2,556.46,181.22,164.33,68.33,96.00,,51.126,45.63,45.79,38.67,210.91,0,
73,68, Florida Inst of Tech, Panther Warriors,556.46,119.21,164.07,57.07,107.00,,58.059,52.10,4.78,4.27,298.18,25,
75,109, Univ of Central Florida, Knights Racing I,543.33,172.97,94.00,0.00,94.00,,56.143,63.79,48.77,4.27,276.36,0,
76,15, Lake Superior State Univ, Laker Racing,542.41,127.77,131.00,0.00,131.00,,22.563,47.80,3.84,53.57,283.64,0,
