Rank,Car No,School,Team,Overall,Overall Dynamic,Overall Static,Cost,Design,Business Presentation (50),Acceleration,Land Manuverability,Pull,Suspension & Traction,Endurance Race,Event Penalty,Tech Penalty,Register,DQ
1,1,Centro Universitario Da FEI,Centro Universitario Da FEI,895.88,230.90,264.98,90.73,174.25,,72.08,71.45,12.37,75.00,400.00,,0,,
2,19,SUNY - Stony Brook,Stony Brook Motorsports ,862.98,271.97,220.64,78.83,169.75,,66.24,67.63,17.13,68.95,370.37,,0,,
3,5,Univ of Florida,Gator Motorsports ,855.30,223.34,246.77,74.53,147.50,,66.75,69.65,67.54,58.02,311.11,,0,,
4,10,Ecole De Technologie Superieure,ETS Motorsports ,842.64,256.37,230.71,1.00,120.25,,63.83,60.79,64.26,69.23,74.07,,0,,
5,7,Univ of South Florida,USF Racing,841.04,232.83,207.21,95.52,151.25,,73.73,64.96,12.09,72.56,385.19,,0,,
6,2,Universite de Sherbrooke,Sherbrooke,838.90,219.95,248.58,87.76,137.75,,75.00,65.85,74.22,70.29,325.93,,0,,
7,6,Univ of Michigan - Ann Arbor,Maize,836.80,285.36,225.51,91.71,115.50,,69.67,75.00,19.61,68.55,401.00,,0,,
8,41,Univ of Windsor,Windsor Lancers 2 ,832.46,249.24,212.85,65.68,105.75,,69.16,73.05,13.11,73.85,355.56,,0,,
9,3,Tennessee Tech Univ,TTU Baja,795.10,261.96,222.03,76.59,122.25,,72.72,63.05,69.96,46.50,281.48,,-20,,
10,83,Univ of Louisiana - Lafayette,Ragin Cajun Racing,791.48,199.13,207.16,69.96,160.75,,66.75,62.27,67.89,59.46,355.56,,0,,
11,57,Michigan Tech Univ,MTU Blizzard Baja 2,767.27,241.35,170.36,90.96,138.00,,66.12,63.99,14.94,67.89,237.04,,0,,
12,85,Rochester Institute of Technology,RIT Tigers Team 1 ,764.89,231.59,187.74,66.22,135.75,,73.60,63.65,11.96,66.41,192.59,,0,,
