Rank,Car No,School,Team,Overall,Overall Dynamic,Overall Static,Cost,Design,Business Presentation (50),Acceleration,Land Manuverability,Sled Pull,Suspension & Traction,Endurance Race,Event Penalty,Tech Inspection,Water Manuverability,Register,DQ
1,7,Queen's Univ - Ontario Canada,Queen's University ,855.77,230.49,256.05,71.03,185.02,,43.74,57.21,41.46,54.00,369.23,,0,34.08,,
2,38,Rochester Institute of Technology,RIT Tigers Team 2 ,851.55,242.12,234.44,77.94,156.50,,60.00,36.74,56.92,49.50,400.00,,-25,38.95,,
3,22,Virginia Tech,Virginia Tech ,842.46,224.41,233.43,78.43,155.00,,45.04,53.49,27.65,55.50,384.62,,0,42.73,,
4,83,Univ of Louisiana - Lafayette,Ragin Cajun Racing,759.38,158.51,231.63,80.13,151.50,,42.98,0.00,24.18,37.50,369.23,,0,53.85,,
5,32,Tennessee Tech Univ,TTU Mini Baja,753.68,243.32,233.43,61.93,171.50,,41.36,39.53,60.00,44.25,276.92,,0,58.18,,
6,18,Auburn Univ,War Eagle Motorsports,743.47,269.20,243.51,91.51,152.00,,57.56,60.00,51.76,53.25,230.77,,0,46.63,,
7,61,College of New Jersey,TCNJ Racing,726.78,248.20,226.65,90.15,136.50,,30.70,52.56,58.62,49.50,276.92,,-25,56.82,,
8,9,West Virginia Univ,GOLD TEAM,726.64,246.89,202.83,86.33,116.50,,52.95,53.49,60.00,33.75,276.92,,0,46.70,,
9,39,Clemson Univ,CU Baja ,688.21,236.80,204.87,86.37,118.50,,43.77,40.47,54.56,48.75,261.54,,-15,49.26,,
10,1,Universite de Sherbrooke,Sherbrooke ,688.18,207.33,265.47,84.29,181.18,,42.03,54.42,46.75,59.25,215.38,,0,4.88,,
11,31,Georgia Insitute of Technology,GT Off-Road ,684.93,210.41,186.05,41.55,144.50,,40.98,43.26,40.08,45.00,338.46,,-50,41.10,,
12,20,Michigan Tech Univ,MTU Blizzard Baja ,679.98,233.27,215.94,77.44,138.50,,58.08,34.88,60.00,52.50,230.77,,0,27.81,,
13,37,Rochester Institute of Technology,RIT Tigers Team 1 ,660.94,218.01,196.78,62.78,134.00,,52.28,28.37,58.66,58.50,246.15,,0,20.20,,
