Rank,Car No,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost (100),Design (200),Business Presentation (50),Acceleration (75),Land Manuverability (75),Pulling (75),Suspension & Traction (75),Endurance Race (400),Event Penalty,Register,Passed Tech
1,31,Universite Laval,Al?rion ,911.90,275.52,236.38,89.38,147.00,,74.19,62.02,64.31,75.00,400.00,,,Pass
2,11,Centro Universitario Da FEI,FEI BAJA,910.72,268.59,266.62,85.02,181.60,,73.98,63.39,67.42,63.80,375.51,,,Pass
3,10,Ecole De Technologie Superieure,ETS Motorsports ,881.24,245.14,268.75,93.75,175.00,,69.84,57.40,56.66,61.24,367.35,,,Pass
4,97,Univ of Maryland - College Park,Terps Racing ,875.35,260.31,247.69,79.79,167.90,,66.91,56.23,66.55,70.62,367.35,,,Pass
5,81,Cornell Univ,BIG RED RACING ,873.64,260.51,221.29,68.29,153.00,,64.29,65.18,62.62,68.42,391.84,,,Pass
6,90,Univ of Maryland - Baltimore County,Retriever Racing ,845.24,221.73,248.00,100.00,148.00,,60.18,36.79,63.39,61.37,375.51,,,Pass
7,13,Instituto Maua de Tecnologia,MAUA,834.65,251.90,199.08,73.08,126.00,,73.60,60.93,64.74,52.63,383.67,,,Pass
8,4,Universite de Sherbrooke,Sherbrooke Racing Team ,815.19,205.87,241.97,82.31,159.66,,65.05,6.35,68.46,66.01,367.35,,,Pass
9,12,Universidade de Sao Paulo,POLI TITAN,810.38,240.23,235.46,88.46,147.00,,75.00,75.00,46.74,43.49,334.69,,,Pass
10,76,Virginia Tech,Virginia Tech Baja ,808.54,197.55,227.32,77.32,150.00,,57.65,20.75,56.38,62.77,383.67,,,Pass
11,28,Pittsburg State University,Gorilla Racing,805.65,244.37,177.61,72.11,105.50,,62.22,58.78,64.18,59.19,383.67,,,Pass
12,29,Univ of Alabama - Tuscaloosa,Bama Racing,797.87,253.04,226.46,86.46,140.00,,53.44,64.37,74.17,61.06,318.37,,,Pass
13,17,Wichita State Univ,Shocker Racing ,796.34,185.26,235.57,85.91,149.66,,47.45,27.43,62.44,47.94,375.51,,,Pass
14,67,Cegep de Sherbrooke,Baja Cegep Sherbrooke ,757.41,217.50,213.38,61.38,152.00,,51.54,40.96,61.92,63.08,326.53,,,Pass
15,92,Univ of Texas - Pan American,Potro Racing Team ,756.86,213.56,208.61,76.61,132.00,,63.10,29.56,66.09,54.81,334.69,,,Pass
16,100,Univ of Michigan - Dearborn,UMD Racing,756.69,195.51,202.00,81.50,120.50,,62.41,9.59,68.67,54.84,359.18,,,Pass
17,16,Southern Illinois Univ - Edwardville,Cougar Baja ,750.98,224.15,192.14,73.14,119.00,,50.90,56.62,69.10,47.53,334.69,,,Pass
18,82,North Carolina State Univ - Raleigh,Wolfpack Motorsports,746.99,219.21,233.90,83.40,150.50,,58.56,37.70,62.62,60.33,293.88,,,Pass
19,40,Univ of Louisiana - Lafayette,Ragin' Cajun Baja,732.78,168.67,221.25,78.92,142.33,,56.20,0.00,67.84,44.63,342.86,,,Pass
20,74,Pennsylvania College of Technology,Wildcats,731.50,194.58,194.06,77.06,117.00,,54.25,27.99,47.58,64.76,342.86,,,Pass
21,3,Univ of South Florida,No-Bull ,721.36,244.76,215.38,83.72,131.66,,62.60,52.14,59.81,70.21,261.22,,,Pass
22,21,Univ of Alabama - Birmingham,Blazer Motorsports ,717.20,201.74,237.91,84.91,153.00,,61.60,23.56,66.95,49.63,277.55,,,Pass
23,84,Bucknell Univ,Bison Baja,704.64,233.45,136.50,13.00,123.50,,59.15,57.77,53.53,63.00,334.69,,,Pass
