Rank,Car No,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost (100),Design (200),Business Presentation (50),Acceleration (75),Land Manuverability (75),Pull Event (75),Suspension & Traction (75),Endurance Race (400),Event Penalty,Register,Passed Tech
1,1,Universite Laval,Alerion ,916.59,263.65,250.94,92.33,158.61,,68.20,52.50,67.95,75.00,402.00,,,Pass
2,40,Tennessee Tech Univ,TTU Baja ,885.49,248.35,258.76,77.20,181.56,,67.60,41.03,71.18,68.54,378.38,,,Pass
3,6,Univ of Maryland - Baltimore County,UMBC Racing,881.32,230.00,262.13,93.48,168.65,,69.34,35.25,63.03,62.38,389.19,,,Pass
4,93,California State Poly Univ - Pomona,Bronco Racing ,862.85,255.19,204.66,47.92,156.74,,66.59,67.94,59.38,61.28,403.00,,,Pass
5,3,Ecole De Technologie Superieure,ETS Motorsports ,859.96,209.96,260.81,84.49,176.32,,63.45,18.61,53.63,74.27,389.19,,,Pass
6,11,Centro Universitario Da FEI,FEI Baja,850.22,243.38,271.70,92.96,178.74,,75.00,74.26,75.00,19.12,335.14,,,Pass
7,17,Ohio Northern Univ,Polar Bear Racing,813.85,206.55,228.92,68.97,159.95,,53.67,45.05,41.81,66.02,378.38,,,Pass
8,28,Univ of Wisconsin - Madison,Bucky Baja,803.06,231.66,225.45,67.02,158.43,,67.89,32.76,66.57,64.44,345.95,,,Pass
9,35,Rochester Institute of Technology,RIOT Racing ,766.03,231.04,210.67,55.93,154.74,,60.46,51.64,53.80,65.14,324.32,,,Pass
10,5,Cornell Univ,BIG RED RACING ,765.16,182.27,226.13,58.57,167.56,,60.27,0.00,55.55,66.45,356.76,,,Pass
11,85,Queen's Univ - Ontario Canada,Queen's Baja SAE,742.39,210.63,218.25,52.49,165.76,,57.97,28.24,58.25,66.17,313.51,,,Pass
12,44,Pittsburg State University,Gorilla Racing 1,742.14,230.16,198.47,85.45,113.02,,60.34,48.15,67.89,53.78,313.51,,,Pass
13,80,Universidad De La Salle Bajio,De La Salle Bajio 1,740.81,207.49,209.00,97.95,111.05,,62.26,17.54,65.80,61.89,324.32,,,Pass
14,97,Central Michigan Univ,Chippewa Performance,734.91,197.27,136.64,64.64,72.00,,64.92,0.00,69.50,62.85,401.00,,,Pass
15,101,Wichita State Univ,Shocker Racing ,722.34,224.05,238.83,78.32,160.51,,68.16,31.19,63.17,61.53,259.46,,,Pass
16,50,Michigan Tech Univ,Blizzard Baja ,703.14,190.83,252.85,77.45,175.40,,65.72,0.00,56.74,68.37,259.46,,,Pass
17,33,North Carolina State Univ - Raleigh,Wolfpack Motorsports ,700.10,214.35,247.91,80.40,167.51,,64.03,27.15,65.24,57.93,237.84,,,Pass
18,12,Escola Politecnica Univ Sao Paulo,POLI FENIX,697.80,209.83,239.32,74.56,164.76,,72.80,55.94,61.97,19.12,248.65,,,Pass
19,27,Univ of Louisville,Speed Motorsports,676.81,209.81,185.92,32.52,153.40,,60.33,17.01,69.44,63.03,281.08,,,Pass
20,67,Purdue Univ - W Lafayette,Outlaw ,668.49,221.13,177.09,41.80,135.29,,64.42,35.17,56.77,64.77,270.27,,,Pass
21,59,Univ of Arizona,UA Baja Racing ,668.21,179.86,207.27,48.98,158.29,,48.72,61.14,41.22,28.78,281.08,,,Pass
22,22,Northeastern Univ,NU Motorsports,665.48,159.39,181.77,34.54,147.23,,48.88,44.16,47.32,19.03,324.32,,,Pass
23,87,Univ of Calif - Los Angeles,UCLA Racing ,658.64,222.79,165.58,22.03,143.55,,63.57,75.00,55.48,28.74,270.27,,,Pass
24,26,Kansas State Univ - Salina,Baja Salina ,644.96,169.52,172.74,56.47,116.27,,63.17,0.00,54.04,52.31,302.70,,,Pass
25,36,Pennsylvania College of Technology,Wildcats ,644.19,232.85,119.45,2.00,117.45,,65.41,44.39,65.24,57.81,291.89,,,Pass
26,69,University of Vermont,Catamount Racing ,610.03,204.81,80.90,0.00,80.90,,62.88,22.59,49.35,69.99,324.32,,,Pass
27,78,Univ of Nebraska - Lincoln,Husker Racing ,609.50,251.94,141.34,68.34,73.00,,65.21,45.68,69.73,71.32,216.22,,,Pass
28,66,North Dakota State Univ,Bison Motorsports ,590.01,144.38,196.98,61.80,135.18,,59.81,34.15,31.44,18.98,248.65,,,Pass
29,63,Univ of Tennessee -Chattanooga,Racing Mocs,585.03,125.30,167.84,49.78,118.06,,68.47,0.00,37.93,18.90,291.89,,,Pass
30,23,Instituto Technolgico de Buenos Aires,ITBA Competicion,569.17,146.19,239.20,71.33,167.87,,61.09,0.00,56.36,28.74,183.78,,,Pass
31,76,Concordia University,Stingers,562.78,185.09,193.91,71.52,122.39,,60.70,0.00,59.76,64.63,183.78,,,Pass
32,103,Univ of Rochester,Yellowjackets ,549.37,143.79,200.17,79.44,120.73,,60.48,31.73,22.36,29.22,205.41,,,Pass
33,13,Universidade Federal de Pernambuco,MANGUE BAJA UFPE,544.66,158.81,245.31,78.11,167.20,,71.68,31.19,27.29,28.65,140.54,,,Pass
34,46,Universidad La Salle,Aguilas,536.67,141.42,222.28,99.00,123.28,,60.12,39.87,22.45,18.98,172.97,,,Pass
35,20,Lamar Univ,Ricky Bobby Racing,529.93,194.68,151.47,29.54,121.93,,59.39,41.38,74.93,18.98,183.78,,,Pass
36,43,Oklahoma State Univ,OSU Cowboy Racing ,518.32,169.44,154.29,54.04,100.25,,46.88,0.62,59.26,62.68,194.59,,,Pass
37,53,Clemson Univ,CU Baja Racing ,517.87,88.28,191.75,76.64,115.11,,58.60,0.00,1.99,27.69,237.84,,,Pass
38,32,Univ of North Carolina - Charlotte,49ers Racing ,506.44,175.71,179.38,53.12,126.26,,67.41,5.35,70.65,32.30,151.35,,,Pass
39,24,Univ of Utah,Utes Motorsports,496.13,240.41,201.67,62.64,139.03,,61.51,54.55,60.95,63.40,54.05,,,Pass
40,77,New Mexico State Univ,Haulin Aggies ,495.19,177.91,101.06,0.00,101.06,,59.79,30.83,57.58,29.71,216.22,,,Pass
41,92,Union College,Union CollegeRacing,479.75,179.14,181.69,62.90,118.79,,54.82,0.00,65.85,58.47,118.92,,,Pass
42,72,Southern Illinois Univ - Edwardville,SIUE Cougar Baja ,472.07,186.32,145.21,12.00,133.21,,54.05,0.00,72.88,59.39,140.54,,,Pass
43,34,Ohio State Univ,Baja Buckeyes ,465.05,153.49,73.72,0.00,73.72,,58.25,0.00,66.10,29.14,237.84,,,Pass
44,16,Univ of Illinois - Urbana Champaign,Off-Road Illini ,461.48,148.52,215.66,57.49,158.17,,51.47,0.00,68.22,28.83,97.30,,,Pass
45,48,San Diego State Univ,SDSU Baja ,461.39,166.17,79.00,0.00,79.00,,58.28,5.81,68.77,33.31,216.22,,,Pass
46,52,Instituto Tecnologico de Chihuahua,Maverick racing team ,448.56,0.00,210.72,69.04,141.68,,0.00,0.00,0.00,0.00,237.84,,,Pass
47,88,Universidad Autonoma de Ciudad Juarez,INDIOS BAJA SAE,447.89,164.43,196.97,81.06,115.91,,54.56,28.14,62.75,18.98,86.49,,,Pass
48,62,Case Western Reserve Univ,Bingham's Best Brand ,446.95,106.94,210.28,46.46,163.82,,63.62,0.00,3.27,40.05,129.73,,,Pass
49,89,ITESM - Campus QRO,Exergia Racing Team,440.47,151.89,191.28,64.90,126.38,,58.55,0.00,64.07,29.27,97.30,,,Pass
50,21,McGill Univ,McGill Baja Racing ,423.41,213.74,209.67,56.92,152.75,,61.94,17.41,64.31,70.08,0.00,,,Pass
51,45,Fairmont State Univ,Falcon Racing ,418.32,102.78,142.57,11.00,131.57,,58.85,0.00,43.93,0.00,172.97,,,Pass
52,95,Univ of Virginia,Virginia Baja Racing ,409.86,155.47,113.85,24.91,88.94,,50.83,0.00,50.73,53.91,140.54,,,Pass
53,31,Ecole Polytechnique De Montreal,EPM MUD BEES ,405.52,0.00,200.11,74.59,125.52,,0.00,0.00,0.00,0.00,205.41,,,Pass
54,98,Kansas State Univ,Wildcat Offroad ,389.36,131.42,193.08,61.77,131.31,,55.94,0.00,46.70,28.78,64.86,,,Pass
55,56,Univ of Akron,Zips Racing ,378.31,161.22,217.09,85.60,131.49,,59.34,5.49,67.52,28.87,0.00,,,Pass
56,83,Sanilac Career Center,SCC Redneck Rampage,378.01,148.55,121.35,0.00,121.35,,54.17,0.00,65.55,28.83,108.11,,,Pass
57,82,Universidad Catolica Andres Bello,Baja Ucab ,374.92,73.13,118.01,2.00,116.01,,0.00,0.00,73.13,0.00,183.78,,,Pass
58,61,Univ of Missouri - Kansas City,UMKC Racing,374.85,57.08,177.23,58.55,118.68,,0.00,0.00,57.08,0.00,140.54,,,Pass
59,47,Dawson College,Dawson College,369.67,61.30,27.29,0.00,27.29,,0.00,0.00,61.30,0.00,281.08,,,Pass
60,57,California State Univ - Chico,CSU Chico ,367.10,206.80,63.00,2.00,61.00,,56.49,52.54,68.94,28.83,97.30,,,Pass
61,60,Arizona State Univ - Polytechnic,Sundevil Motorsports,354.68,167.66,165.40,23.23,142.17,,47.48,0.00,62.84,57.34,21.62,,,Pass
62,30,Univ of Wisconsin - Milwaukee,UW-Milwaukee Baja SAE ,352.21,0.00,38.70,17.18,21.52,,0.00,0.00,0.00,0.00,313.51,,,Pass
63,51,Univ of Colorado - Colorado Springs,Baji Nanjas ,349.65,124.19,182.22,87.47,94.75,,60.42,0.00,35.21,28.56,43.24,,,Pass
64,90,Embry-Riddle Aero Univ - Daytona Beach,Embry-Riddle Lady Eagles,334.33,143.69,158.21,52.72,105.49,,61.52,0.00,19.32,62.85,32.43,,,Pass
65,71,Univ of Cincinnati,Bearcats Baja Racing ,331.33,122.22,122.62,59.06,63.56,,43.58,0.00,49.90,28.74,86.49,,,Pass
66,65,Univ of Tulsa,Hurricane Motor Works ,330.23,129.72,178.89,50.36,128.53,,56.03,0.00,45.17,28.52,21.62,,,Pass
67,81,Lawrence Technological Univ,Blue Devil Racing ,327.37,176.60,107.53,0.00,107.53,,53.31,10.82,58.81,53.66,43.24,,,Pass
68,96,Univ of Alabama - Tuscaloosa,Bama Racing,318.28,147.56,137.61,30.27,107.34,,53.28,0.00,65.50,28.78,108.11,75.00,,Pass
69,37,Univ of Michigan - Ann Arbor,Maize,315.25,133.30,246.14,80.58,165.56,,66.39,0.00,47.93,18.98,10.81,75.00,,Pass
70,38,Penn State Univ - Altoona,Nittany Lion Racing ,314.43,113.18,201.25,52.04,149.21,,37.71,5.81,40.92,28.74,0.00,,,Pass
71,79,West Virginia Univ,Mountaineers,309.47,74.59,159.20,46.61,112.59,,15.91,0.00,53.23,5.45,75.68,,,Pass
72,64,Virginia Western Comm Coll,VWCC Motorsports,307.83,94.27,116.26,41.89,74.37,,51.53,0.00,23.93,18.81,97.30,,,Pass
73,18,Western Michigan Univ,Bronco Baja ,291.91,119.26,21.30,0.00,21.30,,50.33,0.00,49.90,19.03,151.35,,,Pass
74,29,Arizona State Univ - Tempe,Don't Worry About It Racing ,288.62,21.86,137.03,12.62,124.41,,21.86,0.00,0.00,0.00,129.73,,,Pass
75,70,Univ of Arkansas - Fayetteville,Racin` Razorbacks,258.93,121.57,137.36,3.00,134.36,,41.06,0.00,51.68,28.83,0.00,,,Pass
76,102,Florida A&M Univ/Florida State Univ,F-Racing ,209.59,80.93,128.66,3.00,125.66,,54.83,0.00,7.12,18.98,0.00,,,Pass
77,99,Univ of Texas - El Paso,Mad Pete Motorsports,208.53,77.94,76.54,0.00,76.54,,0.00,13.37,45.67,18.90,54.05,,,Pass
78,55,Auburn Univ,War Eagle Motorsports ,203.99,0.00,203.99,61.77,142.22,,0.00,0.00,0.00,0.00,0.00,,,Pass
79,41,Univ of Calif - Santa Barbara,UCSB,199.77,60.41,128.55,36.25,92.30,,31.85,0.00,0.00,28.56,10.81,,,Pass
80,84,Univ of Texas - Pan American,Ironhide ,196.83,53.60,121.61,13.00,108.61,,0.00,0.00,53.60,0.00,21.62,,,Pass
81,91,Universidad Autonoma Estado Mexico,"Escuderia ""Sara Juana""",189.23,79.06,56.12,0.00,56.12,,59.37,0.00,0.00,19.69,54.05,,,Pass
82,49,Christian Brothers University,Bucs ,183.18,56.83,126.35,58.01,68.34,,28.79,0.00,28.04,0.00,0.00,,,Pass
83,25,Old Dominion Univ,ODU Baja,174.95,0.00,174.95,46.74,128.21,,0.00,0.00,0.00,0.00,0.00,,,Pass
84,75,ITESM - Campus Ciudad De Mexico,Escuder�a Borregos CCM,139.18,54.56,63.00,0.00,63.00,,0.00,0.00,54.56,0.00,21.62,,,Pass
85,19,ISAT,ISAT ,95.10,0.00,95.10,0.00,95.10,,0.00,0.00,0.00,0.00,0.00,,,Pass
86,94,Univ of Nevada - Las Vegas,Rebel Racing,73.54,0.00,73.54,0.00,73.54,,0.00,0.00,0.00,0.00,0.00,,,Pass
87,106,Lehigh Univ,Mountain Hawk Racing ,2.00,0.00,2.00,2.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,Pass
,14,Universidad Nacional Experimental Polite,BAJA SAE UNEXPO ,42.36,0.00,42.36,4.00,38.36,,0.00,0.00,0.00,0.00,0.00,,No,
,15,Georgia Institute of Technology,Georgia Tech Offroad ,77.99,0.00,77.99,11.00,66.99,,0.00,0.00,0.00,0.00,0.00,,No,
,39,Michigan State Univ,Spartan Off-Road ,9.00,0.00,9.00,9.00,0.00,,0.00,0.00,0.00,0.00,0.00,,No,
,42,Vellore Institute of Technology,Team Jaabaz ,61.24,0.00,61.24,11.00,50.24,,0.00,0.00,0.00,0.00,0.00,,No,
,54,Univ of Wyoming,WYO BAJA,2.00,0.00,2.00,2.00,0.00,,0.00,0.00,0.00,0.00,0.00,,No,
,58,Univ of Louisiana - Lafayette,Ragin Cajun Racing,65.43,0.00,65.43,0.00,65.43,,0.00,0.00,0.00,0.00,0.00,,No,
,68,North Carolina A & T State Univ,Aggie Racing,70.63,0.00,70.63,10.00,60.63,,0.00,0.00,0.00,0.00,0.00,,No,
,73,Florida Inst of Tech,Panthers,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,No,
,74,Univ of Michigan - Dearborn,UMD Racing,7.00,0.00,7.00,7.00,0.00,,0.00,0.00,0.00,0.00,0.00,,No,
,86,Murray State Univ,Racers Baja,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,No,
,100,Ort Braude College,BugBraude ,61.42,0.00,61.42,7.00,54.42,,0.00,0.00,0.00,0.00,0.00,,No,
,104,Worcester Polytechnic Inst,WPI SAE Baja ,54.75,0.00,54.75,0.00,54.75,,0.00,0.00,0.00,0.00,0.00,,No,
,105,Univ of Portland,Pilot Racing,57.45,0.00,57.45,14.00,43.45,,0.00,0.00,0.00,0.00,0.00,,No,
