Rank,Car No,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost (100),Design (200),Business Presentation (50),Acceleration (60),Land Manuverability (60),Pulling (60),Suspension & Traction (60),Endurance Race (400),Event Penalty,Water Manuverability (60),Register,Passed Tech
1,21,Tennessee Tech Univ,TTU Baja ,930.40,280.28,250.12,86.25,163.87,,57.09,54.46,50.64,58.77,400.00,,59.32,,Pass
2,58,Universite Laval,Alerion ,903.25,291.84,255.85,94.10,161.75,,60.00,60.00,60.00,59.36,355.56,,52.48,,Pass
3,32,Univ of Alabama - Birmingham,Blazer Motorsports 1,822.60,258.76,230.51,86.52,143.99,,42.70,54.46,53.35,58.85,333.33,,49.40,,Pass
4,14,Universite de Sherbrooke,Sherbrooke Racing Team ,773.69,259.27,247.75,83.26,164.49,,44.70,55.08,47.24,58.75,266.67,,53.50,,Pass
5,16,Ohio Northern Univ,Polar Bear Racing,765.40,241.78,212.51,79.14,133.37,,43.37,55.69,47.24,41.29,311.11,,54.19,,Pass
6,4,Ecole De Technologie Superieure,ETS Motorsports ,737.62,185.30,263.43,89.08,174.35,,45.18,28.00,56.22,0.00,288.89,,55.90,,Pass
7,29,Queen's Univ - Ontario Canada,Queen's Baja SAE ,733.40,245.51,221.22,63.27,157.95,,43.59,54.46,50.71,60.00,266.67,,36.75,,Pass
8,3,Rochester Institute of Technology,RIOT Racing ,728.61,231.95,229.99,71.62,158.37,,36.49,45.85,48.76,52.82,266.67,,48.03,,Pass
9,47,Virginia Tech,Virginia Tech Baja SAE ,724.25,265.94,236.09,77.60,158.49,,53.55,50.15,51.46,53.86,222.22,,56.92,,Pass
10,1,Cornell Univ,BIG RED RACING ,718.48,216.80,235.01,66.39,168.62,,56.87,0.00,53.46,52.97,266.67,,53.50,,Pass
11,30,Univ of Maryland - College Park,Terps Racing ,683.01,183.69,188.21,72.72,115.49,,58.70,13.85,57.64,0.00,311.11,,53.50,,Pass
12,25,Georgia Southern Univ,Georgia Southern Eagles,672.86,246.69,181.73,79.24,102.49,,46.53,52.00,45.63,56.21,244.44,,46.32,,Pass
13,49,Univ of Alabama - Birmingham,Blazer Motorsports 2,658.73,179.26,235.03,85.91,149.12,,31.96,45.85,50.34,0.00,244.44,,51.11,,Pass
14,42,College of New Jersey,TCNJ Baja ,652.60,158.53,205.18,86.03,119.15,,10.07,52.00,36.46,0.00,288.89,,60.00,,Pass
15,6,Northeastern Univ,NU Motorsports ,612.26,169.03,154.34,51.35,102.99,,22.62,56.31,42.75,0.00,288.89,,47.35,,Pass
16,36,Keimyung University,Speed Limit,541.02,162.82,178.20,72.71,105.49,,41.67,36.00,48.40,0.00,200.00,,36.75,,Pass
17,33,Bucknell Univ,Bucknell Racing,525.18,128.64,174.32,51.33,122.99,,32.04,0.00,37.63,0.00,222.22,,58.97,,Pass
18,60,Kansas State Univ,Wet Willies ,520.56,153.91,188.87,72.88,115.99,,32.28,34.77,39.51,0.00,177.78,,47.35,,Pass
19,48,Utah State University,USU Scotsmen ,506.09,207.44,143.09,54.97,88.12,,35.36,48.31,42.04,48.40,155.56,,33.33,,Pass
20,5,Univ of Maryland - Baltimore County,UMBC Racing,497.16,165.92,242.35,97.00,145.35,,54.14,28.62,37.18,0.00,88.89,,45.98,,Pass
21,20,Middle Tennessee State Univ,Blue Raider Baja ,492.98,90.12,158.42,77.43,80.99,,21.43,8.92,41.48,0.00,244.44,,18.29,,Pass
22,27,Univ of Tennessee - Martin,UTM Motorsports,472.32,202.33,181.10,77.75,103.35,,41.08,24.92,42.37,41.48,88.89,,52.48,,Pass
23,15,Univ of South Carolina,Gamecock Baja,462.06,84.71,177.35,76.86,100.49,,29.91,0.00,10.53,0.00,200.00,,44.27,,Pass
24,19,Univ of Central Florida,Knights Who Say Ni ,450.06,175.69,229.93,97.94,131.99,,0.00,49.54,31.58,45.17,44.44,,49.40,,Pass
