Rank,Car No,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost (100),Design (150),Presentation (50),Acceleration (75),Land Manuverability (75),Hill Climb (75),Rock Crawl (75),Endurance Race (400),Event Penalty,Register,Passed Tech
1,3,Universite Laval,Alerion ,919.61,279.31,240.30,90.72,116.25,33.33,63.91,72.62,75.00,67.78,400.00,,,Pass
2,5,Ecole De Technologie Superieure,ETS Motorsports ,885.05,275.54,233.75,88.50,103.25,42.00,64.16,75.00,61.38,75.00,375.76,,,Pass
3,8,Univ of Maryland - Baltimore County,UMBC Racing,851.39,283.16,265.20,96.50,119.20,49.50,72.85,70.98,71.24,68.09,303.03,,,Pass
4,4,Oregon State Univ,Beaver Racing ,826.35,262.31,236.77,71.72,123.05,42.00,75.00,70.14,52.85,64.32,327.27,,,Pass
5,83,Queen's Univ - Ontario Canada,Queen's Baja SAE,816.06,244.41,238.32,61.47,132.10,44.75,64.13,74.56,44.70,61.02,333.33,,,Pass
6,32,Ohio Northern Univ,Polar Bear Racing,814.19,237.98,236.82,75.92,111.90,49.00,55.08,69.83,50.84,62.23,339.39,,,Pass
7,25,Univ of Wisconsin - Madison,Bucky Baja ,784.66,206.43,226.71,73.96,106.00,46.75,64.05,51.33,33.33,57.72,351.52,,,Pass
8,1,Rochester Institute of Technology,RIOT Racing ,778.51,240.63,240.91,64.26,132.15,44.50,63.44,67.98,50.30,58.91,296.97,,,Pass
9,10,North Carolina State Univ - Raleigh,Wolfpack Motorsports ,778.40,249.26,232.17,85.17,106.50,40.50,52.37,70.13,58.52,68.24,296.97,,,Pass
10,34,SUNY - Stony Brook,Stony Brook Motorsports ,768.80,270.26,225.81,65.93,121.00,38.88,64.97,72.91,64.74,67.64,272.73,,,Pass
11,101,Central Michigan Univ,Chippewa Performance,767.74,207.87,202.29,66.79,89.75,45.75,55.20,65.70,20.84,66.13,357.58,,,Pass
12,36,Universite de Sherbrooke,Sherbrooke Racing Team ,753.56,253.80,208.85,71.97,99.25,37.63,62.40,73.73,56.20,61.47,290.91,,,Pass
13,96,Univ of Louisville,Speed Motorsports,732.95,237.07,204.97,44.22,117.00,43.75,67.57,70.10,52.66,46.74,290.91,,,Pass
14,41,Purdue Univ - W Lafayette,Outlaw ,729.03,257.42,186.76,47.51,98.00,41.25,62.21,69.82,66.77,58.62,284.85,,,Pass
15,60,Univ of Windsor,Lancer Motorsports ,725.86,202.17,238.84,81.59,107.50,49.75,60.42,73.78,35.50,32.47,284.85,,,Pass
16,104,Wichita State Univ,Shocker Racing ,678.22,187.99,205.38,82.63,86.00,36.75,58.21,32.55,57.26,39.97,284.85,,,Pass
