Rank,Car No,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost (100),Design (200),Business Presentation (50),Acceleration (60),Land Manuverability (60),Pulling (60),Suspension & Traction (60),Endurance Race (400),Event Penalty,Mud Bog (60),Register,Passed Tech
1,1,Universite Laval,Alerion,913.77,266.59,245.18,90.80,154.38,,60.00,60.00,36.55,60.00,402.00,,50.04,,Pass
2,18,Oregon State Univ,Beaver Racing Baja ,896.63,256.18,236.45,74.45,162.00,,51.72,58.06,30.31,56.09,404.00,,60.00,,Pass
3,10,Cornell Univ,BIG RED RACING ,893.62,232.58,258.04,83.54,174.50,,53.95,56.44,22.29,53.56,403.00,,46.34,,Pass
4,5,Ecole De Technologie Superieure,ETS Motorsports,880.21,227.13,252.08,80.45,171.63,,47.92,54.04,36.11,54.15,401.00,,34.91,,Pass
5,7,Ohio Northern Univ,Polar Bear Racing,821.65,241.64,212.44,77.06,135.38,,43.60,53.76,40.57,46.94,367.57,,56.77,,Pass
6,39,Queen's Univ - Ontario Canada,Queen's Baja SAE ,819.58,222.93,207.46,69.08,138.38,,50.99,55.52,25.41,54.43,389.19,,36.58,,Pass
7,29,SUNY - Buffalo,UB Motorsports,802.55,237.01,208.78,78.28,130.50,,49.82,57.77,21.84,54.31,356.76,,53.27,,Pass
8,50,Michigan Tech Univ,Blizzard Baja Racing,796.98,248.80,223.86,85.73,138.13,,49.53,53.05,40.12,54.64,324.32,,51.46,,Pass
9,13,Escola de Engenharia de S?o Carlos USP,EESC USP Baja,788.13,230.85,243.77,91.27,152.50,,52.71,56.10,38.34,51.65,313.51,,32.05,,Pass
10,9,Rochester Institute of Technology,RIOT RACING ,784.74,210.56,217.42,62.42,155.00,,51.76,51.05,23.63,53.11,356.76,,31.01,,Pass
11,57,Universite de Sherbrooke,Sherbrooke Racing Team ,777.98,197.18,224.04,80.29,143.75,,48.37,54.34,36.55,53.19,356.76,,4.73,,Pass
12,117,Univ of Arizona,UA Baja Racing ,771.32,222.31,224.69,70.44,154.25,,49.67,55.58,32.99,34.21,324.32,,49.86,,Pass
13,11,Escola Polit�cnica da Universidade de S?o Paulo,Poli Magnus,767.96,218.03,247.23,82.98,164.25,,50.15,57.55,28.98,52.12,302.70,,29.23,,Pass
14,89,Johns Hopkins Univ,Hopkins Baja ,766.17,243.80,198.05,57.30,140.75,,47.13,53.41,56.05,52.38,324.32,,34.83,,Pass
15,63,Pennsylvania College of Technology,Wildcats,743.13,214.23,161.33,69.08,92.25,,41.12,54.14,33.43,48.79,367.57,,36.75,,Pass
16,88,Universidad La Salle,Aguilas La Salle,739.91,220.21,217.00,96.00,121.00,,43.56,53.76,29.42,48.17,302.70,,45.30,,Pass
17,45,Instituto Technolgico de Buenos Aires,ITBA Competici�n,738.12,198.39,226.22,88.85,137.38,,53.33,55.69,40.57,21.05,313.51,,27.75,,Pass
18,82,Georgia Southern Univ,Eagle Motorsports,723.14,202.70,163.68,75.55,88.13,,37.22,48.57,36.11,34.21,356.76,,46.59,,Pass
19,31,Universidad De La Salle Bajio,Bajio 1,719.54,216.67,189.36,99.36,90.00,,50.87,53.51,36.11,53.54,313.51,,22.64,,Pass
20,65,North Carolina State Univ - Raleigh,Wolfpack Motorsports,713.54,221.58,232.50,84.13,148.38,,44.20,58.03,32.54,54.64,259.46,,32.17,,Pass
21,96,SUNY - Stony Brook,Stony Brook Motorsports ,709.47,188.70,228.88,77.26,151.63,,38.48,52.32,29.42,34.21,291.89,,34.27,,Pass
22,100,Univ of Alabama - Birmingham,Blazer Motorsports ,699.48,180.51,205.46,82.59,122.88,,38.50,50.50,26.75,31.58,313.51,,33.18,,Pass
23,94,Northeastern Univ,Skunkworks ,693.08,170.24,209.33,77.83,131.50,,36.25,40.56,39.68,50.78,313.51,,2.97,,Pass
