Rank,Car No,School,Team,Overall,Overall Dynamic,Overall Static,Cost,Design,Business Presentation (50),Acceleration,Land Manuverability,Hill Climb,Suspension & Traction,Endurance Race,Event Penalty,Register,Passed Tech,Qualified
1,10,Cornell Univ,BIG RED RACING ,955.86,293.05,261.81,89.48,172.33,,74.67,69.82,73.56,75.00,401.00,,,Pass,
2,27,Oregon State Univ,Beaver Racing Baja ,936.16,272.54,259.62,83.12,176.50,,73.42,71.86,66.08,61.18,404.00,,,Pass,
3,8,Rochester Institute of Technology,RIOT RACING ,875.97,270.47,232.17,68.93,163.24,,70.16,66.48,68.43,65.40,373.33,,,Pass,
4,38,Northeastern Univ,Skunkworks ,863.65,239.02,221.63,86.82,134.81,,59.23,67.14,58.36,54.29,403.00,,,Pass,
5,47,Univ of Louisville,Speed Motorsports,854.65,252.33,228.99,73.00,155.99,,61.25,70.58,63.88,56.62,373.33,,,Pass,
6,19,Univ of Maryland - Baltimore County,UMBC Racing ,815.48,260.98,274.50,100.00,174.50,,70.65,67.35,62.98,60.00,280.00,,,Pass,
7,41,Pittsburg State University,Gorilla Racing,794.89,198.00,194.89,94.82,100.07,,62.10,65.07,57.53,13.30,402.00,,,Pass,
8,39,Univ of Oklahoma,Sooner Off-Road ,779.19,283.03,189.49,50.45,139.04,,75.00,75.00,70.09,62.94,306.67,,,Pass,
9,42,Johns Hopkins Univ,Hopkins Baja ,747.09,229.81,223.95,66.20,157.75,,68.22,72.23,69.58,19.78,293.33,,,Pass,
10,18,Univ of Tennessee -Chattanooga,Racings MOCS,741.67,200.31,168.03,26.81,141.22,,43.37,45.68,53.04,58.22,373.33,,,Pass,
11,35,Univ of Michigan - Ann Arbor,Maize,741.09,190.82,256.94,98.52,158.42,,71.43,59.00,47.09,13.30,293.33,,,Pass,
12,17,North Carolina State Univ - Raleigh,Wolfpack Motorsports ,731.72,260.88,230.84,90.73,140.11,,65.87,73.29,69.72,52.00,240.00,,,Pass,
13,31,Georgia Southern Univ,Eagle Motorsports,714.83,238.97,209.19,81.29,127.90,,66.42,59.49,64.85,48.21,266.67,,,Pass,
14,43,Clarkson University,CU Baja ,706.76,218.17,141.92,34.06,107.86,,61.19,48.04,53.50,55.44,346.67,,,Pass,
15,32,LeTourneau Univ,Renegade Racing ,706.10,193.52,125.91,0.00,125.91,,63.54,0.00,63.37,66.61,386.67,,,Pass,
16,9,Virginia Tech,VT Baja ,674.64,207.94,173.37,59.15,114.22,,67.28,63.36,64.00,13.30,293.33,,,Pass,
17,54,Rowan Univ,Rowan Motorsports,654.84,228.77,186.07,96.46,89.61,,56.37,69.09,65.05,38.26,240.00,,,Pass,
18,29,SUNY - Buffalo,UB Motorsports ,650.17,249.02,241.15,88.04,153.11,,68.16,48.76,67.57,64.53,160.00,,,Pass,
19,49,Lehigh Univ,Mountain Hawk Racing ,646.41,189.76,163.32,86.69,76.63,,63.71,52.60,60.15,13.30,293.33,,,Pass,
20,60,Universidad Autonoma Estado Mexico,Escuderia Sara Juana ,643.49,198.57,191.59,89.41,102.18,,59.56,68.41,66.66,3.94,253.33,,,Pass,
21,7,Queen's Univ - Ontario Canada,Queen's Baja SAE ,626.59,265.70,240.89,73.94,166.95,,63.99,70.14,69.75,61.82,120.00,,,Pass,
22,48,Auburn Univ,War Eagle Motorsports,625.39,231.22,154.17,0.00,154.17,,58.92,54.89,64.75,52.66,240.00,,,Pass,
23,85,West Virginia Univ,Mountaineers,623.79,211.92,171.87,64.25,107.62,,68.88,52.95,56.05,34.04,240.00,,,Pass,
24,87,City College of the City Univ of NY,CCNY Baja ,622.93,118.10,224.83,84.95,139.88,,54.02,0.00,61.80,2.28,280.00,,,Pass,
25,14,Kansas State Univ - Salina,Baja Salina,621.91,168.38,173.53,81.11,92.42,,63.13,4.23,50.49,50.53,280.00,,,Pass,
26,23,Miami Univ,Redhawk Racing ,611.33,167.86,190.14,93.45,96.69,,60.33,50.09,40.16,17.28,253.33,,,Pass,
27,63,Univ of Wisconsin - Madison,Bucky Baja ,587.37,129.18,231.52,86.14,145.38,,60.89,0.00,66.01,2.28,226.67,,,Pass,
28,5,Ohio Northern Univ,Polar Bear Racing,586.66,206.52,206.81,81.70,125.11,,46.13,42.01,59.13,59.25,173.33,,,Pass,
29,94,Blue Ridge Community College,BRCC Motorsports,584.04,169.03,68.34,0.00,68.34,,54.41,20.32,49.81,44.49,346.67,,,Pass,
30,21,Univ of Central Florida,The Knights That Say Ni,574.57,183.38,231.19,97.26,133.93,,59.78,18.94,54.42,50.24,160.00,,,Pass,
31,69,Kansas State Univ,Wildcat Offroad ,573.46,170.16,123.30,53.51,69.79,,29.45,66.12,54.81,19.78,280.00,,,Pass,
32,78,Univ of Louisiana - Lafayette,Rajin Cajuns,556.01,169.96,146.05,60.19,85.86,,60.00,6.21,59.49,44.26,240.00,,,Pass,
33,76,Keimyung University,SPEED LIMIT ,554.52,241.03,180.16,90.94,89.22,,59.17,63.66,60.47,57.73,133.33,,,Pass,
34,4,Universite de Sherbrooke,Sherbrooke Racing Team ,553.40,264.65,248.75,90.58,158.17,,68.80,57.95,75.00,62.90,40.00,,,Pass,
35,61,Northwestern Michigan College,NMC Baja,547.26,187.99,159.27,79.56,79.71,,58.42,15.44,57.68,56.45,200.00,,,Pass,
36,26,Univ of Tennessee - Martin,UTM Motorsports,546.87,162.49,157.71,79.66,78.05,,59.56,0.00,51.81,51.12,226.67,,,Pass,
37,71,Universidad Autonoma de Ciudad Juarez,INDIOS BAJA ,541.44,220.00,174.77,93.54,81.23,,50.37,66.43,52.12,51.08,146.67,,,Pass,
38,33,Central Michigan Univ,Chippewa Performance,539.55,200.46,99.09,0.00,99.09,,53.08,52.93,46.11,48.34,240.00,,,Pass,
39,52,Univ of Cincinnati,Baja Bearcats ,526.18,173.49,179.36,70.99,108.37,,44.94,67.87,53.85,6.83,173.33,,,Pass,
