Rank,Car No,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost (100),Design (200),Business Presentation (50),Acceleration (75),Land Manuverability (75),Pulling (75),Suspension & Traction (75),Endurance Race (400),Event Penalty,Register,Passed Tech
1,1,Cornell Univ,Big Red Racing,845.62,270.14,267.79,87.79,180.00,,75.00,64.29,55.85,75.00,307.69,,,Pass
2,44,Ohio Northern Univ,Polar Bear Racing,843.33,236.84,204.49,84.49,120.00,,72.67,60.66,36.67,66.84,402.00,,,Pass
3,4,Northeastern Univ,Skunkworks,838.28,198.54,236.74,86.74,150.00,,58.96,39.86,49.62,50.10,403.00,,,Pass
4,27,Ecole De Technologie Superieure,�TS Motorsports,822.84,229.91,191.93,51.93,140.00,,68.52,46.46,58.72,56.21,401.00,,,Pass
5,73,LeTourneau Univ,Renegade Racing,802.83,254.87,209.50,79.50,130.00,,73.48,61.73,52.73,66.93,338.46,,,Pass
6,54,Univ of Michigan - Ann Arbor,Maize,795.49,174.39,217.10,97.10,120.00,,52.95,58.75,45.06,17.63,404.00,,,Pass
7,77,Cegep de Sherbrooke,Cegep de Sherbrooke,778.57,230.12,194.60,64.60,130.00,,55.83,52.99,58.24,63.06,353.85,,,Pass
8,5,Univ of Louisville,Speed Motorsports,767.75,200.97,274.47,84.47,190.00,,61.71,64.15,48.66,26.45,292.31,,,Pass
9,3,Rochester Institute of Technology,RIOT Racing,750.52,281.50,238.25,63.25,175.00,,73.26,75.00,64.70,68.54,230.77,,,Pass
10,10,Univ of Tennessee -Chattanooga,Racing Mocs,735.01,169.77,196.01,76.01,120.00,,66.61,45.02,40.51,17.63,369.23,,,Pass
11,48,California State Poly Univ - Pomona,Bronco Racing,731.50,216.10,161.55,71.55,90.00,,63.26,39.04,58.96,54.84,353.85,,,Pass
12,22,Univ of Cincinnati,Bearcats Baja Racing,728.84,205.58,169.41,59.41,110.00,,59.88,52.33,38.59,54.78,353.85,,,Pass
13,78,Univ of Maryland - College Park,Terps Racing,719.10,239.66,202.52,72.52,130.00,,73.75,43.32,60.16,62.43,276.92,,,Pass
14,7,Pittsburg State University,Gorilla Two,703.53,210.80,138.88,88.88,50.00,,55.61,46.46,58.00,50.73,353.85,,,Pass
15,67,Kansas State Univ,Wildcat Offroad,680.40,253.04,119.67,79.67,40.00,,63.92,64.37,56.57,68.18,307.69,,,Pass
16,38,Virginia Tech,VT Baja SAE,674.45,197.17,184.97,64.97,120.00,,64.28,60.77,61.84,10.28,292.31,,,Pass
17,57,Univ of Wisconsin - Madison,UW Baja,666.46,229.89,144.26,84.26,60.00,,70.13,37.63,51.05,71.08,292.31,,,Pass
18,49,Kansas State Univ - Salina,Baja Salina,648.54,199.06,126.40,76.40,50.00,,49.96,19.00,67.84,62.26,323.08,,,Pass
19,100,Univ of Pretoria,TUKS Baja,645.48,151.16,171.24,61.24,110.00,,46.28,24.15,60.16,20.57,323.08,,,Pass
20,75,Univ of Texas - Pan American,UTPA Racing,645.36,213.09,138.04,58.04,80.00,,63.87,47.20,49.86,52.16,369.23,75.00,,Pass
21,69,Geneva College,GT2 Racing,637.99,226.79,57.35,27.35,30.00,,55.47,39.59,70.98,60.75,353.85,,,Pass
