Rank,Car No,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost (100),Design (150),Presentation (50),Acceleration (75),Land Manuverability (75),Hill Climb (75),Suspension & Traction (75),Endurance Race (400),Event Penalty,Register,Passed Tech
1,35,Oregon State Univ,Beaver Racing,906.42,235.39,269.03,89.28,130.00,49.75,65.59,71.21,32.16,66.43,402.00,,,Pass
2,3,Rochester Institute of Technology,RIOT RACING,879.64,234.41,254.53,68.03,148.00,38.50,70.18,56.06,33.17,75.00,390.70,,,Pass
3,24,Cornell Univ,BIG RED RACING ,866.49,203.25,272.54,83.87,139.00,49.67,71.43,0.00,62.11,69.71,390.70,,,Pass
4,4,Univ of Michigan - Ann Arbor,Maize,834.04,241.27,267.19,93.19,130.00,44.00,75.00,75.00,30.89,60.38,325.58,,,Pass
5,46,Univ of Calif - Los Angeles,UCLA Racing ,826.82,265.57,226.37,86.37,90.00,50.00,68.71,66.67,75.00,55.19,334.88,,,Pass
6,1,McGill Univ,McGill Baja Racing ,815.32,161.11,253.21,80.88,130.00,42.33,70.49,0.00,31.65,58.97,401.00,,,Pass
7,10,Iowa State Univ,Cyclone Racing ,810.24,196.52,210.72,60.47,110.00,40.25,68.87,62.88,32.41,32.36,403.00,,,Pass
8,6,Ecole De Technologie Superieure,ETS Motorsports,771.22,215.66,267.19,74.19,150.00,43.00,68.57,56.06,23.80,67.23,288.37,,,Pass
9,72,California Polytechnic State Univ-SLO,Cal Poly Racing ,766.86,170.18,252.49,82.49,120.00,50.00,65.19,56.82,29.12,19.05,344.19,,,Pass
10,60,Purdue Univ - W Lafayette,Titan,748.95,207.60,187.86,62.86,80.00,45.00,67.89,47.73,35.45,56.53,353.49,,,Pass
11,16,Virginia Tech,VT Baja,746.79,158.30,216.40,68.73,110.00,37.67,65.90,0.00,32.92,59.48,372.09,,,Pass
12,29,Kansas State Univ,Wildcat Racing,734.09,180.64,199.96,83.96,70.00,46.00,62.99,50.76,17.73,49.16,353.49,,,Pass
13,105,West Virginia Univ,Mountaineers,723.53,208.79,179.86,59.26,80.00,40.60,67.69,59.85,20.00,61.25,334.88,,,Pass
14,11,Northeastern Univ,Skunkworks ,720.39,117.15,231.15,84.40,110.00,36.75,65.74,0.00,25.83,25.58,372.09,,,Pass
15,20,Univ of Wisconsin - Milwaukee,UWM BAJA,693.71,139.89,191.03,70.70,90.00,30.33,68.08,0.00,32.92,38.89,362.79,,,Pass
16,36,Universite Laval,Alerion ,684.05,230.16,239.94,73.69,120.00,46.25,68.57,69.70,31.15,60.74,213.95,,,Pass
17,19,SUNY - Buffalo,UB Motorsports,659.70,102.48,213.03,75.70,110.00,27.33,66.22,0.00,17.47,18.79,344.19,,,Pass
18,49,San Diego State Univ,Aztec Racing,655.42,149.30,217.75,84.42,90.00,43.33,66.21,0.00,21.78,61.31,288.37,,,Pass
19,2,Univ of Louisville,Speed Motorsports ,653.55,172.28,248.71,85.04,120.00,43.67,70.56,51.52,31.15,19.05,232.56,,,Pass
20,55,Univ of Pretoria ,TuksBaja,643.81,95.49,222.74,67.74,110.00,45.00,60.84,0.00,16.46,18.19,325.58,,,Pass
21,7,Univ of Maryland - Baltimore County,Retriever Racing ,641.53,152.56,237.81,93.06,110.00,34.75,70.83,0.00,24.56,57.17,251.16,,,Pass
22,23,ITESM - Campus QRO,Exergia Racing Team,640.50,105.85,181.16,82.16,60.00,39.00,67.16,0.00,17.73,20.96,353.49,,,Pass
23,32,Universidad De La Salle Bajio,Bajio 1,607.27,209.59,211.63,84.88,90.00,36.75,68.53,59.09,32.66,49.31,186.05,,,Pass
24,56,Universidad La Salle,Aguilas La Salle,603.75,170.77,228.33,93.00,100.00,35.33,66.47,62.12,15.95,26.23,204.65,,,Pass
25,38,Queen's Univ - Ontario Canada,Queen's University Baja SAE ,592.22,105.23,226.52,71.19,110.00,45.33,64.37,0.00,16.21,24.65,260.47,,,Pass
26,93,North Dakota State Univ,Bison Motorsports ,574.01,123.07,171.87,71.54,60.00,40.33,61.96,0.00,8.10,53.01,279.07,,,Pass
27,73,Univ of Wyoming,Happy Jack Racing,572.80,153.91,167.73,67.23,60.00,40.50,61.51,0.00,27.85,64.55,251.16,,,Pass
28,84,California State Univ - Los Angeles,Golden Eagle Motorsports,554.54,100.75,156.12,74.45,50.00,31.67,64.90,0.00,16.21,19.64,297.67,,,Pass
