Rank,Car No,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost (100),Design (150),Presentation (50),Acceleration (75),Land Manuverability (75),Pulling (75),Suspension & Traction (75),Endurance Race (400),Event Penalty,Register,Passed Tech
1,13,Centro Universitario Da FEI,FEI BAJA SAE,885.68,231.72,283.59,97.59,140.00,46.00,62.37,58.50,43.78,67.07,370.37,,,Pass
2,6,Univ of Michigan - Ann Arbor,Maize,875.32,230.46,252.27,98.60,110.00,43.67,74.35,73.29,42.41,40.41,392.59,,,Pass
3,45,Iowa State Univ,Cyclone Racing ,839.95,249.36,190.59,51.09,100.00,39.50,67.30,58.54,66.65,56.87,400.00,,,Pass
4,1,Cornell Univ,BIG RED RACING ,833.83,280.66,227.24,83.24,100.00,44.00,68.83,70.80,68.03,73.00,325.93,,,Pass
5,9,Rochester Institute of Technology,RIOT RACING,823.74,243.58,239.42,61.09,139.00,39.33,73.66,71.19,23.73,75.00,340.74,,,Pass
6,4,Ecole De Technologie Superieure,ETS Motorsports,817.21,263.47,235.22,68.55,125.00,41.67,64.51,70.18,62.54,66.24,318.52,,,Pass
7,12,Escola Polit�cnica da Universidade de S�o Paulo,POLI AUDAX,790.83,226.10,223.99,75.66,100.00,48.33,67.59,48.55,42.91,67.05,340.74,,,Pass
8,15,Georgia Southern Univ,Eagle Motorsports,763.37,174.28,233.53,81.53,110.00,42.00,42.18,68.95,1.63,61.52,355.56,,,Pass
9,11,Universidade Federal de Pernambuco,Mangue Baja,752.51,188.44,238.14,93.14,100.00,45.00,58.26,21.26,54.46,54.46,325.93,,,Pass
10,93,Ecole Polytechnique De Montreal,poly mud bees,737.30,180.70,223.27,87.44,90.00,45.83,55.29,71.75,49.70,3.96,333.33,,,Pass
11,85,Univ of Calif - Los Angeles,UCLA Racing ,735.46,197.60,197.12,78.45,80.00,38.67,59.90,65.95,1.30,70.45,340.74,,,Pass
12,30,Virginia Western Comm Coll,VWCC Motorsports ,709.24,209.12,137.16,83.16,30.00,24.00,61.75,40.41,66.51,40.45,362.96,,,Pass
13,42,North Carolina State Univ - Raleigh,Wolfpack Motorsports,707.07,212.48,227.92,90.59,100.00,37.33,62.44,46.27,63.36,40.41,266.67,,,Pass
14,24,Univ of Nebraska - Lincoln,Husker Racing,701.50,200.27,153.08,59.41,50.00,43.67,59.93,55.48,44.33,40.53,348.15,,,Pass
15,23,McGill Univ,McGill Baja Racing ,697.09,115.84,247.92,80.25,120.00,47.67,75.00,32.60,0.00,8.24,333.33,,,Pass
16,53,Kansas State Univ,Wildcat Racing,662.30,224.20,164.03,84.70,40.00,39.33,44.87,61.93,55.51,61.89,274.07,,,Pass
17,2,Ohio Northern Univ,Polar Bear Racing,653.55,194.93,184.55,81.88,60.00,42.67,64.94,67.46,0.00,62.53,274.07,,,Pass
18,29,Clemson Univ,CUBaja Racing,641.67,162.42,145.92,58.92,50.00,37.00,51.95,0.00,56.53,53.94,333.33,,,Pass
19,49,Univ of Maryland - Baltimore County,Retriever Racing ,626.28,224.28,202.00,99.00,70.00,33.00,67.67,64.56,51.08,40.97,200.00,,,Pass
20,39,Southern Illinois Univ at Carbondale,SAE Saluki Baja,612.53,158.75,157.48,34.31,90.00,33.17,63.38,30.92,0.65,63.80,296.30,,,Pass
21,68,New Mexico State Univ,NMSU Motorsports,606.42,183.14,156.61,64.94,50.00,41.67,47.37,35.38,64.65,35.74,266.67,,,Pass
22,8,Univ of Louisville,Speed Motorsports ,603.16,166.67,192.05,60.38,90.00,41.67,58.95,60.81,38.04,8.87,244.44,,,Pass
23,64,Oklahoma State Univ,OSU Cowboy Racing ,599.80,164.85,116.43,66.10,20.00,30.33,55.76,67.54,0.98,40.57,318.52,,,Pass
24,3,Northeastern Univ,Skunkworks ,582.67,92.55,223.45,84.12,100.00,39.33,48.61,0.00,3.25,40.69,266.67,,,Pass
25,86,Pennsylvania College of Technology,Wildcats,573.01,164.97,37.67,0.00,0.00,37.67,36.37,60.22,57.44,10.94,370.37,,,Pass
26,76,Univ of Wisconsin - Madison,UW Madison Baja,568.04,225.40,172.27,73.60,60.00,38.67,49.15,75.00,48.81,52.44,170.37,,,Pass
27,10,Univ of Tennessee -Chattanooga,UTC Racing Mocs,563.24,173.11,182.72,83.39,60.00,39.33,61.68,51.66,1.95,57.82,207.41,,,Pass
28,20,SUNY - Buffalo,UB Motorsports,560.52,137.47,186.01,73.01,80.00,33.00,62.26,0.00,34.24,40.97,237.04,,,Pass
29,59,Central Michigan Univ,Chippewa Performance,546.72,153.14,104.69,66.02,0.00,38.67,43.85,14.71,54.01,40.57,288.89,,,Pass
