Rank,Car No,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost (100),Design (150),Presentation (50),Acceleration (75),Land Manuverability (75),Rock Crawl (75),Hill Climb (75),Endurance Race (400),Event Penalty,Register,Passed Tech
1,93,Cornell Univ,BIG RED RACING ,930.03,272.87,257.16,87.49,120.00,49.67,68.33,71.15,58.39,75.00,400.00,,,Pass
2,2,Oregon State Univ,Beaver Racing,918.08,272.63,262.84,94.84,120.00,48.00,62.41,72.08,75.00,63.14,382.61,,,Pass
3,9,McGill Univ,McGill Baja Racing ,900.58,251.47,266.50,84.50,133.00,49.00,68.94,67.29,58.66,56.58,382.61,,,Pass
4,1,Univ of Michigan - Ann Arbor,Maize,884.38,269.25,276.00,100.00,130.00,46.00,75.00,68.69,58.63,66.93,339.13,,,Pass
5,10,Rochester Institute of Technology,RIOT RACING,868.17,236.15,258.11,68.11,140.00,50.00,69.30,72.71,41.36,52.78,373.91,,,Pass
6,50,Universite Laval,Alerion ,793.30,231.35,248.91,87.24,120.00,41.67,67.88,70.57,51.05,41.85,313.04,,,Pass
7,4,Ecole De Technologie Superieure,ETS Motorsports,786.04,249.94,240.45,75.12,125.00,40.33,62.63,75.00,59.83,52.48,295.65,,,Pass
8,54,Northeastern Univ,Skunkworks ,752.40,159.97,227.21,88.21,100.00,39.00,53.03,35.01,58.66,13.27,365.22,,,Pass
9,43,South Dakota Sch of Mines & Tech,Hardrocker Racing Gold,731.87,207.27,255.03,85.70,120.00,49.33,68.29,43.60,42.81,52.57,269.57,,,Pass
10,81,Clemson Univ,CUBaja Racing,720.36,189.79,182.74,66.07,70.00,46.67,60.99,45.33,33.09,50.38,347.83,,,Pass
11,7,Ohio Northern Univ,Polar Bear Racing,684.28,191.50,179.74,84.74,60.00,35.00,60.53,60.45,52.49,18.03,313.04,,,Pass
12,77,Queen's Univ - Ontario Canada,Queen's University Baja SAE ,678.29,167.06,172.10,71.77,60.00,40.33,65.07,53.60,33.09,15.30,339.13,,,Pass
13,5,Univ of Louisville,Speed Motorsports ,665.75,220.83,157.96,68.63,50.00,39.33,68.98,71.93,60.49,19.43,286.96,,,Pass
14,8,Univ of Maryland - Baltimore County,Retriever Racing ,659.93,170.35,228.71,98.71,80.00,50.00,52.44,45.00,56.25,16.66,260.87,,,Pass
15,74,Tennessee Tech Univ,TTU Baja SAE,643.90,200.37,217.44,77.44,90.00,50.00,59.66,70.59,53.70,16.42,226.09,,,Pass
16,68,SUNY - Stony Brook,Stony Brook Motorsports ,642.47,201.30,206.39,77.06,90.00,39.33,64.73,70.42,49.53,16.62,234.78,,,Pass
17,111,Ecole Polytechnique De Montreal,poly mud bees,637.29,203.37,146.96,91.29,20.00,35.67,61.98,66.71,56.28,18.40,286.96,,,Pass
18,34,Central Michigan Univ,Chippewa Performance,630.25,182.72,177.96,71.96,70.00,36.00,56.46,53.02,55.91,17.33,269.57,,,Pass
19,83,North Carolina State Univ - Raleigh,Wolfpack Motorsports,627.41,228.39,233.80,91.80,100.00,42.00,68.79,68.69,50.63,40.28,165.22,,,Pass
20,27,Iowa State Univ,Cyclone Racing ,619.67,207.35,134.06,59.39,40.00,34.67,67.04,65.42,52.56,22.33,278.26,,,Pass
21,38,Univ of Missouri - Kansas City,UMKC Baja Racing,601.77,181.24,203.14,46.81,110.00,46.33,54.16,63.33,50.15,13.60,217.39,,,Pass
22,101,Univ of Akron,Zips Racing ,572.35,189.66,173.99,69.66,80.00,24.33,53.75,60.62,33.09,42.20,208.70,,,Pass
23,45,Univ of Virginia,Virginia Baja,571.40,192.24,126.99,23.32,70.00,33.67,57.65,60.96,55.11,18.52,252.17,,,Pass
24,92,Univ of Cincinnati,University of Cincinnati,569.61,188.80,198.20,47.53,110.00,40.67,56.73,54.86,58.15,19.06,182.61,,,Pass
25,73,Univ of Wisconsin - Platteville,Pioneer Racing ,569.01,135.74,198.49,85.82,80.00,32.67,63.86,0.00,54.97,16.91,234.78,,,Pass
26,18,Georgia Southern Univ,Eagle Motorsports,559.53,188.85,222.85,86.18,90.00,46.67,64.85,68.21,33.09,22.70,147.83,,,Pass
27,19,SUNY - Buffalo,UB Motorsports,558.85,119.77,195.60,78.60,80.00,37.00,54.50,0.00,46.25,19.02,243.48,,,Pass
28,103,Lipscomb Univ,Lipscomb Motorsports,536.24,186.42,167.21,68.21,60.00,39.00,57.21,61.59,53.15,14.47,182.61,,,Pass
29,25,University of Mount Union,UMU Baja,532.45,193.25,78.33,0.00,30.00,48.33,59.58,67.15,50.60,15.92,260.87,,,Pass
30,87,Univ of Calgary,Calgary Baja ,529.14,192.61,162.62,68.62,50.00,44.00,63.62,64.59,48.60,15.80,173.91,,,Pass
31,56,Univ of Manitoba,Polar Bear Racing ,525.31,183.03,159.67,0.00,110.00,49.67,58.81,50.56,57.53,16.13,182.61,,,Pass
32,3,Univ of Nebraska - Lincoln,Husker Racing,523.34,155.06,203.06,71.06,90.00,42.00,65.44,37.30,33.09,19.23,165.22,,,Pass
33,60,San Jose State University,Spartan Racing,518.20,164.01,119.41,31.41,50.00,38.00,54.85,41.85,48.74,18.57,234.78,,,Pass
34,48,Univ of Iowa,Hawkeye Motorsports ,509.67,155.77,84.33,0.00,50.00,34.33,47.59,38.18,56.77,13.23,269.57,,,Pass
35,51,Johns Hopkins Univ,Hopkins Baja ,507.33,129.20,195.52,92.52,70.00,33.00,61.15,0.00,37.22,30.83,182.61,,,Pass
36,42,Michigan State Univ,Michigan State Baja Racing SAE,498.92,73.92,190.22,52.22,100.00,38.00,57.05,0.00,0.00,16.87,234.78,,,Pass
37,24,Univ of Calif - Santa Barbara,UCSB Racing,494.83,199.11,165.29,63.96,70.00,31.33,57.78,69.72,57.01,14.60,130.43,,,Pass
38,99,SUNY Inst of Tech - Utica,Wildcat Motorsports ,488.69,162.52,143.56,69.89,30.00,43.67,56.58,48.41,41.36,16.17,182.61,,,Pass
39,97,Pittsburg State University,Gorilla II (Toto),487.59,148.91,129.98,85.98,20.00,24.00,46.48,43.31,44.57,14.55,208.70,,,Pass
40,37,Univ of Illinois - Urbana Champaign,Off Road Illini ,484.11,107.75,158.97,66.97,50.00,42.00,33.64,0.00,56.87,17.24,217.39,,,Pass
41,31,San Diego State Univ,SDSU Baja,474.97,115.14,133.74,72.74,30.00,31.00,63.86,0.00,33.09,18.19,226.09,,,Pass
42,52,Case Western Reserve Univ,BBB Motorsports,474.86,113.56,152.60,71.27,40.00,41.33,63.48,0.00,33.09,16.99,208.70,,,Pass
43,41,Univ of Wisconsin - Madison,UW Madison Baja,464.91,193.82,184.13,79.46,70.00,34.67,69.00,49.61,56.15,19.06,86.96,,,Pass
44,46,Univ of Notre Dame,University of Notre Dame Baja SAE,459.72,117.48,168.33,55.66,80.00,32.67,61.52,0.00,33.09,22.87,173.91,,,Pass
45,23,Univ of New Hampshire,Wildcat Off-Road Racing,435.92,168.32,111.08,50.08,30.00,31.00,48.34,50.87,58.94,10.17,156.52,,,Pass
46,88,Florida A&M Univ/Florida State Univ,F-Racing,435.01,145.88,123.91,55.24,30.00,38.67,55.33,19.20,55.39,15.96,165.22,,,Pass
