Rank,Car No,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost (100),Design (150),Presentation (50),Acceleration (75),Land Manuverability (75),Rock Crawl (75),Hill Climb (75),Endurance Race (400),Event Penalty,Register,Passed Tech
1,4,Univ of Michigan - Ann Arbor,Maize,936.06,247.06,289.00,87.00,150.00,52.00,75.00,72.93,24.13,75.00,400.00,,,Pass
2,2,Oregon State Univ,Beaver Racing,916.98,261.68,267.06,84.06,130.00,53.00,61.91,72.37,56.30,71.10,388.24,,,Pass
3,5,Rochester Institute of Technology,RIOT RACING,892.97,267.58,272.45,76.55,153.00,42.90,66.15,73.35,59.08,69.00,352.94,,,Pass
4,1,Cornell Univ,Big Red Racing,862.00,219.15,289.91,83.91,155.00,51.00,67.74,72.54,5.86,73.01,352.94,,,Pass
5,27,California Polytechnic State Univ-SLO,Cal Poly Racing,850.80,252.76,245.10,83.14,130.00,31.96,65.38,75.00,56.75,55.63,352.94,,,Pass
6,78,Univ of Wisconsin - Madison,SAE Baja - UW Madison,834.52,258.76,187.52,80.90,70.00,36.62,63.86,73.71,57.00,64.19,388.24,,,Pass
7,95,Ohio Northern Univ,Polar Bear Racing,826.16,267.02,194.43,75.43,70.00,49.00,56.02,72.24,75.00,63.76,364.71,,,Pass
8,47,Arizona State Univ - Polytechnic,Sun Devil Racing Development,812.30,247.80,246.85,81.88,120.00,44.97,52.43,71.55,60.21,63.61,317.65,,,Pass
9,7,Ecole De Technologie Superieure,ETS MOTORSPORTS,810.68,219.58,249.92,76.47,140.00,33.45,59.24,73.36,19.79,67.19,341.18,,,Pass
10,48,California State Poly Univ - Pomona,Cal Poly Pomona Baja SAE ,758.95,167.19,215.29,69.38,100.00,45.91,59.05,69.37,18.95,19.82,376.47,,,Pass
11,52,Polytechnique Montr�al,Poly Mud Bees,754.27,223.55,189.54,77.58,70.00,41.96,63.12,72.20,28.63,59.60,341.18,,,Pass
12,21,Univ of Calgary,Schulich Off-Road,749.92,200.32,208.42,59.34,110.00,39.08,58.92,64.47,20.73,56.20,341.18,,,Pass
13,3,McGill Univ,McGill Baja Racing Team,740.96,206.98,251.63,70.57,145.00,36.06,58.60,65.56,18.78,64.04,282.35,,,Pass
14,41,Tennessee Tech Univ,TTU Baja,735.90,207.27,199.22,59.11,100.00,40.11,58.22,70.74,19.37,58.94,329.41,,,Pass
15,58,Univ of Maryland - Baltimore County,UMBC Racing,710.31,208.11,161.02,84.82,50.00,26.20,59.43,70.31,19.54,58.83,341.18,,,Pass
16,39,Univ of Notre Dame,Irish Racing,693.90,212.89,151.60,41.51,80.00,30.09,62.30,67.81,18.01,64.77,329.41,,,Pass
17,63,Central Michigan Univ,Chippewa Performance,680.14,176.71,174.02,45.91,90.00,38.11,49.08,62.15,6.37,59.11,329.41,,,Pass
18,77,Univ of Nebraska - Lincoln,Husker Racing,661.95,152.38,180.16,79.11,70.00,31.05,55.45,68.58,5.95,22.40,329.41,,,Pass
19,89,Iowa State Univ,Cyclone Racing,659.99,137.69,192.89,69.81,80.00,43.08,50.04,71.10,5.69,10.86,329.41,,,Pass
20,11,Brigham Young Univ,BYU Baja,641.01,134.50,153.57,68.67,40.00,44.90,62.33,0.00,5.95,66.22,352.94,,,Pass
21,34,Univ of Akron,Zips Baja,639.45,140.31,157.96,39.50,100.00,18.46,53.95,0.00,22.26,64.10,341.18,,,Pass
22,38,Univ of Iowa,Hawkeye Motorsports,620.39,162.57,163.70,44.01,90.00,29.69,48.83,64.28,5.27,44.19,294.12,,,Pass
23,30,San Diego State Univ,SDSU Baja,609.60,201.35,118.54,65.67,30.00,22.87,56.21,70.55,21.92,52.67,364.71,75.00,,Pass
24,6,Universit� Laval,Al�rion,607.47,47.76,277.36,92.63,140.00,44.73,0.00,0.00,5.18,42.58,282.35,,,Pass
25,84,Oklahoma State Univ,Cowboy Racing,605.14,138.09,149.40,68.30,60.00,21.10,30.87,63.55,24.89,18.78,317.65,,,Pass
26,76,Univ of Arkansas - Fayetteville,Racing Razorbacks,592.39,215.38,118.19,0.00,80.00,38.19,69.05,68.99,5.86,71.48,258.82,,,Pass
