Rank,Car No,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost (100),Design (150),Presentation (50),Acceleration (75),Land Manuverability (75),Hill Climb (75),Suspension & Traction (75),Endurance Race (400),Event Penalty,Register,Passed Tech
1,3,Cornell Univ,Big Red Racing,977.05,283.35,293.70,83.20,165.00,45.50,69.56,72.41,67.73,73.65,400.00,,,Pass
2,4,Univ of Michigan - Ann Arbor,Maize,927.65,293.62,290.03,83.03,162.00,45.00,72.07,74.26,75.00,72.29,344.00,,,Pass
3,8,Ecole De Technologie Superieure,ETS MOTORSPORTS,907.27,268.49,254.78,77.28,140.00,37.50,58.26,73.18,65.57,71.48,384.00,,,Pass
4,132,Universidade Federal de Pernambuco,Mangue Baja FCA UFPE,866.57,250.55,296.02,88.02,160.00,48.00,53.70,72.45,56.37,68.03,320.00,,,Pass
5,64,Polytechnique Montr�al,Poly Mud Bees,840.24,245.56,210.68,78.18,90.00,42.50,55.59,73.13,49.23,67.61,384.00,,,Pass
6,1,Oregon State Univ,Beaver Racing,835.72,270.10,277.62,82.12,151.00,44.50,59.52,71.54,64.04,75.00,288.00,,,Pass
7,128,Universidade Federal de Minas Gerais,BAJA UFMG,832.90,250.77,262.13,75.13,140.00,47.00,56.80,74.55,62.16,57.26,320.00,,,Pass
8,2,Rochester Institute of Technology,RIOT Racing,816.97,289.81,250.16,77.16,134.00,39.00,75.00,72.49,69.67,72.65,352.00,75.00,,Pass
9,53,Johns Hopkins Univ,Hopkins Baja,812.80,243.61,225.19,87.19,110.00,28.00,62.74,67.28,49.00,64.59,344.00,,,Pass
10,42,Arizona State Univ - Polytechnic,Sun Devil Racing Development,807.36,251.30,252.06,83.06,130.00,39.00,50.77,72.27,62.68,65.58,304.00,,,Pass
11,129,Centro Universitario Da FEI,Fei Baja Sae,804.10,277.83,278.27,87.27,145.00,46.00,64.71,74.02,67.28,71.82,248.00,,,Pass
12,86,North Carolina State Univ - Raleigh,Wolfpack Motorsports,786.03,244.93,181.10,82.10,80.00,19.00,60.06,70.40,59.82,54.65,360.00,,,Pass
13,22,Universite de Sherbrooke,Sherbrooke Racing Team,766.65,249.40,189.25,66.25,90.00,33.00,59.39,70.10,62.51,57.40,328.00,,,Pass
14,57,Case Western Reserve Univ,CWRU Motorsports,751.45,237.16,162.29,39.29,100.00,23.00,49.94,69.41,55.69,62.12,352.00,,,Pass
15,67,Government College of Engrg Pune,Team Nemesis Racing,748.38,258.25,178.13,6.63,140.00,31.50,60.06,67.99,63.75,66.45,312.00,,,Pass
16,6,McGill Univ,McGill Baja Racing Team,745.79,231.99,225.80,71.80,120.00,34.00,64.29,69.47,62.75,35.48,288.00,,,Pass
17,88,Univ of Akron,Zips Baja,737.25,256.13,177.12,46.12,90.00,41.00,53.70,71.36,65.46,65.61,304.00,,,Pass
18,24,Clemson Univ,CU Baja Racing,735.07,205.62,209.45,70.45,100.00,39.00,33.28,60.00,51.10,61.24,320.00,,,Pass
19,74,Ohio Northern Univ,Polar Bear Racing,733.30,217.33,195.97,76.47,90.00,29.50,58.47,67.40,60.79,30.67,320.00,,,Pass
20,98,Northeastern Univ,Skunkworks,728.12,212.72,163.40,78.90,70.00,14.50,39.69,68.36,40.12,64.55,352.00,,,Pass
