Rank,Car #,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost Event (100),Design Event (150),Sales Presentation (50),Acceleration (75),Maneuverability (75),Hill Climb (75),Suspension and Traction (75),Endurance (400),Comp Penalty,Registered,Passed Tech,Passed Tech On Time,Public Comments
1,1,Univ of Michigan - Ann Arbor,Michigan Baja Racing,1007.43,295.4,311.03,98.03,165,48,75,75,75,70.4,401,0,TRUE,TRUE,TRUE,
2,4,Cornell Univ,BIG RED RACING,933.4,250.57,292.59,81.59,164,47,61.93,71.77,41.87,75,390.24,0,TRUE,TRUE,TRUE,
3,3,Rochester Institute of Technology,RIOT Racing,912.47,229.43,292.8,86.8,163,43,64.86,72.52,35.37,56.67,390.24,0,TRUE,TRUE,TRUE,
4,6,Univ of Wisconsin - Madison,Professional Badger Racing,880.9,244.23,234.67,76.67,130,28,60.2,74.68,38.79,70.55,402,0,TRUE,TRUE,TRUE,
5,9,Ecole De Technologie Superieure,ETS Motorsports,870.71,236.87,292.38,92.38,154,46,61.13,71.14,39.13,65.47,341.46,0,TRUE,TRUE,TRUE,
6,2,Oregon State Univ,Beaver Racing,842.36,222,259.39,79.39,130,50,63.7,74.34,12.13,71.83,360.98,0,TRUE,TRUE,TRUE,
7,80,Univ of Nebraska - Lincoln,Husker Racing,834.25,226.43,246.84,91.84,110,45,60.78,69.86,34.18,61.62,360.98,0,TRUE,TRUE,TRUE,
8,20,McGill Univ,McGill Baja Racing,827.13,203.14,282.52,80.52,155,47,66.86,67.34,38.11,30.84,341.46,0,TRUE,TRUE,TRUE,
9,87,Iowa State Univ,Cyclone Racing,810.87,234.55,234.86,86.86,110,38,62.55,69.2,34.52,68.28,341.46,0,TRUE,TRUE,TRUE,
10,8,Arizona State Univ Polytechnic,Sun Devil Racing,803.6,220.39,271.01,86.01,153,32,49.99,67.51,40.5,62.39,312.2,0,TRUE,TRUE,TRUE,
11,24,Polytechnique Montr�al,poly mud bees,790.17,209.56,219.64,89.64,90,40,59.23,66.57,34.18,49.58,360.98,0,TRUE,TRUE,TRUE,
