Rank,Car #,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost Event (100),Design Event (150),Sales Presentation (50),Acceleration (75),Maneuverability (75),Sled Pull (75),Suspension (75),Endurance (400),Comp Penalty,Registered,Passed Tech,Passed Tech On Time,Public Comments
1,10,Rochester Institute of Technology,RIOT Racing,906.42,215.46,288.96,86.71,158,44.25,68.92,70.37,63.53,12.64,402,0,TRUE,TRUE,TRUE,
2,2,Cornell Univ,BIG RED RACING,889.89,227.46,289.1,81.6,163,44.5,41.84,55.88,54.74,75,373.33,0,TRUE,TRUE,TRUE,
3,31,Ecole De Technologie Superieure,ETS Motorsports,829.7,240.06,282.97,91.97,150,41,52.66,62.64,70.51,54.25,306.67,0,TRUE,TRUE,TRUE,
4,1,Univ of Michigan - Ann Arbor,Michigan Baja Racing,803.99,173.4,310.59,98.34,165,47.25,75,73.44,13.07,11.89,320,0,TRUE,TRUE,TRUE,
5,93,Univ of Nebraska - Lincoln,Husker Racing,801.86,261.22,207.31,91.56,70,45.75,58.63,64.31,66.59,71.69,333.33,0,TRUE,TRUE,TRUE,
6,78,Iowa State Univ,Cyclone Racing,798.19,235.01,235.18,86.68,100,48.5,63.61,50.78,62.74,57.87,403,75,TRUE,TRUE,TRUE,Incorrect Paperwork
7,49,Ohio Northern Univ,Polar Bear Racing,791.9,180.13,210.77,60.27,110,40.5,48.81,64.27,52.93,14.12,401,0,TRUE,TRUE,TRUE,
8,66,North Carolina State Univ - Raleigh,Wolfpack Motorsports,758.84,190.24,208.6,85.85,90,32.75,51.16,64.06,62.38,12.64,360,0,TRUE,TRUE,TRUE,
9,37,Government College of Engrg Pune,Team Nemesis Racing,758.82,189.35,262.8,65.05,160,37.75,53.72,61.11,59.65,14.87,306.67,0,TRUE,TRUE,TRUE,
10,4,California State Poly Univ - Pomona,Bronco Racing,748.65,177.23,251.42,62.75,140,48.67,53.05,55.07,60.94,8.18,320,0,TRUE,TRUE,TRUE,
11,9,Tennessee Tech Univ,TTU Baja,740.45,243.92,163.19,45.94,80,37.25,47.85,75,65.52,55.55,333.33,0,TRUE,TRUE,TRUE,
12,30,Central Michigan Univ,Chippewa Performance,739.36,179.54,226.49,49.49,130,47,57.99,49.2,56.73,15.61,333.33,0,TRUE,TRUE,TRUE,
13,72,Queen's Univ - Ontario Canada,Queen's Baja,723.35,184.66,232.02,66.27,120,45.75,53.01,49.91,69.1,12.64,306.67,0,TRUE,TRUE,TRUE,
14,5,Georgia Southern Univ,Eagle Motorsports,721.01,235.43,178.92,69.17,70,39.75,56.11,50.11,63.23,65.98,306.67,0,TRUE,TRUE,TRUE,
15,62,Univ of Calif - Los Angeles,UCLA Racing,720.15,187.41,199.41,76.16,80,43.25,50.74,64.65,7.46,64.57,333.33,0,TRUE,TRUE,TRUE,
16,36,Univ of Akron,Zips Baja,695.99,181.32,208,82.5,80,45.5,56.57,51.36,60.76,12.64,306.67,0,TRUE,TRUE,TRUE,
17,60,Universite de Sherbrooke,Sherbrooke Racing,663.84,244.12,153.05,68.05,50,35,52.73,61.21,64.76,65.41,266.67,0,TRUE,TRUE,TRUE,
18,98,Northeastern Univ,Skunkworks,661.04,122.16,245.55,83.55,120,42,47.71,17.1,55.86,1.49,293.33,0,TRUE,TRUE,TRUE,
19,73,Louisiana Tech Univ,Mud Dawg Racing,660.11,192.6,160.84,86.34,40,34.5,40.42,50.7,63.18,38.31,306.67,0,TRUE,TRUE,TRUE,
20,58,Louisiana State Univ,Baja Bengals,658.72,172.27,193.12,79.37,70,43.75,54.33,40.11,65.2,12.64,293.33,0,TRUE,TRUE,TRUE,
