Rank,Car #,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost Event (100),Design Event (150),Sales Presentation (50),Acceleration (75),Maneuverability (75),Hill Climb (75),Suspension & Traction (75),Endurance (400),Comp Penalty,Registered,Passed Tech,Passed Tech On Time,Public Comments
1,2,Univ of Michigan - Ann Arbor,Michigan Baja Racing,985.08,292.52,290.56,97.56,145,48,75,74.47,75,68.05,402,0,TRUE,TRUE,TRUE,
2,8,Rochester Institute of Technology,RIOT Racing,926.9,270.05,273.52,90.85,138,44.67,63.67,74.56,63.37,68.44,383.33,0,TRUE,TRUE,TRUE,
3,144,Centro Universitario Da FEI,Fei Baja Sae,912.81,267.36,278.78,97.78,135,46,63.01,75,60.61,68.75,366.67,0,TRUE,TRUE,TRUE,
4,1,Cornell Univ,BIG RED RACING,907.45,267.55,238.9,86.57,110,42.33,64.66,70.44,57.46,75,401,0,TRUE,TRUE,TRUE,
5,5,Polytechnique Montr�al,poly mud bees,829.22,227.35,218.53,90.2,90,38.33,57,69.32,37.22,63.81,383.33,0,TRUE,TRUE,TRUE,
6,91,Iowa State Univ,Cyclone Racing,821.7,250.47,212.9,89.4,80,43.5,58.73,67.78,59.38,64.58,358.33,0,TRUE,TRUE,TRUE,
7,61,Univ of Wisconsin - Platteville,Pioneer Racing,811.86,224.47,212.39,83.39,80,49,58.73,60.98,49.96,54.81,375,0,TRUE,TRUE,TRUE,
8,3,Ecole De Technologie Superieure,ETS Motorsports,811.11,242,202.44,94.77,70,37.67,56.97,69.77,52.57,62.7,366.67,0,TRUE,TRUE,TRUE,
9,66,Queen's Univ - Ontario Canada,Queen's Baja,802.66,231.1,238.23,74.73,120,43.5,60.61,67.65,47.42,55.42,333.33,0,TRUE,TRUE,TRUE,
10,52,Ohio Northern Univ,Polar Bear Racing,797.56,208.62,205.61,69.94,100,35.67,46.19,70.74,31.19,60.51,383.33,0,TRUE,TRUE,TRUE,
11,71,Pennsylvania College of Technology,PCT racing,771.49,209.03,179.13,90.13,50,39,42.69,66.9,30.12,69.31,383.33,0,TRUE,TRUE,TRUE,
12,42,Tennessee Tech Univ,TTU Baja,757.35,219.51,204.5,58.5,110,36,54.17,65.79,40.49,59.07,333.33,0,TRUE,TRUE,TRUE,
13,98,Auburn Univ,War Eagle Motorsports,754.53,153.9,242.3,89.8,120,32.5,55.67,40.57,40.42,17.23,358.33,0,TRUE,TRUE,TRUE,
14,148,Universidade Do Estado De Santa Caterina,UDESC Velociraptor,747.49,223.8,207.02,58.69,110,38.33,47.06,72.29,43.56,60.89,316.67,0,TRUE,TRUE,TRUE,
15,35,North Carolina State Univ - Raleigh,Wolfpack Motorsports,746.52,215.72,222.46,89.96,90,42.5,51.51,61.7,42.38,60.14,308.33,0,TRUE,TRUE,TRUE,
16,30,Universite de Sherbrooke,Sherbrooke Racing,744,238.46,180.54,74.54,70,36,57.6,67,47.63,66.22,325,0,TRUE,TRUE,TRUE,
17,79,Univ of Akron,Zips Baja,741.59,236.13,188.79,87.29,70,31.5,60.75,63.61,44.56,67.21,391.67,75,TRUE,TRUE,TRUE,Incorrect Driveline Documentation
18,10,Arizona State Univ Polytechnic,Sun Devil Racing,735.77,142.36,251.74,90.41,120,41.33,45.24,0,50.49,46.64,341.67,0,TRUE,TRUE,TRUE,
19,100,Univ of Maryland - Baltimore County,UMBC Racing,731.41,178.25,236.49,91.99,100,44.5,48.94,69.85,32.25,27.21,316.67,0,TRUE,TRUE,TRUE,
20,80,Georgia Southern Univ,Eagle Motorsports,726.46,240.25,186.21,69.71,90,26.5,60.26,67.25,50.4,62.33,300,0,TRUE,TRUE,TRUE,
21,23,Western New England University,Golden Bear Racing,714.44,220.86,168.58,59.08,70,39.5,44.34,62.51,54.8,59.21,325,0,TRUE,TRUE,TRUE,
22,65,Univ of Nebraska - Lincoln,Husker Racing,704.68,222.79,248.55,86.05,120,42.5,60.41,71.68,31.19,59.51,233.33,0,TRUE,TRUE,TRUE,
23,83,Case Western Reserve Univ,CWRU Motorsports,688.88,252.04,236.84,80.84,110,46,66.76,66.58,60.24,58.46,200,0,TRUE,TRUE,TRUE,
24,53,McGill Univ,McGill Baja Racing,687.88,201.56,261.32,86.32,130,45,54.8,60.57,39.94,46.25,225,0,TRUE,TRUE,TRUE,
25,105,SUNY Inst of Tech - Utica,Wildcat Motorsports,660.87,158.64,127.23,69.73,50,7.5,50.15,61.56,30.48,16.46,375,0,TRUE,TRUE,TRUE,
26,68,RV College of Engineering,Team Helios Racing,647.84,221.1,176.74,63.24,80,33.5,73.53,56.45,30.12,61.01,250,0,TRUE,TRUE,TRUE,
27,104,Virginia Western Comm Coll,vwcc,645.69,220.27,142.09,79.09,40,23,52.63,65.34,46.16,56.13,283.33,0,TRUE,TRUE,TRUE,
28,55,North Carolina A & T State Univ,Aggie Racing,635.54,146.44,189.11,65.44,90,33.67,63.21,50.61,24.1,8.52,300,0,TRUE,TRUE,TRUE,
