Rank,Car #,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost (100),Design Event (150),Sales Presentation (50),Acceleration (75),Maneuverability (75),Hill Climb (75),Suspension (75),Endurance (400),Comp Penalty,Registered,Passed Tech,Passed Tech On Time,Public Comments
1,5,Ecole De Technologie Superieure,ETS Motorsports,889.81,209.45,292.12,99.32,149,43.8,52,66,31.6,59.86,388.24,0,TRUE,TRUE,TRUE,
2,1,Univ of Michigan - Ann Arbor,Michigan Baja Racing,873.73,296.18,295.2,97.2,151,47,75,75,71.18,75,282.35,0,TRUE,TRUE,TRUE,
3,3,Rochester Institute of Technology,RIOT RACING,851.23,237.99,260.3,93.55,120,46.75,51.64,71.43,47.22,67.69,352.94,0,TRUE,TRUE,TRUE,
4,17,California Polytechnic State Univ-SLO,Cal Poly Racing,827.07,224.8,249.33,77.53,130,41.8,57.09,71.22,34.03,62.46,352.94,0,TRUE,TRUE,TRUE,
5,2,Cornell Univ,BIG RED RACING,820.77,264.17,274.24,82.24,152,40,60.59,72.18,59.03,72.38,282.35,0,TRUE,TRUE,TRUE,
6,64,Queen's Univ - Ontario Canada,Queen's Baja,796.11,179.51,263.66,77.26,140,46.4,56.95,44.42,46.53,31.61,352.94,0,TRUE,TRUE,TRUE,
7,20,Univ of Akron,Zips Baja,789.61,201.47,246.96,74.96,130,42,57.82,56,51.39,36.27,341.18,0,TRUE,TRUE,TRUE,
8,6,Oregon State Univ,Beaver Racing,770.94,246.1,242.48,76.48,120,46,47.23,57.48,75,66.4,282.35,0,TRUE,TRUE,TRUE,
9,110,Case Western Reserve Univ,CWRU Motorsports,734.2,163.8,193.93,48.73,100,45.2,51.55,68.51,43.75,0,376.47,0,TRUE,TRUE,TRUE,
10,51,Universidad De La Salle Bajio,Bajio 1,731.74,207.62,194.71,88.91,70,35.8,44.32,59.59,64.58,39.13,329.41,0,TRUE,TRUE,TRUE,
11,63,Univ of Missouri - Kansas City,UMKC - Baja Racing,728.53,207.83,226.58,80.58,120,26,53,55.84,45.83,53.16,294.12,0,TRUE,TRUE,TRUE,
12,14,California State Poly Univ - Pomona,Bronco Racing,718.19,161.05,251.26,81.86,130,39.4,19.32,65.21,44.1,32.42,305.88,0,TRUE,TRUE,TRUE,
13,18,New Jersey Institute of Technology,Highlander Racing,703.18,206.46,169.72,73.32,60,36.4,51.23,55.45,59.38,40.41,402,75,TRUE,TRUE,TRUE,Endurance Impound
14,83,Univ of Rochester,Yellow Jacket Racing,693.12,212.69,209.84,82.04,90,37.8,53.41,64.59,53.82,40.87,270.59,0,TRUE,TRUE,TRUE,
15,75,San Diego State Univ,Aztec Baja,677.48,201.52,158.31,80.91,40,37.4,61.82,65.55,65.63,8.53,317.65,0,TRUE,TRUE,TRUE,
16,35,Instituto Tecnologico de Queretaro,Baja SAE ITQ,652.15,122.87,176.34,95.09,70,11.25,18.82,60.65,43.4,0,352.94,0,TRUE,TRUE,TRUE,
17,28,Univ of Nevada - Las Vegas,Rebel Racing,649.32,220.8,127.05,49.3,40,37.75,49.41,63.44,44.1,63.86,376.47,75,TRUE,TRUE,TRUE,Endurance Impound
18,24,Bucknell Univ,Bucknell Motowerks,646.7,203.33,149.25,51.45,60,37.8,38.05,50.43,64.58,50.27,294.12,0,TRUE,TRUE,TRUE,
19,81,Central Michigan Univ,Chippewa Performance,625.6,130.24,169.36,75.76,50,43.6,42.14,48.67,30.9,8.53,401,75,TRUE,TRUE,TRUE,Endurance Impound
20,59,Univ of Calif - Irvine,Anteater Racing,617.03,243.78,126.2,0,80,46.2,49.95,65.6,65.97,62.25,247.06,0,TRUE,TRUE,TRUE,
