Rank,Car #,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost Event (100),Design Event (150),Sales Presentation (50),Acceleration (75),Maneuverability (75),Sled Pull (75),Suspension (75),Endurance (400),Comp Penalty,Registered,Passed Tech,Passed Tech On Time,Public Comments
1,4,Univ of Michigan - Ann Arbor,Michigan Baja Racing,893.1,225,268.1,91.43,131,45.67,75,75,0,75,400,0,TRUE,TRUE,TRUE,
2,112,Univ of Wisconsin - Madison,Badger Baja Racing,774.05,135.57,248,98,120,30,54.35,72.87,8.35,0,390.48,0,TRUE,TRUE,TRUE,
3,141,Georgia Southern Univ,Eagle Motorsports,703.51,171.65,179.48,74.81,80,24.67,49.46,74.31,5.05,42.82,352.38,0,TRUE,TRUE,TRUE,
4,10,California State Poly Univ - Pomona,Bronco Racing,692.45,166.67,240.06,76.31,125,38.75,28.01,71.01,5.44,62.21,285.71,0,TRUE,TRUE,TRUE,
5,34,Lehigh Univ,Lehigh Engineers,691.2,234.48,171.01,58.26,80,32.75,42.51,71.74,47.41,72.81,285.71,0,TRUE,TRUE,TRUE,
6,16,New Jersey Institute of Technology,Highlander Racing,680.61,145.02,164.16,66.16,60,38,45.79,62.4,2.14,34.7,371.43,0,TRUE,TRUE,TRUE,
7,51,Northeastern Univ,Skunkworks,661.45,123.06,224.11,78.78,100,45.33,51.48,71,0.58,0,314.29,0,TRUE,TRUE,TRUE,
8,134,Case Western Reserve Univ,CWRU Motorsports,651.88,160.82,167.25,40.25,100,27,53.69,72.38,0,34.75,323.81,0,TRUE,TRUE,TRUE,
9,9,Government College of Engrg Pune,Team Nemesis Racing,651.66,61.39,228.37,69.37,125,34,61,0,0.39,0,361.9,0,TRUE,TRUE,TRUE,
10,52,Univ of Akron,Zips Baja,647.88,188.64,192.57,67.82,90,34.75,58.58,73.13,56.93,0,266.67,0,TRUE,TRUE,TRUE,
11,130,San Diego State Univ,Aztec Baja,647.43,88.26,197.27,74.52,90,32.75,58.23,0,0,30.03,361.9,0,TRUE,TRUE,TRUE,
12,22,Cleveland State Univ,Vikings Racing,639.07,156.11,159.15,68.48,50,40.67,17.38,68.96,2.91,66.86,323.81,0,TRUE,TRUE,TRUE,
13,25,Louisiana Tech Univ,Mud Dawg Racing,637.97,205,185.35,76.35,80,29,20.7,65.12,75,44.18,247.62,0,TRUE,TRUE,TRUE,
14,3,Ecole De Technologie Superieure,ETS Motorsports,632.81,138.77,265.47,93.22,130,42.25,42.26,70.86,25.65,0,228.57,0,TRUE,TRUE,TRUE,
15,102,Univ of Toronto,UofT Baja SAE Team,629.47,145.26,179.45,74.45,70,35,30.78,59.99,0,54.5,304.76,0,TRUE,TRUE,TRUE,
16,172,Universidade Federal de Pernambuco,Mangue Baja UFPE,607.42,92.24,248.52,82.19,125,41.33,30.37,61.09,0.78,0,266.67,0,TRUE,TRUE,TRUE,
17,47,Johns Hopkins Univ,Blue Jay Racing,602.15,109.72,225.76,77.76,110,38,46.14,62.61,0.97,0,266.67,0,TRUE,TRUE,TRUE,
18,21,Univ of Maryland - College Park,Terps Racing,599.57,184.39,224.7,60.03,120,44.67,47.55,69.4,25.84,41.6,190.48,0,TRUE,TRUE,TRUE,
19,122,Central Michigan Univ,Chippewa Performance,599.19,120.94,230.63,72.13,120,38.5,48.2,67.49,5.25,0,247.62,0,TRUE,TRUE,TRUE,
20,114,Pennsylvania College of Technology,PCT Baja,599.02,57.64,179.47,78.22,80,21.25,56.87,0,0.78,0,361.9,0,TRUE,TRUE,TRUE,
21,26,Queen's Univ - Ontario Canada,Queen's Baja,587.38,56.82,216.27,68.27,100,48,54.3,0,2.53,0,314.29,0,TRUE,TRUE,TRUE,
22,5,Univ of Nebraska - Lincoln,Husker Racing,582.03,60,236.31,93.56,110,32.75,56.31,0,3.69,0,285.71,0,TRUE,TRUE,TRUE,
23,62,Michigan State Univ,MSU Baja,579.61,111.25,192.17,49.84,120,22.33,42.06,69.19,0,0,276.19,0,TRUE,TRUE,TRUE,
24,39,McMaster Univ,McMaster Baja Racing,570.63,116.61,149.25,18.25,90,41,48.91,67.71,0,0,304.76,0,TRUE,TRUE,TRUE,
25,91,Baylor Univ,Baylor Baja,562.61,89.29,187.61,66.61,80,41,30.07,51.64,7.58,0,285.71,0,TRUE,TRUE,TRUE,
26,117,Univ of Tennessee -Chattanooga,Racing Mocs,546.09,75.12,175.73,68.4,70,37.33,19.59,49.5,6.02,0,295.24,0,TRUE,TRUE,TRUE,
27,125,SUNY - Stony Brook,Stony Brook Motorsports,544.3,97.69,208.51,61.76,120,26.75,31.28,66.41,0,0,238.1,0,TRUE,TRUE,TRUE,
28,1,Rochester Institute of Technology,RIOT RACING,543.18,70.35,263.3,87.8,135,40.5,64.52,0,5.83,0,209.52,0,TRUE,TRUE,TRUE,
29,123,Univ of Rochester,Yellow Jacket Racing,542.57,161.67,219,75.33,100,43.67,55.61,68.73,5.44,31.89,161.9,0,TRUE,TRUE,TRUE,
30,168,Universidade Federal De Minas Gerais,Baja UFMG,534.08,38.89,238.05,75.72,120,42.33,38.89,0,0,0,257.14,0,TRUE,TRUE,TRUE,
31,15,Miami Univ,Redhawk Racing,519.38,106.2,98.89,46.39,30,22.5,36.27,68.58,1.36,0,314.29,0,TRUE,TRUE,TRUE,
32,18,McGill Univ,McGill Baja Racing Team,515.76,42.61,225.53,72.03,110,43.5,42.61,0,0,0,247.62,0,TRUE,TRUE,TRUE,
33,104,Univ of Maryland - Baltimore County,UMBC Racing,487.67,70.75,245.49,98.82,110,36.67,0,70.75,0,0,171.43,0,TRUE,TRUE,TRUE,
34,69,Univ of Colorado - Boulder,CU Boulder Baja,480.25,84.97,176.23,43.98,100,32.25,27.7,57.27,0,0,219.05,0,TRUE,TRUE,TRUE,
35,61,Montana Tech,MTech Baja,462.93,115.36,71.38,31.05,20,20.33,12.04,63.18,2.33,37.81,276.19,0,TRUE,TRUE,TRUE,
36,59,Univ of Oklahoma,Sooner Offroad,461.55,147.21,123.87,48.37,40,35.5,41.45,61.26,0,44.49,190.48,0,TRUE,TRUE,TRUE,
37,7,Ohio Northern Univ,Polar Bear Racing,457.96,44.68,184.71,43.71,100,41,44.68,0,0,0,228.57,0,TRUE,TRUE,TRUE,
38,36,Univ of British Columbia,UBC Baja,449.49,89.32,179.22,57.22,80,42,25.99,54.59,8.74,0,180.95,0,TRUE,TRUE,TRUE,
39,55,Universit� Laval,Al�rion,447.34,229.87,160.32,96.32,30,34,51.23,74.06,73.45,31.14,57.14,0,TRUE,TRUE,TRUE,
40,20,West Virginia Univ Inst of Tech,Golden Bear Racing,441.4,121.52,148.45,63.45,50,35,22.31,67.14,0,32.07,171.43,0,TRUE,TRUE,TRUE,
41,97,Univ of Nevada - Las Vegas,Rebel Racing,438.47,0,124.18,41.43,40,42.75,0,0,0,0,314.29,0,TRUE,TRUE,TRUE,
42,74,Univ of Regina,Cougar Racing,423.33,98.19,115.62,38.62,40,37,32.14,63.53,2.53,0,209.52,0,TRUE,TRUE,TRUE,
43,68,Univ of Missouri - Kansas City,UMKC - Baja Racing,419.44,0,228.96,73.96,120,35,0,0,0,0,190.48,0,TRUE,TRUE,TRUE,
44,78,Univ of Central Florida,Knights Racing,400.41,0,219.46,88.21,100,31.25,0,0,0,0,180.95,0,TRUE,TRUE,TRUE,
