Rank,Car #,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost Event (100),Design Event (150),Sales Presentation (50),Acceleration (75),Maneuverability (75),Hill Climb (75),Rock Crawl (75),Endurance (400),Comp Penalty,Registered,Passed Tech,Passed Tech On Time,Public Comments
1,8,Ecole De Technologie Superieure,ETS Motorsports,886.77,237.38,288.1,98.1,144,46,57.89,75,54.66,49.83,361.29,0,TRUE,TRUE,TRUE,
2,52,Oregon State Univ,Beaver Racing,876.83,237.77,258.42,80.04,130,48.38,53.08,73.47,62.85,48.38,380.65,0,TRUE,TRUE,TRUE,
3,1,Univ of Michigan - Ann Arbor,Michigan Baja Racing,872.02,192.51,285.96,91.46,151,43.5,71.14,0,72.01,49.37,393.55,0,TRUE,TRUE,TRUE,
4,2,Rochester Institute of Technology,RIOT RACING,853.4,241.27,283.1,90.1,155,38,62.03,73.52,54.34,51.39,329.03,0,TRUE,TRUE,TRUE,
5,47,Northeastern Univ,Skunkworks,829.78,256.63,218.31,77.31,100,41,59.66,67.7,54.26,75,354.84,0,TRUE,TRUE,TRUE,
6,5,Polytechnique Montr�al,poly mud bees,779.59,213.76,230.34,75.34,120,35,55.8,55.94,52.4,49.62,335.48,0,TRUE,TRUE,TRUE,
7,82,Univ of Akron,Zips Baja,773.51,174.69,211.72,73.22,90,48.5,63.53,0,63.03,48.14,387.1,0,TRUE,TRUE,TRUE,
8,123,San Diego State Univ,Aztec Baja,770.32,178.93,191.4,79.77,70,41.63,63.29,0,54.56,61.08,400,0,TRUE,TRUE,TRUE,
9,93,Pennsylvania College of Technology,PCT Baja,766.9,197.66,195.05,83.45,70,41.6,58.56,52.78,38.41,47.92,374.19,0,TRUE,TRUE,TRUE,
10,119,New Jersey Institute of Technology,Highlander Racing,758.9,196.24,194.92,71.67,80,43.25,59.46,27.96,57.01,51.81,367.74,0,TRUE,TRUE,TRUE,
11,37,Government College of Engrg Pune,Team Nemesis Racing,753.8,201.02,243.1,74.85,130,38.25,75,0,75,51.02,309.68,0,TRUE,TRUE,TRUE,
12,75,McGill Univ,McGill Baja Racing Team,736.09,243.14,232.46,75.96,110,46.5,65.14,63.51,66.07,48.42,335.48,75,TRUE,TRUE,TRUE,
13,9,Queen's Univ - Ontario Canada,Queen's Baja,731.83,200.73,240.78,73.78,120,47,63.56,33.59,57.17,46.39,290.32,0,TRUE,TRUE,TRUE,
14,66,Universit� Laval,Al�rion,716.81,234.11,237.54,97.54,100,40,64,66.23,54.63,49.25,245.16,0,TRUE,TRUE,TRUE,
15,89,Brigham Young Univ,BYU Baja,703.22,177.23,216.31,62.06,110,44.25,33.08,53.99,40.14,50.02,309.68,0,TRUE,TRUE,TRUE,
16,26,Univ of Nebraska - Lincoln,Husker Racing,699.61,200.91,247.09,85.09,120,42,53.94,65.91,32.73,48.32,251.61,0,TRUE,TRUE,TRUE,
17,49,Univ of Central Florida,Knights Racing,698.93,180.79,169.75,92,40,37.75,54.65,31.74,46.13,48.27,348.39,0,TRUE,TRUE,TRUE,
18,102,Central Michigan Univ,Chippewa Performance,687.05,174.57,215.7,74.7,100,41,51.26,30.95,43.34,49.02,296.77,0,TRUE,TRUE,TRUE,
19,101,Sinhgad College of Engineering,Team Kraftwagen,678.41,207.64,174,11,120,43,65.97,38.87,55.2,47.6,296.77,0,TRUE,TRUE,TRUE,
20,11,Univ of Maryland - Baltimore County,UMBC Racing,676.47,187.4,237.46,92.46,100,45,51.3,43.15,44.51,48.44,251.61,0,TRUE,TRUE,TRUE,
21,97,Old Dominion Univ,Whiskey Throttle Racing,674.26,163.45,162.42,82.92,40,39.5,41.64,62.89,10.58,48.34,348.39,0,TRUE,TRUE,TRUE,
22,4,Cornell Univ,BIG RED RACING,658.15,259.31,250.46,80.96,130,39.5,69.09,73.96,65.47,50.78,148.39,0,TRUE,TRUE,TRUE,
23,24,Cleveland State Univ,Vikings Racing,656.4,165.26,136.3,73.9,20,42.4,43.45,42.29,30.85,48.67,354.84,0,TRUE,TRUE,TRUE,
24,111,Arizona State Univ Polytechnic,Sun Devil Racing,647.12,118.83,231.51,84.18,110,37.33,63.84,0,54.99,0,296.77,0,TRUE,TRUE,TRUE,
