Rank,Car #,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost Event (100),Design (150),Sales Presentation (50),Acceleration (75),Maneuverability (75),Sled Pull (75),Suspension (75),Endurance (400),Comp Penalty,Registered,Passed Tech,Passed Tech On Time,Public Comments
1,32,Cornell Univ,Cornell Baja,881.1,210.79,270.3,83.3,145,42,64.6,75,0.66,70.54,400,0,TRUE,TRUE,TRUE,
2,10,Univ of Akron,Zips Baja,858.03,213.01,263.2,72.2,143,48,51.32,57.8,33.38,70.51,381.82,0,TRUE,TRUE,TRUE,
3,20,Rochester Institute of Technology,RIOT RACING,842.38,211.99,284.93,80.93,155,49,63.41,72.47,1.12,75,345.45,0,TRUE,TRUE,TRUE,
4,26,Ecole De Technologie Superieure,ETS Motorsports,821.18,219.98,273.93,92.26,140,41.67,58.9,67.77,25.77,67.54,327.27,0,TRUE,TRUE,TRUE,
5,58,San Diego State Univ,Aztec Baja,783.22,150.98,250.42,82.09,130,38.33,47.88,45.12,0.3,57.67,381.82,0,TRUE,TRUE,TRUE,
6,34,Clarkson University,Golden Knights Racing,747.41,196.64,205.32,77.66,90,37.67,58.49,65.71,0.3,72.13,345.45,0,TRUE,TRUE,TRUE,
7,1,Univ of Michigan - Ann Arbor,Michigan Baja Racing,740.32,136.23,295,100,154,41,75,0,0,61.23,309.09,0,TRUE,TRUE,TRUE,
8,39,Univ of Nebraska - Lincoln,Husker Racing,722.33,180.1,269.51,81.51,143,45,53.29,57.53,0.3,68.97,272.73,0,TRUE,TRUE,TRUE,
9,104,Univ of Central Florida,Knights Racing,674.04,105.98,240.78,89.45,110,41.33,52.8,0,0.41,52.78,327.27,0,TRUE,TRUE,TRUE,
10,171,Univ Federal do Rio Grande do Norte,Car-Kar�,671.23,86.32,221.28,80.28,110,31,49.32,0,12.07,24.93,363.64,0,TRUE,TRUE,TRUE,
11,16,Cleveland State Univ,Vikings Racing,666.89,227.08,167.09,83.42,50,33.67,25.31,63.3,75,63.46,272.73,0,TRUE,TRUE,TRUE,
12,158,Universidade Federal De Minas Gerais,Baja UFMG,665.17,201.56,227.25,84.91,100,42.33,66.81,61.2,23.44,50.11,236.36,0,TRUE,TRUE,TRUE,
13,2,Univ of Wisconsin - Madison,Badger Racing,662.29,155.97,215.41,79.74,100,35.67,60.34,0,28.41,67.22,290.91,0,TRUE,TRUE,TRUE,
14,79,Universite Du Quebec at Rimouski,Baja Nordic Wolf,658.49,155.74,157.3,80.3,40,37,46.45,41.06,22.52,45.71,345.45,0,TRUE,TRUE,TRUE,
15,87,Univ of Maryland - Baltimore County,UMBC Racing,651.73,226.51,261.58,88.24,130,43.33,54.27,68.66,40.68,62.9,163.64,0,TRUE,TRUE,TRUE,
16,43,Univ of Maryland - College Park,Terps Racing,649.79,157.16,256.27,83.94,130,42.33,57.84,59.16,3.96,36.21,236.36,0,TRUE,TRUE,TRUE,
17,102,North Carolina A & T State Univ,Aggie Racing,639.46,187.24,234.04,65.71,130,38.33,44.89,45.39,35.2,61.76,218.18,0,TRUE,TRUE,TRUE,
18,6,New Jersey Institute of Technology,Highlander Racing,636.79,124.82,166.51,79.85,40,46.67,52.96,37.92,11.06,22.88,345.45,0,TRUE,TRUE,TRUE,
