Rank,Car #,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost Event (100),Design (150),Sales Presentation (50),Acceleration (75),Maneuverability (75),Hill Climb (75),Rock Crawl (75),Endurance (400),Comp Penalty,Registered,Passed Tech,Passed Tech On Time,Public Comments
1,3,Rochester Institute of Technology,RIOT RACING,947.33,267.61,289.47,79.47,155,55,62.81,74.85,54.95,75,390.24,0,TRUE,TRUE,TRUE,
2,5,Cornell Univ,Cornell Baja,915.09,254.98,260.1,82.1,140,38,68.42,75,66.29,45.28,400,0,TRUE,TRUE,TRUE,
3,2,Univ of Michigan - Ann Arbor,Michigan Baja Racing,853.72,247.52,294,100,153,41,75,72.83,75,24.69,312.2,0,TRUE,TRUE,TRUE,
4,40,San Diego State Univ,Aztec Baja,837.7,235.12,222.08,81.08,90,51,65.43,70.85,57.38,41.47,380.49,0,TRUE,TRUE,TRUE,
5,4,California Polytechnic State Univ-SLO,Cal Poly Racing,815.63,227.99,236.42,70.42,120,46,59.75,73.65,57.23,37.37,351.22,0,TRUE,TRUE,TRUE,
6,31,Univ of Maryland - Baltimore County,UMBC Racing,795.23,169.53,245.22,85.22,130,30,56.15,70.03,18.87,24.48,380.49,0,TRUE,TRUE,TRUE,
7,7,Univ of Akron,Zips Baja,795.14,191.34,242.82,69.82,130,43,56.31,73.05,38.79,23.19,360.98,0,TRUE,TRUE,TRUE,
8,1,Ecole De Technologie Superieure,ETS Motorsports,784.25,216.25,265.55,92.55,120,53,61.34,72.06,57.98,24.88,302.44,0,TRUE,TRUE,TRUE,
9,88,Arizona State Univ Polytechnic,Sun Devil Racing,754.29,200.82,270.54,81.54,147,42,62.04,69.24,54.7,14.83,282.93,0,TRUE,TRUE,TRUE,
10,83,Universit� Laval,Al�rion,743.68,196.32,196.15,92.15,80,24,44.17,66.75,41.78,43.62,351.22,0,TRUE,TRUE,TRUE,
11,10,Universidad De La Salle Bajio,Bajio 1,740.42,198.25,200.71,77.71,100,23,53.49,68.58,53.06,23.13,341.46,0,TRUE,TRUE,TRUE,
12,30,Univ of Nebraska - Lincoln,Husker Racing,730.68,198.06,220.42,80.42,110,30,56.88,68.97,47.68,24.53,312.2,0,TRUE,TRUE,TRUE,
13,67,McGill Univ,McGill Baja Racing,728.69,205.07,221.18,66.18,120,35,59.58,66.47,59.89,19.13,302.44,0,TRUE,TRUE,TRUE,
14,86,Xiamen University of Technology,AMOY Racing Club,702.69,209.16,230.12,72.12,130,28,53.49,72.99,57.38,25.29,263.41,0,TRUE,TRUE,TRUE,
15,50,Polytechnique Montr�al,Poly Mud Bees,685.85,185.6,207.56,71.56,110,26,42.41,68.5,49.84,24.86,292.68,0,TRUE,TRUE,TRUE,
16,44,Northeastern Univ,Skunkworks,683.44,157.1,262.92,74.92,145,43,49.28,66.21,17.19,24.42,263.41,0,TRUE,TRUE,TRUE,
17,93,Univ of Wisconsin - Platteville,Pioneer Racing,671.36,128.11,201.79,73.79,80,48,43.96,63.73,12.91,7.5,341.46,0,TRUE,TRUE,TRUE,
18,9,Case Western Reserve Univ,CWRU Motorsports,667.22,200.58,222.74,72.74,120,30,66.45,69.02,42.95,22.16,243.9,0,TRUE,TRUE,TRUE,
19,97,SUNY - Buffalo,UB Motorsports,661.49,199.48,237.62,89.62,100,48,57.91,65.55,49.66,26.37,224.39,0,TRUE,TRUE,TRUE,
20,45,California State Univ- Chico,Wildcat racing,653.86,229.17,151.52,18.52,110,23,70.42,69.88,63.03,25.83,273.17,0,TRUE,TRUE,TRUE,
21,47,Univ of Nevada - Las Vegas,Rebel Racing,650.93,140.79,139.41,51.41,40,48,32.02,68.21,15.81,24.75,370.73,0,TRUE,TRUE,TRUE,
22,8,Oregon State Univ,Beaver Racing,638.17,206.76,246.05,80.05,120,46,52.3,71.01,55.45,27.99,185.37,0,TRUE,TRUE,TRUE,
23,18,Johns Hopkins Univ,Blue Jay Racing,624.7,158.9,212.14,76.14,100,36,52.79,65.07,16.96,24.08,253.66,0,TRUE,TRUE,TRUE,
24,51,Virginia Tech,VT Baja,619.2,177.66,217.16,78.16,120,19,41.43,66.99,49.9,19.35,224.39,0,TRUE,TRUE,TRUE,
25,65,South Dakota School of Mines & Tech,Hardrocker Racing Gold,612.01,147.09,182,70,90,22,42.41,69.36,18.03,17.29,282.93,0,TRUE,TRUE,TRUE,
26,12,Univ of Calgary,Schulich Off-Road,598.19,149.8,214.24,75.24,120,19,54.55,65.12,20.7,9.42,234.15,0,TRUE,TRUE,TRUE,
27,79,San Jose State University,Spartan Racing,581.98,150.24,158.56,58.56,60,40,48.58,58.25,19.71,23.7,273.17,0,TRUE,TRUE,TRUE,
28,36,Univ of Illinois - Urbana Champaign,Off-Road Illini,580.5,179.71,205.67,59.67,100,46,45.56,58.33,45.02,30.8,195.12,0,TRUE,TRUE,TRUE,
29,103,Kettering Univ,Bulldog Racing,578.2,169.15,155.39,86.39,40,29,54.23,71.77,18.41,24.75,253.66,0,TRUE,TRUE,TRUE,
30,21,Univ of Rochester,Yellow Jacket Racing,576.07,169.14,172.79,71.79,60,41,57.95,61.58,42.43,7.18,234.15,0,TRUE,TRUE,TRUE,
