Rank,Car #,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost Event (100),Design (150),Sales Presentation (50),Acceleration (75),Maneuverability (75),Sled Pull (75),Suspension (75),Endurance (400),Comp Penalty,Registered,Passed Tech,Passed Tech On Time,Public Comments
1,49,Oregon State Univ,Beaver Racing,934.69,268.81,262.88,77.88,130,55,60.71,70.19,62.91,75,403,0,TRUE,TRUE,TRUE,
2,7,Univ of Michigan - Ann Arbor,Michigan Baja Racing,911.8,234,291.13,93.13,155,43,72.63,75,58.38,27.99,386.67,0,TRUE,TRUE,TRUE,
3,4,Ecole de Technologie Superieure,BAJA ETS,881.62,181.53,299.09,98.09,153,48,67.96,72.03,31.04,10.5,401,0,TRUE,TRUE,TRUE,
4,3,Rochester Institute of Technology,RIOT RACING,833.38,226.59,286.79,85.79,150,51,63.07,46.52,49.04,67.96,320,0,TRUE,TRUE,TRUE,
5,53,Univ of Maryland - Baltimore County,UMBC Racing,827.54,163.88,277,100,130,47,54.68,47.61,44.09,17.49,386.67,0,TRUE,TRUE,TRUE,
6,52,Maharashtra Institute of Technology,Team Piranha racing,805.34,196.43,235.58,62.58,120,53,65.87,59.9,60.16,10.5,373.33,0,TRUE,TRUE,TRUE,
7,76,Government College of Engrg Pune,Team Nemesis Racing,804.71,156.4,274.98,84.98,145,45,74.2,44.09,27.61,10.5,373.33,0,TRUE,TRUE,TRUE,
8,2,Univ of Akron,Zips Baja,793.6,163.82,227.78,82.78,110,35,61.63,39.22,52.47,10.5,402,0,TRUE,TRUE,TRUE,
9,1,Cornell Univ,Cornell Baja,781.06,201.23,273.16,83.16,145,45,64.06,63.09,56.59,17.49,306.67,0,TRUE,TRUE,TRUE,
10,5,San Diego State Univ,Aztec Baja,776.92,170.71,219.54,83.54,110,26,57.82,32.98,51.92,27.99,386.67,0,TRUE,TRUE,TRUE,
11,42,"D Y Patil College Of Engineering, Akurdi",Team Predators Racing,764.82,157.38,234.11,96.11,100,38,75,69.05,13.32,0,373.33,0,TRUE,TRUE,TRUE,
12,89,California State Univ- Chico,Wildcat racing,736.49,244.61,211.89,86.89,100,25,71.74,47.43,57.14,68.3,280,0,TRUE,TRUE,TRUE,
13,67,Tennessee Tech Univ,TTU Baja,711.14,197.86,153.29,64.29,50,39,53.85,60.57,72.94,10.5,360,0,TRUE,TRUE,TRUE,
14,35,Universidad De La Salle Bajio,felinos 1,706.69,168.75,177.94,75.94,70,32,50.38,53.89,53.98,10.5,360,0,TRUE,TRUE,TRUE,
15,29,Univ of Nevada - Las Vegas,Rebel Racing,701.22,102.43,225.45,69.45,110,46,51.02,18.25,22.66,10.5,373.33,0,TRUE,TRUE,TRUE,
16,8,Univ of Nebraska - Lincoln,Husker Racing,695.51,163.74,251.76,76.76,140,35,27.05,24.6,52.61,59.48,280,0,TRUE,TRUE,TRUE,
17,106,Central Michigan Univ,Chippewa Performance,686.09,186.61,206.14,80.14,90,36,45,25.33,53.3,62.98,293.33,0,TRUE,TRUE,TRUE,
18,123,Georgia Institute of Technology,GT Off-Road,681.2,198.62,229.25,85.25,100,44,59.94,46.68,64.01,27.99,253.33,0,TRUE,TRUE,TRUE,
19,99,Johns Hopkins Univ,Blue Jay Racing,677.58,157.43,240.15,78.15,120,42,63.57,48,31.87,14,280,0,TRUE,TRUE,TRUE,
20,126,George Washington Univ,GW Baja,669.59,124.13,185.46,75.46,80,30,55.27,18.45,50.41,0,360,0,TRUE,TRUE,TRUE,
21,13,Pennsylvania College of Technology,PCTBaja,668.39,123.39,171.67,74.67,80,17,57.54,21.56,33.79,10.5,373.33,0,TRUE,TRUE,TRUE,
22,32,Cummins College Of Engineering,TZ5,659.8,132.91,220.23,83.23,90,47,64.43,56.53,11.95,0,306.67,0,TRUE,TRUE,TRUE,
23,71,Iowa State Univ,Cyclone Racing,656.42,158.88,164.21,63.21,70,31,56.74,53.21,17.45,31.49,333.33,0,TRUE,TRUE,TRUE,
24,102,Univ of Wisconsin - Milwaukee,UW MKE Baja,589.29,107.73,134.89,68.89,50,16,38.33,24.78,30.63,14,346.67,0,TRUE,TRUE,TRUE,
25,75,Univ of Calif - Los Angeles,Bruin Racing,588.35,155.75,165.93,61.93,70,34,55.76,65.8,27.2,7,266.67,0,TRUE,TRUE,TRUE,
26,60,Michigan Tech Univ,Blizzard Baja,588.35,109.46,118.89,22.89,60,36,53.7,0,48.76,7,360,0,TRUE,TRUE,TRUE,
27,46,Harding Univ,Bison Baja,542.03,172.67,169.36,46.36,90,33,58.68,59.41,37.09,17.49,200,0,TRUE,TRUE,TRUE,
28,6,Clarkson University,Golden Knights Racing,532.21,214.44,197.77,71.77,100,26,64.89,48.16,55.91,45.49,120,0,TRUE,TRUE,TRUE,
29,120,University of Mount Union,Raider Racing,531.21,114.61,96.6,3.6,70,23,29.26,54.3,31.04,0,320,0,TRUE,TRUE,TRUE,
30,109,Univ of Illinois - Urbana Champaign,Off-Road Illini,528.14,136.27,178.54,60.54,90,28,51.02,70.69,7.55,7,213.33,0,TRUE,TRUE,TRUE,
31,108,Case Western Reserve Univ,CWRU Motorsports,504.95,194.81,243.47,80.47,120,43,66.49,26.74,45.6,55.98,66.67,0,TRUE,TRUE,TRUE,
32,33,Olin College of Engineering,Olin Baja,504.95,148.31,169.97,72.97,60,37,40.6,29.08,68.13,10.5,186.67,0,TRUE,TRUE,TRUE,
33,9,Univ of Central Florida,Knights Racing,503.12,176.13,246.99,84.99,130,32,67.44,50.8,47.39,10.5,80,0,TRUE,TRUE,TRUE,
34,54,Youngstown State Univ,YSU Baja,479.25,172.9,199.69,55.69,100,44,50.04,43.55,61.81,17.49,106.67,0,TRUE,TRUE,TRUE,
35,17,Purdue Univ - Northwest,PNW Motorsports,472.86,144.81,128.05,38.05,60,30,23.27,29.05,75,17.49,200,0,TRUE,TRUE,TRUE,
36,119,Univ of Rochester,Yellowjacket Racing,462.95,110.26,219.36,70.36,100,49,59.05,18.46,22.25,10.5,133.33,0,TRUE,TRUE,TRUE,
37,87,Virginia Tech,VT Baja,453.54,146.5,200.37,84.37,70,46,56.56,57.2,15.25,17.49,106.67,0,TRUE,TRUE,TRUE,
38,81,North Carolina State Univ - Raleigh,Pack Motorsports,437.6,83.44,207.49,57.49,110,40,14.42,11.37,29.67,27.99,146.67,0,TRUE,TRUE,TRUE,
39,116,Univ of Notre Dame,Irish Racing,432.34,82.42,69.91,55.91,0,14,61.69,6.17,14.56,0,280,0,TRUE,TRUE,TRUE,
40,73,Kansas State Univ,Wildcat Offroad,428.74,140.49,88.25,46.25,30,12,44.6,34.3,44.09,17.49,200,0,TRUE,TRUE,TRUE,
41,94,Maharaja Agrasen Institute Of Tech,Team Jatayu,426.87,168.88,204.66,57.66,120,27,50.75,61.49,39.15,17.49,53.33,0,TRUE,TRUE,TRUE,
42,107,Miami Univ,Redhawk Racing,415.77,104.88,124.22,42.22,60,22,46.23,0,58.65,0,186.67,0,TRUE,TRUE,TRUE,
43,97,Kansas State Univ - Salina,Baja SAE Salina,413.75,73.54,86.89,21.89,40,25,21.7,0,34.34,17.49,253.33,0,TRUE,TRUE,TRUE,
44,96,Univ of Evansville,UE BAJA,412.53,120.98,171.55,57.55,90,24,31.29,10.23,68.96,10.5,120,0,TRUE,TRUE,TRUE,
45,38,Bucknell Univ,Bucknell Baja,408.16,101.96,132.86,56.86,50,26,52.22,14.32,21.43,14,173.33,0,TRUE,TRUE,TRUE,
46,80,Universidad Autonoma Estado Mexico,Sara juana RT,406,96.85,149.15,76.15,40,33,25.91,0,60.44,10.5,160,0,TRUE,TRUE,TRUE,
47,41,New Jersey Institute of Technology,Highlander Racing,404.49,104,207.16,83.16,80,44,51.45,4.88,47.66,0,93.33,0,TRUE,TRUE,TRUE,
48,24,Northwestern Univ,Northwestern Motorcats,385.55,118.19,187.36,59.36,90,38,58.16,21.92,34.62,3.5,80,0,TRUE,TRUE,TRUE,
49,62,Southern Illinois Univ - Edwardville,Cougar Baja,384.51,118.43,119.42,58.42,50,11,31.32,53.45,33.65,0,146.67,0,TRUE,TRUE,TRUE,
50,121,Ferris State University,Ferris State Baja Racing,379.03,93.7,58.66,0.66,30,28,17,0,66.21,10.5,226.67,0,TRUE,TRUE,TRUE,
