Rank,Car #,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost Event (100),Design (150),Sales Presentation (50),Acceleration (75),Maneuverability (75),Hill Climb (75),Suspension (75),Endurance (400),Comp Penalty,Registered,Passed Tech,Passed Tech On Time,Public Comments
1,3,Univ of Michigan - Ann Arbor,Michigan Baja Racing,965.8,300,297.38,94.38,155,48,75,75,75,75,368.42,0,TRUE,TRUE,TRUE,
2,1,Rochester Institute of Technology,RIOT RACING,871.32,253.49,280.99,85.99,150,45,63.94,60.53,57.25,71.77,336.84,0,TRUE,TRUE,TRUE,
3,20,Oregon State Univ,Beaver Racing,862.47,261.63,253.47,78.47,130,45,62.27,72.93,59,67.43,347.37,0,TRUE,TRUE,TRUE,
4,8,Ecole de Technologie Superieure,BAJA ETS,830.74,264.58,303,100,148,55,71.07,70.58,59.75,63.19,263.16,0,TRUE,TRUE,TRUE,
5,7,Univ of Akron,Zips Baja,828.21,205.86,232.88,82.88,110,40,60.36,50.17,56.5,38.82,389.47,0,TRUE,TRUE,TRUE,
6,11,Univ of Wisconsin - Madison,Badger Racing,827.37,257.3,222.7,84.7,120,18,67.41,69.78,64.75,55.37,347.37,0,TRUE,TRUE,TRUE,
7,2,Cornell Univ,Cornell Baja,821.06,240.03,256.03,83.03,130,43,64.45,57.99,57,60.6,400,75,TRUE,TRUE,TRUE,Incorrect Documentation
8,37,Johns Hopkins Univ,Blue Jay Racing,786.85,219.3,241.24,80.24,110,51,62,47,53.5,56.79,326.32,0,TRUE,TRUE,TRUE,
9,5,California Polytechnic State Univ-SLO,Cal Poly Racing,764.76,252.27,228.28,81.28,100,47,57.13,71.6,49.25,74.29,284.21,0,TRUE,TRUE,TRUE,
10,72,Vellore Institute of Technology Chennai,Team Saksham International,753.9,172.46,244.59,80.59,110,54,51.68,50.05,32.25,38.49,336.84,0,TRUE,TRUE,TRUE,
11,6,Univ of Maryland - Baltimore County,UMBC Racing,747.78,170.4,240.54,96.54,110,34,59.23,0,55.75,55.42,336.84,0,TRUE,TRUE,TRUE,
12,4,San Diego State Univ,Aztec Baja,746.99,184.22,225.93,79.93,120,26,62,0,56.25,65.98,336.84,0,TRUE,TRUE,TRUE,
13,78,Case Western Reserve Univ,CWRU Motorsports,738.2,214.97,217.97,79.97,110,28,59.08,49.1,49,57.79,305.26,0,TRUE,TRUE,TRUE,
14,51,Univ of Iowa,Hawkeye Motorsports,737.77,171.49,208.38,84.38,90,34,54.83,0,52.75,63.91,357.89,0,TRUE,TRUE,TRUE,
15,83,Beijing Polytechnic,BEIJING POLYTECHNIC Baja SDK,732.84,177.84,176.06,58.06,90,28,59.39,0,49.75,68.7,378.95,0,TRUE,TRUE,TRUE,
16,50,Clarkson University,Golden Knights Racing,700.69,257.44,159.04,52.04,80,27,68.03,63.2,61.5,64.71,284.21,0,TRUE,TRUE,TRUE,
17,18,Lushan College of GXUST,LS Racing Baja,680.16,234.13,98.66,23.66,60,15,56.35,72.58,39.25,65.95,347.37,0,TRUE,TRUE,TRUE,
18,102,Georgia Institute of Technology,GT Off-Road,675.4,141.73,228.41,85.41,100,43,56.31,0,46.75,38.66,305.26,0,TRUE,TRUE,TRUE,
19,88,Northeastern Univ,Skunkworks,667.13,225.08,242.05,72.05,140,30,55.89,67.49,37,64.71,200,0,TRUE,TRUE,TRUE,
20,13,New Jersey Institute of Technology,Highlander Racing,664.95,125.13,224.03,83.03,110,31,50.55,0,36,38.58,315.79,0,TRUE,TRUE,TRUE,
21,149,Kettering Univ,Kettering Motorsports,664.36,199,170.62,89.62,40,41,49.11,56.35,31.25,62.29,294.74,0,TRUE,TRUE,TRUE,
22,68,Iowa State Univ,Cyclone Racing,653.78,221.29,169.33,60.33,80,29,54.6,54.35,47.5,64.84,263.16,0,TRUE,TRUE,TRUE,
23,10,Universit� Laval,Al�rion,638.85,228.29,221.09,86.09,110,25,60.48,63.32,48.5,55.99,189.47,0,TRUE,TRUE,TRUE,
24,28,California State Univ - Los Angeles,Rugged Eagle Motorsports,634.57,212.32,138.04,68.04,70,0,56.2,60.72,56.75,38.65,284.21,0,TRUE,TRUE,TRUE,
25,112,Universidad Autonoma de Ciudad Juarez,Indios Racing,634.18,155.6,183.85,74.85,70,39,49.46,0,49.75,56.38,294.74,0,TRUE,TRUE,TRUE,
26,110,Central Michigan Univ,Chippewa Performance,630.14,217.96,180.6,79.6,80,21,53.04,61.45,44.75,58.72,231.58,0,TRUE,TRUE,TRUE,
27,60,ITESM - Campus Guadalajara,MADRAMS,612.37,178.42,128.69,72.69,40,16,53.86,0,54.25,70.31,305.26,0,TRUE,TRUE,TRUE,
28,70,Ohio Northern Univ,Polar Bear Racing,611.91,152.98,195.77,70.77,90,35,58.3,0,56.25,38.43,263.16,0,TRUE,TRUE,TRUE,
29,42,South Dakota School of Mines & Tech,Hardrocker Gold,608.02,203.89,183.08,62.08,100,21,53.94,46.7,38.25,64.99,221.05,0,TRUE,TRUE,TRUE,
30,21,Univ of Nebraska - Lincoln,Husker Racing,600.24,124.33,212.75,75.75,100,37,33.03,0,33.25,58.04,263.16,0,TRUE,TRUE,TRUE,
31,61,California State Univ- Chico,Wildcat racing,595.44,165.23,251.27,87.27,120,44,71.38,0,55.25,38.6,178.95,0,TRUE,TRUE,TRUE,
32,35,Univ of Calif - Los Angeles,Bruin Racing,592.4,197.52,194.88,58.88,100,36,56.74,67.64,34,39.14,200,0,TRUE,TRUE,TRUE,
33,38,Univ of Nevada - Las Vegas,Rebel Racing,590.01,200.52,168.44,67.44,60,41,55.96,61.57,23.5,59.48,221.05,0,TRUE,TRUE,TRUE,
34,12,Univ of Oklahoma,Sooner Off-Road,584.37,140.46,201.8,57.8,100,44,48.02,0,27.5,64.94,242.11,0,TRUE,TRUE,TRUE,
35,57,San Jose State University,Spartan Racing,580.73,204.49,81.51,57.51,10,14,53.55,54.79,29.75,66.4,294.74,0,TRUE,TRUE,TRUE,
36,33,Univ of Illinois - Urbana Champaign,Off-Road Illini,575.28,190.13,195.68,58.68,100,37,49.23,69.31,32.75,38.84,189.47,0,TRUE,TRUE,TRUE,
37,9,Arizona State Univ Polytechnic,Sun Devil Racing,570.12,138.62,242.03,70.03,136,36,57.52,0,42.5,38.6,189.47,0,TRUE,TRUE,TRUE,
38,65,Queen's Univ,Queen's Baja,567.63,218.19,233.65,67.65,120,46,64.68,59.41,55.5,38.6,115.79,0,TRUE,TRUE,TRUE,
39,85,Virginia Tech,VT Baja,566.59,216.33,213.42,84.42,90,39,54.6,58.58,47.75,55.4,136.84,0,TRUE,TRUE,TRUE,
40,123,California State Poly Univ - Pomona,Bronco Racing,566.54,235.92,235.88,79.88,110,46,59.82,60.33,54.25,61.53,94.74,0,TRUE,TRUE,TRUE,
41,16,McGill Univ,McGill Baja Racing,564.7,220.9,228.01,68.01,120,40,61.72,54.93,49,55.25,115.79,0,TRUE,TRUE,TRUE,
42,66,Marquette Univ,Eagle Racing,555.52,167.25,135.64,71.64,50,14,46,42.95,39.75,38.55,252.63,0,TRUE,TRUE,TRUE,
43,92,Univ of Rochester,Yellowjacket Racing,535.07,173.81,245.47,68.47,130,47,62,0,53.5,58.31,115.79,0,TRUE,TRUE,TRUE,
44,31,Utah State University,USU Baja,522.99,149.94,152,61,60,31,44.56,0,41,64.38,221.05,0,TRUE,TRUE,TRUE,
45,80,New Mexico State Univ,NMSU Motorsports,519.38,196.3,165.18,65.18,70,30,46.23,56.67,31.5,61.9,157.89,0,TRUE,TRUE,TRUE,
46,22,McMaster Univ,McMaster Baja Racing,518,154.88,215.75,67.75,110,38,57.29,0,59.75,37.84,147.37,0,TRUE,TRUE,TRUE,
47,81,Univ of British Columbia,UBC Baja,500.24,154.67,177.15,45.15,100,32,51.29,44.62,20.25,38.51,168.42,0,TRUE,TRUE,TRUE,
48,156,Univ of Virginia,Virginia Motorsports,498.28,132.55,71,15,40,16,46.93,0,33.75,51.86,294.74,0,TRUE,TRUE,TRUE,
49,24,Univ of Calgary,Schulich Off-Road,491.54,140.64,193,66,110,17,61.22,0,40.5,38.92,157.89,0,TRUE,TRUE,TRUE,
50,86,California State Univ - Fullerton,Titan Racing Baja,467.9,147.29,204.82,62.82,120,22,48.57,0,31.75,66.98,115.79,0,TRUE,TRUE,TRUE,
51,115,Zhejiang Traffic Technician College,Jinying Racing Team,465.69,167.35,140.45,31.45,80,29,50.32,14.61,40,62.43,157.89,0,TRUE,TRUE,TRUE,
52,19,Texas A&M Univ,Texas A&M Baja,459.91,128.19,236.98,84.98,110,42,47.16,0,42.5,38.52,94.74,0,TRUE,TRUE,TRUE,
53,54,Harbin Institute of Technology,HRT-Baja,456.13,248.28,155.22,22.22,100,33,63.55,67.51,47.75,69.47,52.63,0,TRUE,TRUE,TRUE,
54,17,Univ of Missouri - Kansas City,UMKC Baja Racing,453.34,187.37,213.34,81.34,90,42,52.85,54.69,41.25,38.58,52.63,0,TRUE,TRUE,TRUE,
