Rank,Car #,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost Event (100),Design (150),Sales Presentation (50),Acceleration (75),Maneuverability (75),Hill Climb (75),Suspension (75),Endurance (400),Comp Penalty,Registered,Passed Tech,Passed Tech On Time,Public Comments
1,2,Univ of Michigan - Ann Arbor,Michigan Baja Racing,941.49,266.63,274.86,91.86,135,48,74.64,75,72.78,44.21,400,0,TRUE,TRUE,TRUE,
2,5,Ecole de Technologie Superieure,BAJA ETS,906.6,239.28,283,100,138,45,68.99,71.88,58.78,39.63,384.31,0,TRUE,TRUE,TRUE,
3,78,San Diego State Univ,Aztec Baja,895.7,255,264.23,81.23,130,53,64.61,55.74,64.43,70.22,376.47,0,TRUE,TRUE,TRUE,
4,3,Cornell Univ,Cornell Baja,841.45,274.64,245.24,78.24,134,33,72.39,68.24,63.17,70.84,321.57,0,TRUE,TRUE,TRUE,
5,105,Universit� Laval,Al�rion,809.84,261.16,172.21,88.21,50,34,64.09,72.67,63.02,61.38,376.47,0,TRUE,TRUE,TRUE,
6,163,Escola de Engenharia de Sao Carlos,EESC USP BAJA,798.67,246.79,198.94,32.94,130,36,67.69,73.99,65.48,39.63,352.94,0,TRUE,TRUE,TRUE,
7,168,Universidade Federal Rural do Semi�rido,Cactus Baja SAE,790.74,240.01,221.32,72.32,120,29,60.7,71.36,63.59,44.37,329.41,0,TRUE,TRUE,TRUE,
8,27,Univ of Calgary,Schulich Off-Road,784.86,218.78,205.3,60.3,120,25,63.11,55,61.05,39.63,360.78,0,TRUE,TRUE,TRUE,
9,6,Univ of Akron,Zips Baja,774.18,245.53,214.93,77.93,90,47,67.61,64.3,54.88,58.74,313.73,0,TRUE,TRUE,TRUE,
10,1,Rochester Institute of Technology,RIOT RACING,766.88,292.54,246.89,81.89,110,55,72.83,69.71,75,75,227.45,0,TRUE,TRUE,TRUE,
11,88,Case Western Reserve Univ,CWRU Motorsports,763.31,242.39,215.03,71.03,100,44,75,55.51,72.26,39.63,305.88,0,TRUE,TRUE,TRUE,
12,9,Univ of Maryland - Baltimore County,UMBC Racing,762.03,242.48,260.73,98.73,120,42,70.57,63.97,62.7,45.23,258.82,0,TRUE,TRUE,TRUE,
13,87,California Polytechnic State Univ-SLO,Cal Poly Racing,730.86,256.05,231.67,76.67,120,35,65.16,73.71,72.5,44.68,243.14,0,TRUE,TRUE,TRUE,
14,80,Ohio Northern Univ,Polar Bear Racing,723.96,219.89,190.34,65.34,90,35,66.31,60.68,61.96,30.95,313.73,0,TRUE,TRUE,TRUE,
15,16,Pennsylvania College of Technology,PCTBaja,722.46,238.61,146.59,59.59,70,17,66.5,62.84,54.58,54.69,337.25,0,TRUE,TRUE,TRUE,
16,58,Georgia Southern Univ,Eagle Motorsports,720.77,240.52,158.68,68.68,60,30,54.57,71.02,70.87,44.05,321.57,0,TRUE,TRUE,TRUE,
17,34,Youngstown State Univ,YSU Baja,717.79,228.47,191.28,45.28,100,46,50.5,67.26,55.46,55.25,298.04,0,TRUE,TRUE,TRUE,
18,97,Tennessee Tech Univ,TTU Baja,695.93,228.22,122.61,55.61,40,27,55.68,63.07,60.45,49.03,345.1,0,TRUE,TRUE,TRUE,
19,8,Univ of Nebraska - Lincoln,Husker Racing,682.67,204.09,227.6,70.6,120,37,39.2,51.37,56.82,56.69,250.98,0,TRUE,TRUE,TRUE,
20,93,Univ of Nevada - Las Vegas,Rebel Racing,681.48,217.85,204.81,61.81,100,43,60.77,70.33,62.59,24.16,258.82,,TRUE,FALSE,FALSE,
21,69,Univ of Wisconsin - Platteville,Pioneer Racing,679.28,201.27,156.44,51.44,80,25,54.89,45.13,61.62,39.63,321.57,0,TRUE,TRUE,TRUE,
22,15,Instituto Tecnologico de Toluca,Escuderia Halcon,664.61,200.17,189.93,82.93,90,17,51.01,61.98,44.54,42.63,274.51,0,TRUE,TRUE,TRUE,
23,169,Escola Polit�cnica da USP,Poli-USP Baja,659.25,221.75,178.68,33.68,100,45,60.02,70.29,47.07,44.37,258.82,0,TRUE,TRUE,TRUE,
24,17,RV College of Engineering,Team Helios Racing,658.77,213.46,210.02,68.02,110,32,70.97,35.46,68.35,38.68,235.29,0,TRUE,TRUE,TRUE,
25,85,Univ of Central Florida,Knights Racing,646.68,228.51,253.46,80.46,130,43,67.29,61.17,62.7,37.34,164.71,0,TRUE,TRUE,TRUE,
26,25,McGill Univ,McGill Baja Racing,642.84,232.18,222.43,62.43,120,40,65.52,62.57,65.88,38.21,188.24,0,TRUE,TRUE,TRUE,
27,111,Arizona State Univ Polytechnic,Sun Devil Racing,628.1,220.06,188.43,90.43,80,18,68.24,52.05,60.14,39.63,219.61,0,TRUE,TRUE,TRUE,
28,70,Michigan State Univ,MSU Baja,626.41,202.73,196.23,69.23,100,27,65.63,33.54,66.22,37.34,227.45,0,TRUE,TRUE,TRUE,
29,82,Univ of Illinois - Urbana Champaign,Off-Road Illini,624.9,175.64,206.12,53.12,110,43,53.62,67.43,8.81,45.79,243.14,0,TRUE,TRUE,TRUE,
30,44,Queen's Univ,Queen's Baja,624.88,236.44,208.04,62.04,100,46,64.41,66.88,62.52,42.63,180.39,0,TRUE,TRUE,TRUE,
31,75,Universidad La Salle,�guilas,620.5,159.79,186.2,85.2,80,21,56.66,0,48.57,54.56,274.51,0,TRUE,TRUE,TRUE,
32,36,Old Dominion Univ,Whiskey Throttle Racing,606.8,215.38,156.13,58.13,50,48,43.55,63.63,61.46,46.73,235.29,0,TRUE,TRUE,TRUE,
33,31,Dr. D.Y. Patil Institute of Technology,TEAM DURGAYANS,598.8,203.19,176,15,110,51,72.87,61.97,68.35,0,219.61,0,TRUE,TRUE,FALSE,
34,50,California State Univ - Los Angeles,Rugged Eagle Motorsports,592.63,214.57,158.45,62.45,60,36,55.04,65.84,62.03,31.66,219.61,0,TRUE,TRUE,TRUE,
35,22,Pimpri Chinchwad College of Engineering,Team Red Baron,587.15,232.8,189.64,71.64,80,38,65.91,58.84,70,38.05,164.71,0,TRUE,TRUE,TRUE,
36,121,Clarkson University,Golden Knights Racing,576.56,254.78,196.29,77.29,90,29,71.01,67.46,71.16,45.16,125.49,0,TRUE,TRUE,TRUE,
37,60,Marquette Univ,Eagle Racing,566.32,171.4,128.26,66.26,40,22,39.12,45.77,61.01,25.5,266.67,0,TRUE,TRUE,TRUE,
38,7,Northeastern Univ,Skunkworks,563.41,211.95,210.28,65.28,110,35,48.25,63.17,56.56,43.97,141.18,0,TRUE,TRUE,TRUE,
39,91,Univ of Missouri - Kansas City,UMKC Baja Racing,549.13,201.13,246.04,94.04,110,42,50.66,61.93,44.25,44.29,101.96,0,TRUE,TRUE,TRUE,
40,76,Johns Hopkins Univ,Blue Jay Racing,545.24,212.58,199.33,65.33,90,44,61.84,59.44,47.25,44.05,133.33,0,TRUE,TRUE,TRUE,
41,33,Univ of British Columbia,UBC Baja,543.33,148.44,175.28,38.28,100,37,49.35,0,54.88,44.21,219.61,0,TRUE,TRUE,TRUE,
42,52,New Jersey Institute of Technology,Highlander Racing,518.78,181.27,149.28,78.28,30,41,54.65,61.03,47.04,18.55,188.24,0,TRUE,TRUE,TRUE,
43,14,SUNY - Stony Brook,Stony Brook Motorsports,516.29,216.68,103.53,38.53,50,15,61.13,47.11,51.1,57.34,196.08,0,TRUE,TRUE,TRUE,
44,24,Lehigh Univ,Lehigh Engineers,509.08,140.09,157.23,56.23,80,21,62.39,0,58.27,19.42,211.76,0,TRUE,TRUE,TRUE,
45,72,Univ of Wisconsin - Milwaukee,UW MKE Baja,500.18,144.28,144.14,61.14,50,33,13.28,48.82,45.55,36.63,211.76,0,TRUE,TRUE,TRUE,
46,42,Virginia Tech,VT Baja,486.62,173.55,179.74,79.74,70,30,56.66,47.15,32.55,37.18,133.33,0,TRUE,TRUE,TRUE,
47,55,Universite Du Quebec at Rimouski,Nordic Wolf,479.63,192.16,154.13,65.13,50,39,51.33,48.42,47.89,44.52,133.33,0,TRUE,TRUE,TRUE,
48,53,Univ of Puerto Rico-Mayaquez,Rum Racing Baja,476.28,204.42,162.06,58.06,70,34,58.52,50.52,58.19,37.18,109.8,0,TRUE,TRUE,TRUE,
49,123,Michigan Tech Univ,Blizzard Baja,473.92,195.19,98.34,57.34,30,11,47.26,60.68,47.62,39.63,180.39,0,TRUE,TRUE,TRUE,
50,83,Univ of San Diego,Torero Racing,451.96,128.96,134.76,52.76,50,32,40.74,0,51.04,37.18,188.24,0,TRUE,TRUE,TRUE,
51,65,Penn State Univ - Altoona,Penn State Altoona,448.3,199.07,61,15,20,26,49.47,54.31,57.15,38.13,188.24,0,TRUE,TRUE,TRUE,
52,45,Kansas State Univ,Wildcat Offroad,443.74,194.78,99.94,33.94,50,16,44.34,61.04,44.56,44.84,149.02,0,TRUE,TRUE,TRUE,
53,61,Cleveland State Univ,Vikings Racing,442.62,185.52,155.14,81.14,50,24,54.45,57.36,56.73,16.97,101.96,0,TRUE,TRUE,TRUE,
54,81,Univ of Manitoba,University of Manitoba,442.03,102.52,65,15,30,20,41.45,0,44.09,16.97,274.51,0,TRUE,TRUE,TRUE,
55,84,McMaster Univ,McMaster Baja Racing,433.74,204.74,189.78,68.78,90,31,57.61,58.21,51.65,37.26,39.22,0,TRUE,TRUE,TRUE,
