Rank,Car #,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost Event (100),Design (150),Sales Presentation (50),Acceleration (75),Maneuverability (75),Weight Pull (75),Suspension (75),Endurance (400),Adjustments,Registered,Passed Tech,Passed Tech On Time,Public Comments
1,1,Univ of Michigan - Ann Arbor,Michigan Baja Racing,302.14,0,277.14,87.14,137,53,0,0,0,0,0,25,TRUE,TRUE,FALSE,4WD Bonus
2,2,Rochester Institute of Technology,RIOT RACING,299.04,0,274.04,88.11,144,41.93,0,0,0,0,0,25,TRUE,TRUE,FALSE,4WD Bonus
3,3,Oregon State Univ,Beaver Racing,269.44,0,244.44,76.77,125,42.67,0,0,0,0,0,25,TRUE,TRUE,FALSE,4WD Bonus
4,9,California Polytechnic State Univ-SLO,Cal Poly San Luis Obispo,260.8,0,235.8,70.08,120,45.72,0,0,0,0,0,25,TRUE,TRUE,FALSE,4WD Bonus
5,23,Dwarkadas J Sanghvi College of Engrg,DJS Kronos India,257.16,0,257.16,81.2,132,43.96,0,0,0,0,0,0,TRUE,TRUE,FALSE,
6,7,Cornell Univ,Cornell Baja Racing,257.13,0,232.13,63.17,125,43.96,0,0,0,0,0,25,TRUE,TRUE,FALSE,4WD Bonus
7,87,Queen's Univ,Queen's Baja,256.04,0,231.04,81.04,100,50,0,0,0,0,0,25,TRUE,TRUE,FALSE,4WD Bonus
8,94,Univ of Nevada - Las Vegas,Rebel Racing,255.06,0,255.06,85.8,130,39.26,0,0,0,0,0,0,TRUE,TRUE,FALSE,
9,4,Ecole de Technologie Superieure,ETS,252.59,0,252.59,92.58,120,40.01,0,0,0,0,0,0,TRUE,TRUE,FALSE,
10,83,Univ of Illinois - Urbana Champaign,Off-Road Illini,249.16,0,249.16,70.19,140,38.97,0,0,0,0,0,0,TRUE,TRUE,FALSE,
11,19,"D Y Patil College Of Engineering, Akurdi",Team Predators Racing,244.15,0,244.15,79.97,120,44.18,0,0,0,0,0,0,TRUE,TRUE,FALSE,
12,82,Case Western Reserve Univ,CWRU Motorsports,243.04,0,243.04,78.83,120,44.21,0,0,0,0,0,0,TRUE,TRUE,FALSE,
13,34,Maharashtra Institute of Technology,Team Piranha racing,239.05,0,239.05,64.05,120,55,0,0,0,0,0,0,TRUE,TRUE,FALSE,
14,91,California State Univ- Chico,Wildcat racing,235.79,0,210.79,78.79,132,0,0,0,0,0,0,25,TRUE,TRUE,FALSE,4WD Bonus
15,89,Georgia Institute of Technology,GT Off-Road,234.14,0,234.14,85.91,120,28.23,0,0,0,0,0,0,TRUE,TRUE,FALSE,
16,41,University of Pretoria,TuksBaja,232.96,0,232.96,84.06,110,38.9,0,0,0,0,0,0,TRUE,TRUE,FALSE,
17,101,San Diego State Univ,Aztec Baja,232.89,0,207.89,80.15,90,37.74,0,0,0,0,0,25,TRUE,TRUE,FALSE,4WD Bonus
18,88,Univ of Rochester,Yellowjacket Racing,225.86,0,225.86,72.48,110,43.38,0,0,0,0,0,0,TRUE,TRUE,FALSE,
19,69,Xiamen University of Technology,AMOY,225.04,0,200.04,61.14,100,38.9,0,0,0,0,0,25,TRUE,TRUE,FALSE,4WD Bonus
20,84,Univ of Maryland - Baltimore County,UMBC Racing,222.06,0,197.06,100,70,27.06,0,0,0,0,0,25,TRUE,TRUE,FALSE,4WD Bonus
21,81,Government College of Technology,Screwtenizers GCT,218.92,0,218.92,83.58,100,35.34,0,0,0,0,0,0,TRUE,TRUE,FALSE,
22,14,RV College of Engineering,Team Helios Racing,216.88,0,216.88,78.6,100,38.28,0,0,0,0,0,0,TRUE,TRUE,FALSE,
23,39,Rowan Univ,Rowan Motorsports,215.39,0,215.39,69.66,110,35.73,0,0,0,0,0,0,TRUE,TRUE,FALSE,
24,77,Pimpri Chinchwad College of Engineering,Team Red Baron,215.01,0,215.01,79.44,100,35.57,0,0,0,0,0,0,TRUE,TRUE,FALSE,
25,63,Universidad De La Salle Bajio,Felinos,214.83,0,189.83,72.7,80,37.13,0,0,0,0,0,25,TRUE,TRUE,FALSE,4WD Bonus
26,95,Univ of Calif - Los Angeles,Bruin Racing Baja,212.26,0,212.26,76.53,110,25.73,0,0,0,0,0,0,TRUE,TRUE,FALSE,
27,24,KK Wagh College of Engineering,Team Brahmastra Racing,206.95,0,206.95,62.3,120,24.65,0,0,0,0,0,0,TRUE,TRUE,FALSE,
28,5,Univ of Akron,Zips Baja,205.44,0,205.44,78.53,90,36.91,0,0,0,0,0,0,TRUE,TRUE,FALSE,
29,45,Marathwada Mitra Mandals College Eng,Team Abhedya,201.66,0,201.66,65.31,100,36.35,0,0,0,0,0,0,TRUE,TRUE,FALSE,
30,29,New Mexico State Univ,NMSU Motorsports,194.74,0,194.74,66.04,100,28.7,0,0,0,0,0,0,TRUE,TRUE,FALSE,
31,17,California State Univ - Los Angeles,Ruggled Eagle Motorsports,190.08,0,190.08,59.08,80,51,0,0,0,0,0,0,TRUE,TRUE,FALSE,
32,93,Univ of Nebraska - Lincoln,Husker Racing,181.55,0,181.55,62.58,80,38.97,0,0,0,0,0,0,TRUE,TRUE,FALSE,
33,108,AISSMS College of Engineering,RESONANCE RACING,176.08,0,176.08,76.52,70,29.56,0,0,0,0,0,0,TRUE,TRUE,FALSE,
34,62,ITESM - Campus QRO,exergia,176.04,0,176.04,65.23,90,20.81,0,0,0,0,0,0,TRUE,TRUE,FALSE,
35,22,Maharaja Agrasen Institute Of Tech,Team Jatayu,175.01,0,175.01,24.77,120,30.24,0,0,0,0,0,0,TRUE,TRUE,FALSE,
36,12,New Jersey Institute of Technology,Highlander Racing,172.62,0,172.62,65.3,70,37.32,0,0,0,0,0,0,TRUE,TRUE,FALSE,
37,92,California State Poly Univ - Pomona,Bronco Racing,163.31,0,163.31,73.31,90,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
38,40,Seattle Pacific Univ,SPU Baja Racing,161,0,161,63.39,70,27.61,0,0,0,0,0,0,TRUE,TRUE,FALSE,
39,21,San Jose State University,Spartan Racing,160.51,0,135.51,14.2,100,21.31,0,0,0,0,0,25,TRUE,TRUE,FALSE,4WD Bonus
40,97,Central Michigan Univ,Chippewa Performance,156.36,0,131.36,72.47,40,18.89,0,0,0,0,0,25,TRUE,TRUE,FALSE,4WD Bonus
41,53,Univ of Helwan,Baja Helwan,150.76,0,150.76,77.19,40,33.57,0,0,0,0,0,0,TRUE,TRUE,FALSE,
42,18,Harding Univ,Bison Baja,145.78,0,145.78,57.44,60,28.34,0,0,0,0,0,0,TRUE,TRUE,FALSE,
43,64,Lushan College of GXUST,LS Racing Baja,138.67,0,113.67,3.26,80,30.41,0,0,0,0,0,25,TRUE,TRUE,FALSE,4WD Bonus
44,44,Univ of Calif - Irvine,Anteater Racing,134.76,0,134.76,45.12,60,29.64,0,0,0,0,0,0,TRUE,TRUE,FALSE,
45,16,Cetys Universidad,CMB,125.42,0,125.42,31.4,60,34.02,0,0,0,0,0,0,TRUE,TRUE,FALSE,
46,96,Iowa State Univ,Cyclone Off-Road Racing,112.94,0,112.94,52.94,60,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
47,11,Univ of Arizona,Baja Wildcat Racing,110.53,0,110.53,0,90,20.53,0,0,0,0,0,0,TRUE,TRUE,FALSE,
48,27,Univ of San Diego,Torero Racing,105.17,0,105.17,43.86,40,21.31,0,0,0,0,0,0,TRUE,TRUE,FALSE,
49,78,Oregon Inst of Tech,Oregon Tech Racing,95,0,70,0,70,0,0,0,0,0,0,25,TRUE,TRUE,FALSE,4WD Bonus
50,32,California State Univ - Long Beach,Long Beach Racinng,79.83,0,79.83,53.61,0,26.22,0,0,0,0,0,0,TRUE,TRUE,FALSE,
51,47,North Carolina A & T State Univ,Aggie Racing,58.38,0,58.38,58.38,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
52,43,California State Univ - Fullerton,Titan Racing Baja,54.38,0,54.38,54.38,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
53,109,Univ of Louisville,Louisville SAE Baja,51.25,0,51.25,31.04,0,20.21,0,0,0,0,0,0,TRUE,TRUE,FALSE,
54,13,SUNY - Buffalo,UB Motorsports,50,0,50,0,50,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
55,85,Purdue Univ - Northwest,PNW Baja Motorsports,42.45,0,42.45,21.98,0,20.47,0,0,0,0,0,0,TRUE,TRUE,FALSE,
56,86,Virginia Tech,VT Baja,30,0,30,0,30,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
57,36,California Maritime Academy,CMA BAJA 3,18.13,0,18.13,18.13,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
58,8,Johns Hopkins Univ,Blue Jay Racing,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
58,15,Arizona State Univ Polytechnic,Sun Devil Racing,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
58,20,Changzhou Vocational Inst of Eng (CZIE),CBT,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
58,25,Michigan Tech Univ,Blizzard Baja,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
58,26,Dr. D.Y. Patil Institute of Technology,TEAM DURGAYANS,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
58,28,Univ of Kansas - Lawrence,Jayhawk Baja,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
58,30,Universidad Autonoma de Ciudad Juarez,Indios Racing,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
58,31,Northern Arizona Univ,Lumberjack Motorsports,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
58,33,Oklahoma Christian Univ,OC Baja Racing,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
58,35,Utah Valley University,UVU Baja,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
58,38,Kansas State Univ,Wildcat Offroad,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
58,46,Loyola College in Maryland,Loyola Motorsports,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
58,48,Univ of Texas -Tyler,Red Dirt Racing,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
58,49,St Mary's University,Rattler Racing,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
58,50,Univ of Wisconsin - Stout,Blue Devil Racing,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
58,51,Univ of Tennessee - Martin,Skyhawk Racing,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
58,52,Louisiana State Univ,Baja Bengals,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
58,54,Utah State University,USU Aggie Baja,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
58,55,Missouri State University,MSU Baja,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
58,57,Lamar Univ,Red Wing,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
58,58,Pittsburg State University,Gorilla Racing,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
58,59,Beijing Polytechnic,BEIJING POLYTECHNIC Baja Racing Team,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
58,60,Colorado State University,Aggies Off-Road Racing and Development,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
58,61,Olympic College,Baja Extreme,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
58,65,Univ of Alaska - Anchorage,Seawolf Motorsports,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
58,66,Eastern Washington Univ,EWU Motorsports,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
58,67,Instituto Tecnologico de Chihuahua,Panteras Racing Team,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
58,68,Weber State Univ,weber racing,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
58,70,Univ of Calif - Davis,Baja SAE at UC Davis,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
58,72,Univ of Texas - Permian Basin,Falcon Baja,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
58,73,Texas A&M - Kingsville,Javelina motorsports,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
58,76,California State Univ - Fresno,Bulldog Racing,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
58,79,Texas A&M International University,DustyMOTOR,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
58,80,Univ of Arkansas - Fayetteville,Full Boar Racing,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
58,90,Univ of Iowa,Hawkeye Motorsports,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
58,98,Alfred Univ,Saxon Racing,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
58,100,Univ of Missouri,Mizzou Baja Racing,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
