Rank,Car #,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost Event (100),Design (150),Sales Presentation (50),Acceleration (75),Maneuverability (75),Weight Pull (75),Suspension (75),Endurance (400),Adjustments,Registered,Passed Tech,Passed Tech On Time,Public Comments
1,2,Univ of Michigan - Ann Arbor,Michigan Baja Racing,304.67,0,279.67,87.67,137,55,0,0,0,0,0,25,TRUE,TRUE,FALSE,4WD Bonus
2,4,Rochester Institute of Technology,RIOT RACING,299.53,0,274.53,88.6,144,41.93,0,0,0,0,0,25,TRUE,TRUE,FALSE,4WD Bonus
3,1,Oregon State Univ,Beaver Racing,270.39,0,245.39,77.72,125,42.67,0,0,0,0,0,25,TRUE,TRUE,FALSE,4WD Bonus
4,39,Vellore Institute of Technology,Team Jaabaz,269.2,0,244.2,83.33,120,40.87,0,0,0,0,0,25,TRUE,TRUE,FALSE,4WD Bonus
5,9,Cornell Univ,Cornell Baja Racing,258.61,0,233.61,64.65,125,43.96,0,0,0,0,0,25,TRUE,TRUE,FALSE,4WD Bonus
6,101,Univ of Calgary,Schulich Off-Road,255.06,0,230.06,74.46,110,45.6,0,0,0,0,0,25,TRUE,TRUE,FALSE,4WD Bonus
7,3,Ecole de Technologie Superieure,ETS,252.9,0,252.9,92.89,120,40.01,0,0,0,0,0,0,TRUE,TRUE,FALSE,
8,94,Univ of Illinois - Urbana Champaign,Off-Road Illini,250.39,0,250.39,71.42,140,38.97,0,0,0,0,0,0,TRUE,TRUE,FALSE,
9,96,Case Western Reserve Univ,CWRU Motorsports,243.92,0,243.92,79.71,120,44.21,0,0,0,0,0,0,TRUE,TRUE,FALSE,
10,95,Michigan State University,MSU Baja Racing,243.76,0,218.76,85.9,100,32.86,0,0,0,0,0,25,TRUE,TRUE,FALSE,4WD Bonus
11,43,Georgia Institute of Technology,GT Off-Road,234.72,0,234.72,86.49,120,28.23,0,0,0,0,0,0,TRUE,TRUE,FALSE,
12,10,San Diego State Univ,Aztec Baja,233.71,0,208.71,80.97,90,37.74,0,0,0,0,0,25,TRUE,TRUE,FALSE,4WD Bonus
13,15,Univ of Wisconsin - Madison,Badger Racing,229.7,0,229.7,86.15,110,33.55,0,0,0,0,0,0,TRUE,TRUE,FALSE,
14,35,Univ of Oklahoma,Sooner Off-Road,229.69,0,229.69,77.02,110,42.67,0,0,0,0,0,0,TRUE,TRUE,FALSE,
15,97,Univ of Rochester,Yellowjacket Racing,226.99,0,226.99,73.61,110,43.38,0,0,0,0,0,0,TRUE,TRUE,FALSE,
16,40,Texas A&M Univ,Texas A&M Baja,222.3,0,197.3,70.16,90,37.14,0,0,0,0,0,25,TRUE,TRUE,FALSE,4WD Bonus
17,5,Univ of Maryland - Baltimore County,UMBC Racing,222.06,0,197.06,100,70,27.06,0,0,0,0,0,25,TRUE,TRUE,FALSE,4WD Bonus
18,100,Marquette Univ,Eagle Racing,219.06,0,194.06,65.13,100,28.93,0,0,0,0,0,25,TRUE,TRUE,FALSE,4WD Bonus
19,98,Rowan Univ,Rowan Motorsports,216.65,0,216.65,70.92,110,35.73,0,0,0,0,0,0,TRUE,TRUE,FALSE,
