Rank,Car #,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost Event (100),Design (150),Sales Presentation (50),Acceleration (75),Maneuverability (75),Weight Pull (75),Suspension (75),Endurance (400),Adjustments,Registered,Passed Tech,Passed Tech On Time,Public Comments
1,1,Univ of Michigan - Ann Arbor,Michigan Baja Racing,305.01,0,280.01,88.01,137,55,0,0,0,0,0,25,TRUE,TRUE,FALSE,4WD Bonus
2,10,Rochester Institute of Technology,RIOT RACING,299.84,0,274.84,88.91,144,41.93,0,0,0,0,0,25,TRUE,TRUE,FALSE,4WD Bonus
3,51,Northeastern Univ,Skunkworks,273.06,0,273.06,77.06,145,51,0,0,0,0,0,0,TRUE,TRUE,FALSE,
4,89,Univ of Maryland - College Park,Terps Racing,270.61,0,245.61,80.01,120,45.6,0,0,0,0,0,25,TRUE,TRUE,FALSE,4WD Bonus
5,4,Cornell Univ,Cornell Baja Racing,259.58,0,234.58,65.62,125,43.96,0,0,0,0,0,25,TRUE,TRUE,FALSE,4WD Bonus
6,30,Queen's Univ,Queen's Baja,257.33,0,232.33,82.33,100,50,0,0,0,0,0,25,TRUE,TRUE,FALSE,4WD Bonus
7,31,Univ of Nevada - Las Vegas,Rebel Racing,256.02,0,256.02,86.76,130,39.26,0,0,0,0,0,0,TRUE,TRUE,FALSE,
8,8,Univ of Calgary,Schulich Off-Road,255.76,0,230.76,75.16,110,45.6,0,0,0,0,0,25,TRUE,TRUE,FALSE,4WD Bonus
9,27,Vellore Institute of Technology Chennai,Team Saksham International,254.39,0,229.39,44.39,132,53,0,0,0,0,0,25,TRUE,TRUE,FALSE,4WD Bonus
10,2,Ecole de Technologie Superieure,ETS,253.09,0,253.09,93.08,120,40.01,0,0,0,0,0,0,TRUE,TRUE,FALSE,
11,21,Univ of Illinois - Urbana Champaign,Off-Road Illini,251.18,0,251.18,72.21,140,38.97,0,0,0,0,0,0,TRUE,TRUE,FALSE,
12,14,Case Western Reserve Univ,CWRU Motorsports,244.48,0,244.48,80.27,120,44.21,0,0,0,0,0,0,TRUE,TRUE,FALSE,
13,41,Michigan State University,MSU Baja Racing,244.15,0,219.15,86.29,100,32.86,0,0,0,0,0,25,TRUE,TRUE,FALSE,4WD Bonus
14,28,Sinhgad College of Engineering,TEAM KRAFTWAGEN,239.11,0,239.11,73.97,120,45.14,0,0,0,0,0,0,TRUE,TRUE,FALSE,
15,84,California State Univ- Chico,Wildcat racing,237.22,0,212.22,80.22,132,0,0,0,0,0,0,25,TRUE,TRUE,FALSE,4WD Bonus
16,3,San Diego State Univ,Aztec Baja,234.23,0,209.23,81.49,90,37.74,0,0,0,0,0,25,TRUE,TRUE,FALSE,4WD Bonus
17,61,McMaster Univ,McMaster Baja Racing,231.19,0,231.19,81.13,110,40.06,0,0,0,0,0,0,TRUE,TRUE,FALSE,
18,22,Univ of Rochester,Yellowjacket Racing,227.72,0,227.72,74.34,110,43.38,0,0,0,0,0,0,TRUE,TRUE,FALSE,
19,67,ITESM - Campus Guadalajara,MadRams Gda,226.12,0,201.12,87.74,80,33.38,0,0,0,0,0,25,TRUE,TRUE,FALSE,4WD Bonus
20,53,The Ohio State University,Baja Buckeyes,224.75,0,224.75,77.3,110,37.45,0,0,0,0,0,0,TRUE,TRUE,FALSE,
21,64,Univ of Maryland - Baltimore County,UMBC Racing,222.06,0,197.06,100,70,27.06,0,0,0,0,0,25,TRUE,TRUE,FALSE,4WD Bonus
22,47,Youngstown State Univ,penguin baja racing,216.27,0,216.27,76.9,100,39.37,0,0,0,0,0,0,TRUE,TRUE,FALSE,
23,9,Univ of Akron,Zips Baja,206.89,0,206.89,79.98,90,36.91,0,0,0,0,0,0,TRUE,TRUE,FALSE,
24,26,New York University,NYU Tandon Motorsports,204.81,0,204.81,51.41,120,33.4,0,0,0,0,0,0,TRUE,TRUE,FALSE,
25,80,National Inst of Tech Kurukshetra,NITROX,204.51,0,204.51,74.17,100,30.34,0,0,0,0,0,0,TRUE,TRUE,FALSE,
26,81,Universidad La Salle,aguilas,203.21,0,203.21,93.67,70,39.54,0,0,0,0,0,0,TRUE,TRUE,FALSE,
27,77,IPN - UPIITA,Baja Sae Upiita,202.03,0,202.03,74.5,100,27.53,0,0,0,0,0,0,TRUE,TRUE,FALSE,
28,17,McGill Univ,McGill Baja Racing,199.67,0,199.67,61.83,100,37.84,0,0,0,0,0,0,TRUE,TRUE,FALSE,
29,34,Georgia Southern Univ,Eagle Motorsports,198.78,0,198.78,65.49,100,33.29,0,0,0,0,0,0,TRUE,TRUE,FALSE,
30,19,Government College of Engg Aurangabad,TEAM ARYANS,196.77,0,196.77,76.77,120,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
31,16,Purdue Univ - W Lafayette,Purdue Baja Racing,195.74,0,195.74,61.7,90,44.04,0,0,0,0,0,0,TRUE,TRUE,FALSE,
32,105,AISSMS College of Engineering,RESONANCE RACING,177.67,0,177.67,78.11,70,29.56,0,0,0,0,0,0,TRUE,TRUE,FALSE,
33,88,IPN - Esime Azcapotcalco,Marabunta,177.14,0,177.14,72.37,90,14.77,0,0,0,0,0,0,TRUE,TRUE,FALSE,
34,75,College of New Jersey,TCNJ Motorsports,176.33,0,176.33,54.62,80,41.71,0,0,0,0,0,0,TRUE,TRUE,FALSE,
35,58,Cummins College Of Engineering,TZ6,171.83,0,171.83,53.73,80,38.1,0,0,0,0,0,0,TRUE,TRUE,FALSE,
36,60,Univ of Wisconsin - Platteville,Pioneer Racing,167.39,0,167.39,59.61,80,27.78,0,0,0,0,0,0,TRUE,TRUE,FALSE,
