Rank,Car #,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost Event (100),Design (150),Sales Presentation (50),Acceleration (75),Maneuverability (75),Sled Pull (75),Suspension (75),Endurance (400),Adjustments,Registered,Passed Tech,Passed Tech On Time,Public Comments
1,98,Univ of Michigan - Ann Arbor,Michigan Baja Racing,998.99,226.8,300.88,90.88,140,70,60.45,68.23,42.53,55.6,391.3,80,TRUE,TRUE,TRUE,4WD Bonus
2,71,Ecole de Technologie Superieure,Baja ETS,991.44,254.42,283.11,91.27,150,41.84,61.65,70,54.06,68.71,373.91,80,TRUE,TRUE,TRUE,4WD Bonus
3,113,Rochester Institute of Technology,RIOT RACING,951,227.89,277.89,87.05,130,60.84,39.85,67.89,50.9,69.25,365.22,80,TRUE,TRUE,TRUE,4WD Bonus
4,26,Oregon State Univ,Beaver Racing,867.87,204.96,243.78,84.33,110,49.45,39.27,69.36,41.62,54.71,339.13,80,TRUE,TRUE,TRUE,4WD Bonus
5,101,Virginia Tech,VT Baja,834.21,231.52,148.77,59.98,40,48.79,50.24,65.61,45.68,70,373.91,80,TRUE,TRUE,TRUE,4WD Bonus
6,114,Purdue Univ - W Lafayette,Purdue Baja Racing,832.53,183.23,264.96,61.96,130,73,56.74,68.24,45.68,12.57,304.35,80,TRUE,TRUE,TRUE,4WD Bonus
7,22,Georgia Institute of Technology,GT Off-Road,813,184.87,235.1,74.95,110,50.15,41.67,62.81,64.98,15.4,313.04,80,TRUE,TRUE,TRUE,4WD Bonus
8,116,Cornell Univ,Cornell Baja Racing,795.66,176.7,234.61,76.81,100,57.8,70,66.16,14.42,26.12,304.35,80,TRUE,TRUE,TRUE,4WD Bonus
9,106,Université Laval,Alerion,780.91,256.6,225.4,90.05,70,65.35,68.87,66.42,53.16,68.15,373.91,-75,TRUE,TRUE,TRUE,Incorrect Driveline Documenation
10,94,McMaster Univ,McMaster Baja Racing,780.33,190.38,214.3,64.3,80,70,54.23,64.57,24.96,46.62,295.65,80,TRUE,TRUE,TRUE,4WD Bonus
11,108,Pennsylvania College of Technology,PCT Baja,748.46,226.24,122.22,62.22,60,0,65.9,63.96,27.48,68.9,400,0,TRUE,TRUE,TRUE,
12,100,Case Western Reserve Univ,CWRU Motorsports,748.21,81.17,274,74,130,70,62.52,0,10.36,8.29,313.04,80,TRUE,TRUE,TRUE,4WD Bonus
13,119,Queen's Univ,Queen's Baja SAE,743.03,166.01,210.07,65.48,90,54.59,44.54,0,65.35,56.12,286.96,80,TRUE,TRUE,TRUE,4WD Bonus
14,112,Iowa State Univ,Cyclone Off-Road Racing,697.33,214.98,132.78,23.93,50,58.85,48.13,65.98,36.22,64.65,269.57,80,TRUE,TRUE,TRUE,4WD Bonus
