Rank,Car #,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost Event (100),Design (150),Sales Presentation (50),Acceleration (75),Maneuverability (75),Sled Pull (75),Suspension (75),Endurance (400),Adjustments,Registered,Passed Tech,Passed Tech On Time,Public Comments
1,56,Rochester Institute of Technology,RIOT RACING,956.85,251.83,239.3,88.46,90,60.84,58.71,60.72,63.6,68.79,385.71,80,TRUE,TRUE,TRUE,4WD Bonus
2,105,Univ of Michigan - Ann Arbor,Michigan Baja Racing,937.53,187.91,283.91,91.86,130,62.05,70,61.91,35.57,20.43,385.71,80,TRUE,TRUE,TRUE,4WD Bonus
3,125,Ecole de Technologie Superieure,Baja ETS,901.01,155.79,279.51,92.66,145,41.84,59.7,69.84,5.82,20.43,385.71,80,TRUE,TRUE,TRUE,4WD Bonus
4,104,Cornell Univ,Cornell Baja Racing,863.46,196.57,258.31,80.51,120,57.8,63.39,66.29,5.3,61.59,328.57,80,TRUE,TRUE,TRUE,4WD Bonus
5,32,Purdue Univ - W Lafayette,Purdue Baja Racing,856.32,186.89,260.86,67.86,120,73,40.81,63.57,19.21,63.3,328.57,80,TRUE,TRUE,TRUE,4WD Bonus
6,40,Univ of Wisconsin - Madison,Badger Racing,802.36,189.34,225.87,84.92,80,60.95,56.74,51.14,18.95,62.5,307.14,80,TRUE,TRUE,TRUE,4WD Bonus
7,67,Concordia University,Concordia Baja Racing,795.19,163.77,179.99,29.99,80,70,43.45,50.11,5.19,65.02,371.43,80,TRUE,TRUE,TRUE,4WD Bonus
8,61,San Diego State Univ,Aztec Baja Racing,767.55,207.38,144.46,46.5,50,47.96,53.33,50.45,33.6,70,335.71,80,TRUE,TRUE,TRUE,4WD Bonus
9,43,Univ of Nevada - Las Vegas,Rebel Racing,767.23,147.37,277,100,100,77,56.64,54.46,15.84,20.43,342.86,0,TRUE,TRUE,TRUE,
10,38,Université Laval,Alerion,765.2,219.99,216.64,91.64,60,65,61.77,61.73,39.98,56.51,328.57,0,TRUE,TRUE,TRUE,
11,17,McMaster Univ,McMaster Baja Racing,763.82,150.97,239.99,69.99,100,70,57.83,66.72,16.2,10.22,292.86,80,TRUE,TRUE,TRUE,4WD Bonus
12,96,Centro Universitario Da FEI,FEI Baja,759.94,210.11,214.12,32.03,120,62.09,58.92,70,12.98,68.21,335.71,0,TRUE,TRUE,TRUE,
13,24,Northeastern Univ,Skunkworks,746.92,163.57,210.49,64.64,110,35.86,49.22,55.91,38.01,20.43,292.86,80,TRUE,TRUE,TRUE,4WD Bonus
14,34,McGill Univ,McGill Baja Racing,723.74,178.46,150.99,56.61,40,54.38,44.64,61.31,29.08,43.43,314.29,80,TRUE,TRUE,TRUE,4WD Bonus
15,120,Youngstown State Univ,penguin baja racing,705.04,155.38,219.66,64.66,80,75,52.42,51.27,31.26,20.43,250,80,TRUE,TRUE,TRUE,4WD Bonus
16,102,Universidade de Santa Cruz do Sul,Baja de GalpÃ£o - UNISC,703.76,151.43,234.47,29.47,135,70,59.52,63.93,17.76,10.22,392.86,-75,TRUE,TRUE,TRUE,Incorrect Driveline Documenation
17,68,Iowa State Univ,Cyclone Off-Road Racing,681.68,94.39,143,34.15,50,58.85,41.3,0,39.46,13.62,364.29,80,TRUE,TRUE,TRUE,4WD Bonus
18,76,Montana State Univ - Bozeman,Bobcat Motorsports,674.91,125.02,162.75,65.36,50,47.38,29.35,0,65.03,30.65,307.14,80,TRUE,TRUE,TRUE,4WD Bonus
19,87,Univ of Central Florida,Knights Racing,666.74,189.11,183.35,60.4,80,42.95,49.78,30.99,67.47,40.87,214.29,80,TRUE,TRUE,TRUE,4WD Bonus
20,30,Queen's Univ,Queen's Baja SAE,663.48,155.04,135.57,70.98,10,54.59,46.65,50.21,37.75,20.43,292.86,80,TRUE,TRUE,TRUE,4WD Bonus
21,95,Univ of Missouri - Kansas City,Roo Racing,662.59,176.23,199.22,69.22,60,70,54.32,55.3,32.56,34.06,207.14,80,TRUE,TRUE,TRUE,4WD Bonus
22,86,Kansas State Univ,Wildcat Offroad,659.64,180.85,120.21,47.35,30,42.86,38.35,53.1,31.68,57.72,278.57,80,TRUE,TRUE,TRUE,4WD Bonus
23,83,California Polytechnic State Univ-SLO,Cal Poly Racing,659.25,187.82,248.58,77.55,120,51.03,47.88,61.34,20.36,58.24,142.86,80,TRUE,TRUE,TRUE,4WD Bonus
24,100,Lehigh Univ,Lehigh Engineers,627.6,121.02,105.15,49.75,0,55.4,49.32,0,37.65,34.06,321.43,80,TRUE,TRUE,TRUE,4WD Bonus
25,110,Pennsylvania College of Technology,PCT Baja,623.43,156.91,141.52,67.92,40,33.6,68.52,64.53,10.23,13.62,400,-75,TRUE,TRUE,TRUE,Incorrect Driveline Documenation
26,16,Virginia Tech,VT Baja,618.74,126.93,183.24,64.45,70,48.79,46.68,56.57,3.25,20.43,228.57,80,TRUE,TRUE,TRUE,4WD Bonus
27,115,North Carolina A & T State Univ,Aggie Racing,617.49,106.16,109.91,39.07,30,40.84,27.73,0,29.7,48.72,321.43,80,TRUE,TRUE,TRUE,4WD Bonus
28,35,Case Western Reserve Univ,CWRU Motorsports,615.55,133.03,209.66,77.67,70,61.99,60.05,56.51,2.86,13.62,192.86,80,TRUE,TRUE,TRUE,4WD Bonus
29,37,Rowan Univ,Rowan Motorsports,606.57,137.31,132.12,36.14,50,45.97,8.18,46.1,28.04,54.99,257.14,80,TRUE,TRUE,FALSE,4WD Bonus
30,39,California State Poly Univ - Pomona,Bronco Racing,600.66,74.99,167.1,67.96,50,49.14,50.76,0,0.39,23.84,278.57,80,TRUE,TRUE,TRUE,4WD Bonus
31,28,Clarkson University,Golden Knights Racing,600.09,160.37,188.3,67.96,70,50.34,41.76,54.48,2.21,61.92,171.43,80,TRUE,TRUE,TRUE,4WD Bonus
32,93,Univ of Akron,Zips Baja,596.94,198.85,176.66,79.8,50,46.86,53.33,66.63,44.84,34.06,221.43,0,TRUE,TRUE,TRUE,
33,89,The Ohio State University,Baja Buckeyes,592.11,185.8,169.16,42.74,70,56.42,33.29,54.93,51.84,45.75,157.14,80,TRUE,TRUE,TRUE,4WD Bonus
34,119,Georgia Institute of Technology,GT Off-Road,591.45,195.06,237.82,77.67,110,50.15,51.99,55.85,59.97,27.24,78.57,80,TRUE,TRUE,TRUE,4WD Bonus
35,79,Grove City College,Grove City Racing,591.37,96.8,107.42,25.55,30,51.88,19.5,49.24,7.63,20.43,307.14,80,TRUE,TRUE,TRUE,4WD Bonus
36,36,Univ of Iowa,Iowa Baja Racing,583.13,136.41,195.29,79.53,60,55.76,39.48,43.55,1.3,52.09,171.43,80,TRUE,TRUE,TRUE,4WD Bonus
