Rank,Car #,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost Event (100),Design (150),Sales Presentation (50),Acceleration (75),Maneuverability (75),Sled Pull (75),Suspension (75),Endurance (400),Adjustments,Registered,Passed Tech,Passed Tech On Time,Public Comments
1,59,Univ of Michigan - Ann Arbor,Michigan Baja Racing,929.15,224.15,305,98,130,77,65.77,59.96,44.94,53.47,400,0,TRUE,TRUE,TRUE,
2,26,Ecole de Technologie Superieure,Baja ETS,874.12,238.59,311,91,145,75,70,64.92,52.16,51.51,324.53,0,TRUE,TRUE,TRUE,
3,48,Cornell Univ,Cornell Baja Racing,800.33,199.71,261,90,100,71,62.85,68.02,40.2,28.64,339.62,0,TRUE,TRUE,TRUE,
4,60,Rochester Institute of Technology,RIOT RACING,729.62,239.21,264,94,100,70,41.69,70,57.52,70,226.42,0,TRUE,TRUE,TRUE,
5,16,Case Western Reserve Univ,CWRU Motorsports,693.11,152.87,261,71,120,70,67.68,62.82,4.47,17.9,279.25,0,TRUE,TRUE,TRUE,
6,96,Purdue Univ - W Lafayette,Purdue Baja Racing,659.51,191.64,249,78,110,61,59.9,61.41,52.43,17.9,218.87,0,TRUE,TRUE,TRUE,
7,99,California Polytechnic State Univ-SLO,Cal Poly Racing,638,189.23,245,82,120,43,53.11,39.63,42.61,53.88,203.77,0,TRUE,TRUE,TRUE,
8,44,Michigan Tech Univ,Blizzard Baja Racing,622.48,151.05,162,52,50,60,49.12,52.91,31.13,17.9,309.43,0,TRUE,TRUE,TRUE,
9,25,Univ of Maryland - College Park,Terps Racing Baja,593.11,98.32,208,97,60,51,53.31,0,45.01,0,286.79,0,TRUE,TRUE,TRUE,
10,95,Johns Hopkins Univ,Blue Jay Racing,584.11,111.89,276,80,137,59,47.12,32.99,13.88,17.9,196.23,0,TRUE,TRUE,TRUE,
11,31,Univ of Wisconsin - Madison,Badger Racing,582.44,155.85,253,83,100,70,55.54,32.18,50.24,17.9,173.58,0,TRUE,TRUE,TRUE,
12,34,North Carolina State Univ - Raleigh,Pack Motorsports,563.18,153.84,115,0,80,35,60.14,50.79,25.01,17.9,294.34,0,TRUE,TRUE,TRUE,
13,43,Univ of Illinois - Urbana Champaign,Off-Road Illini Baja SAE,534,123.77,214,54,90,70,51.31,0,54.56,17.9,196.23,0,TRUE,TRUE,TRUE,
14,46,Iowa State Univ,Cyclone Off-Road Racing,522.61,147.64,141,28,70,43,51.47,42.88,35.39,17.9,233.96,0,TRUE,TRUE,TRUE,
15,29,McGill Univ,McGill Baja Racing,509.82,116.68,212,61,90,61,53.99,0,48.38,14.32,181.13,0,TRUE,TRUE,TRUE,
16,70,Univ of Missouri - Kansas City,Roo Racing,503.73,131.33,229,84,90,55,42.53,38.02,50.79,0,143.4,0,TRUE,TRUE,FALSE,
17,55,Northwestern Univ,MotorCats,490.29,92.04,119,0,80,39,48.52,0,29.21,14.32,279.25,0,TRUE,TRUE,TRUE,
18,19,McMaster Univ,McMaster Baja Racing,485.4,120.81,191,41,80,70,40.73,44.04,14.57,21.48,173.58,0,TRUE,TRUE,TRUE,
19,76,Youngstown State Univ,Penguin Baja Racing,481.65,53.42,232,47,138,47,37.14,0,16.29,0,196.23,0,TRUE,TRUE,TRUE,
20,83,Michigan State University,MSU Baja Racing,441.28,122.79,160,49,60,51,48.24,42.3,14.36,17.9,158.49,0,TRUE,TRUE,TRUE,
21,32,Louisiana State Univ,Baja Bengals,432.05,106.9,61,11,40,10,12.3,0,62.39,32.21,264.15,0,TRUE,TRUE,FALSE,
22,53,Northeastern Univ,Baja SAE Northeastern,427.69,108.93,198,69,80,49,56.14,0,45.63,7.16,120.75,0,TRUE,TRUE,TRUE,
23,93,Univ of Calgary,Schulich Off Road,422.76,68.44,143,36,70,37,51.79,0,5.91,10.74,211.32,0,TRUE,TRUE,TRUE,
24,94,Queen's Univ,Queen's baja SAE,421.32,85.73,123.8,14,50,59.8,37.3,0,0.07,48.36,286.79,-75,TRUE,TRUE,FALSE,Penalty: Improper Driveline Documentation
25,20,Tennessee Tech Univ,TN Tech Baja,417.37,59.33,192,71,70,51,22.4,0,22.61,14.32,166.04,0,TRUE,TRUE,TRUE,
26,61,Univ of Calif - Los Angeles,Bruin Racing Baja,408.44,76.68,211,49,110,52,55.15,0,3.64,17.9,120.75,0,TRUE,TRUE,TRUE,
27,56,Pennsylvania College of Technology,PCT Baja,404.06,51.91,88,11,40,37,51.91,0,0,0,264.15,0,TRUE,TRUE,TRUE,
28,62,Centro Universitario Da FEI,Equipe FEI Baja,403.19,109.91,248,80,110,58,45.28,0,46.73,17.9,45.28,0,TRUE,TRUE,TRUE,
29,15,Clarkson University,Golden Knights Racing,380.15,89.66,132,57,20,55,32.46,0,42.88,14.32,158.49,0,TRUE,TRUE,TRUE,
30,21,Univ of Central Florida,Knights Racing,345.11,64.64,205,75,90,40,56.58,0,0.89,7.16,75.47,0,TRUE,TRUE,FALSE,
31,63,Georgia Institute of Technology,GT Off-Road,338.89,88.87,167,27,70,70,45.96,0,25.01,17.9,83.02,0,TRUE,TRUE,TRUE,
32,28,Cincinnati State Technical Comm College,Cincy Baja,337.94,129.91,42,7,30,5,10.58,42.05,59.38,17.9,166.04,0,TRUE,TRUE,TRUE,
33,18,Rowan Univ,Rowan Motorsports,333.88,93.32,150,61,40,49,31.39,0,54.77,7.16,90.57,0,TRUE,TRUE,TRUE,
34,47,Missouri University of Science and Tech,Miner Baja,313.64,70.7,92,42,40,10,16.81,0,46.73,7.16,150.94,0,TRUE,TRUE,TRUE,
35,52,Milwaukee School of Engrg,MSOE BAJA,305.46,47.88,84,59,20,5,20.84,0,12.71,14.32,173.58,0,TRUE,TRUE,TRUE,
36,66,Concordia University,Concordia Baja Racing,301.88,43.86,175,27,90,58,6.03,0,16.36,21.48,83.02,0,TRUE,TRUE,TRUE,
