Rank,Car #,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost Event (100),Design (150),Business Presentation (50),Acceleration (75),Maneuverability (75),Hill Climb (75),Suspension (75),Endurance (400),Adjustments,Registered,Passed Tech,Passed Tech On Time,Public Comments
1,73,Cornell Univ,Cornell Baja Racing,954.07,266.35,285.73,86,135,64.73,63.84,67.19,65.32,70,402,0,TRUE,TRUE,TRUE,
2,27,Ecole de Technologie Superieure,Baja ÉTS,927.16,246.16,280,87,120,73,67.97,64.2,60.74,53.25,401,0,TRUE,TRUE,TRUE,
3,72,Rochester Institute of Technology,RIOT RACING,889.64,255.6,278.49,90,127,61.49,60.79,66.94,61.56,66.3,355.56,0,TRUE,TRUE,TRUE,
4,69,Univ of Michigan - Ann Arbor,Michigan Baja Racing,838.28,235.52,298,98,130,70,68.08,60.62,50.47,56.36,304.76,0,TRUE,TRUE,TRUE,
5,76,Univ of Maryland - Baltimore County,UMBC Racing,790.69,236.09,180,85,90,5,58.26,60.7,65.74,51.39,374.6,0,TRUE,TRUE,TRUE,
6,65,Johns Hopkins Univ,Blue Jay Racing,788.81,223.4,267,79,125,63,57.82,62.79,67.26,35.52,298.41,0,TRUE,TRUE,TRUE,
7,22,Oregon State Univ,Beaver Racing,764.83,206.42,260,85,100,75,49.31,65.85,55.74,35.52,298.41,0,TRUE,TRUE,TRUE,
8,64,McMaster Univ,McMaster Baja Racing,752.16,196.66,219,59,90,70,44.74,62.26,54.14,35.52,336.51,0,TRUE,TRUE,TRUE,
9,66,Case Western Reserve Univ,CWRU Motorsports,738.02,270.09,239.36,64,120,55.36,70,68.49,70,61.61,228.57,0,TRUE,TRUE,TRUE,
10,36,California Polytechnic State Univ-SLO,Cal Poly Racing,734.88,235.63,200.84,36,100,64.84,65.43,70,67.63,32.56,298.41,0,TRUE,TRUE,TRUE,
11,71,Univ of Nevada - Las Vegas,Rebel Racing,702.13,211.16,237,97,70,70,55.32,58.85,64.42,32.56,253.97,0,TRUE,TRUE,TRUE,
12,75,The Ohio State University,Baja Buckeyes,679.03,220.94,204.12,52,100,52.12,51.55,43.44,62.52,63.43,253.97,0,TRUE,TRUE,TRUE,
13,34,Univ of Calif - Los Angeles,Bruin Racing Baja,671.46,175.14,236,66,100,70,54.27,27.83,51.08,41.97,260.32,0,TRUE,TRUE,TRUE,
14,45,Universidad De La Salle Bajio,Felinos,620.85,176,102,37,50,15,36.91,61.55,47.93,29.6,342.86,0,TRUE,TRUE,TRUE,
15,18,California State Poly Univ - Pomona,Bronco Racing,603.51,132.19,211,61,80,70,48.8,0,44.91,38.48,260.32,0,TRUE,TRUE,TRUE,
16,16,ITESM - Campus Guadalajara,Mad Rams,596.72,173.35,182.1,76,50,56.1,55.83,0,59.07,58.46,241.27,0,TRUE,TRUE,TRUE,
17,32,Oregon Inst of Tech,Oregon Tech Racing,557.71,106.04,165.96,46,60,59.96,50.07,11.62,11.8,32.56,285.71,0,TRUE,TRUE,TRUE,
18,35,Harding Univ,Bison Baja,515.66,149.56,131.18,27,50,54.18,47.31,43.95,25.74,32.56,234.92,0,TRUE,TRUE,TRUE,
19,43,San Diego State Univ,Aztec Baja Racing,509.57,173.75,177.08,72,60,45.08,49.74,27.13,28.57,68.3,158.73,0,TRUE,TRUE,TRUE,
20,29,Seattle Pacific Univ,Falcon Racing,476.66,100.27,103.38,11,50,42.38,15.82,20.54,31.34,32.56,273.02,0,TRUE,TRUE,TRUE,
21,24,Oklahoma State Univ,Cowboy Racing,455.12,132.81,138.19,46,40,52.19,33.83,46.86,40.27,11.84,184.13,0,TRUE,TRUE,TRUE,
22,68,Youngstown State Univ,Penguin Baja Racing,403.14,59.2,236,49,110,77,37.42,0,9.94,11.84,107.94,0,TRUE,TRUE,TRUE,
23,52,New Mexico Inst of Mining & Tech,Dirty Miners,398.49,133.55,157,17,70,70,39.16,20.94,43.86,29.6,107.94,0,TRUE,TRUE,TRUE,
24,23,Univ of San Diego,Torero Racing,391.76,106.24,76,46,20,10,42.67,0,39.88,23.68,209.52,0,TRUE,TRUE,TRUE,
25,28,Univ of Nevada - Reno,Wolf Pack Racing,391.64,97.42,72,37,30,5,41.73,0,29.04,26.64,222.22,0,TRUE,TRUE,TRUE,
