Competition,Overall Rank,Overall Percentile,Dynamic Rank,Dynamic Percentile,Static Rank,Static Percentile,Cost Rank,Cost Percentile,Design Rank,Design Percentile,Business Rank,Business Percentile,Acceleration Rank,Acceleration Percentile,Maneuverability Rank,Maneuverability Percentile,Hill Climb/Sled Pull Rank,Hill Climb/Sled Pull Percentile,Suspension Rank,Suspension Percentile,Endurance Rank,Endurance Percentile,Num Cars
2024.1,1,98.30508474576271,2,96.61016949152543,2,96.61016949152543,6,89.83050847457628,1,98.30508474576271,12,79.66101694915254,5,91.52542372881356,3,94.91525423728814,5,91.52542372881356,1,98.30508474576271,1,98.30508474576271,59
2023.3,6,92.20779220779221,3,96.1038961038961,4,94.8051948051948,10,87.01298701298701,6,92.20779220779221,3,96.1038961038961,4,94.8051948051948,1,98.7012987012987,22,71.42857142857143,6,92.20779220779221,13,83.11688311688312,77
2023.2,3,96.51162790697676,3,96.51162790697676,4,95.34883720930233,12,86.04651162790698,9,89.53488372093024,1,98.83720930232558,2,97.67441860465115,2,97.67441860465115,5,94.18604651162791,5,94.18604651162791,6,93.02325581395348,86
2023.1,3,96.34146341463415,4,95.1219512195122,5,93.90243902439023,5,93.90243902439023,10,87.8048780487805,4,95.1219512195122,4,95.1219512195122,2,97.5609756097561,22,73.17073170731707,7,91.46341463414635,2,97.5609756097561,82
2022.3,6,86.36363636363636,15,65.9090909090909,8,81.81818181818183,9,79.54545454545455,7,84.0909090909091,11,75.0,2,95.45454545454545,6,86.36363636363636,31,29.545454545454547,12,72.72727272727273,5,88.63636363636364,44
2022.2,4,95.45454545454545,6,93.18181818181817,6,93.18181818181817,9,89.77272727272727,5,94.31818181818183,29,67.04545454545455,3,96.5909090909091,5,94.31818181818183,52,40.909090909090914,8,90.9090909090909,11,87.5,88
2022.1,8,91.39784946236558,17,81.72043010752688,13,86.02150537634408,10,89.24731182795699,12,87.09677419354838,24,74.19354838709677,1,98.9247311827957,7,92.47311827956989,53,43.01075268817204,22,76.34408602150538,14,84.94623655913979,93
2021.2,6,92.6829268292683,9,89.02439024390245,6,92.6829268292683,9,89.02439024390245,1,98.78048780487805,77,6.097560975609756,14,82.92682926829268,6,92.6829268292683,16,80.48780487804879,9,89.02439024390245,13,84.14634146341463,82
2021.1,,,,,,,,,,,,,,,,,,,,,,,
2020.3,5,94.94949494949495,5,94.94949494949495,10,89.8989898989899,38,61.61616161616161,8,91.91919191919192,10,89.8989898989899,5,94.94949494949495,5,94.94949494949495,5,94.94949494949495,5,94.94949494949495,5,94.94949494949495,99
2020.2,5,95.0,5,95.0,9,91.0,30,70.0,5,95.0,5,95.0,5,95.0,5,95.0,5,95.0,5,95.0,5,95.0,100
2020.1,6,93.93939393939394,6,93.93939393939394,14,85.85858585858585,35,64.64646464646465,8,91.91919191919192,9,90.9090909090909,6,93.93939393939394,6,93.93939393939394,6,93.93939393939394,6,93.93939393939394,6,93.93939393939394,99
2019.3,4,95.83333333333334,2,97.91666666666666,8,91.66666666666666,16,83.33333333333334,3,96.875,38,60.416666666666664,5,94.79166666666666,11,88.54166666666666,15,84.375,2,97.91666666666666,10,89.58333333333334,96
2019.2,7,92.85714285714286,9,90.81632653061224,4,95.91836734693877,14,85.71428571428571,7,92.85714285714286,14,85.71428571428571,7,92.85714285714286,20,79.59183673469387,8,91.83673469387756,24,75.51020408163265,1,98.9795918367347,98
2019.1,9,90.625,6,93.75,6,93.75,15,84.375,5,94.79166666666666,11,88.54166666666666,12,87.5,7,92.70833333333334,22,77.08333333333334,16,83.33333333333334,20,79.16666666666666,96
2018.3,2,97.9381443298969,2,97.9381443298969,6,93.81443298969072,9,90.72164948453609,5,94.84536082474226,29,70.10309278350515,3,96.90721649484536,1,98.96907216494846,2,97.9381443298969,2,97.9381443298969,1,98.96907216494846,97
2018.2,1,98.94736842105263,6,93.6842105263158,4,95.78947368421052,11,88.42105263157895,4,95.78947368421052,10,89.47368421052632,3,96.84210526315789,1,98.94736842105263,40,57.89473684210527,5,94.73684210526315,1,98.94736842105263,95
2018.1,3,96.80851063829788,2,97.87234042553192,6,93.61702127659575,16,82.97872340425532,3,96.80851063829788,30,68.08510638297872,9,90.42553191489363,1,98.93617021276596,3,96.80851063829788,2,97.87234042553192,2,97.87234042553192,94
2017.3,22,79.62962962962963,1,99.07407407407408,6,94.44444444444444,12,88.88888888888889,7,93.51851851851852,39,63.888888888888886,3,97.22222222222221,2,98.14814814814815,4,96.29629629629629,6,94.44444444444444,55,49.074074074074076,108
2017.2,,,,,,,,,,,,,,,,,,,,,,,
2017.1,5,94.5054945054945,2,97.8021978021978,3,96.7032967032967,9,90.10989010989012,1,98.9010989010989,22,75.82417582417582,3,96.7032967032967,2,97.8021978021978,12,86.81318681318682,2,97.8021978021978,20,78.02197802197803,91
2016.3,4,95.91836734693877,3,96.93877551020408,11,88.77551020408163,20,79.59183673469387,12,87.75510204081633,18,81.63265306122449,6,93.87755102040816,11,88.77551020408163,6,93.87755102040816,1,98.9795918367347,2,97.95918367346938,98
