Competition,Overall Rank,Overall Percentile,Dynamic Rank,Dynamic Percentile,Static Rank,Static Percentile,Cost Rank,Cost Percentile,Design Rank,Design Percentile,Business Rank,Business Percentile,Acceleration Rank,Acceleration Percentile,Maneuverability Rank,Maneuverability Percentile,Hill Climb/Sled Pull Rank,Hill Climb/Sled Pull Percentile,Suspension Rank,Suspension Percentile,Endurance Rank,Endurance Percentile,Num Cars
2024.1,6,89.83050847457628,8,86.4406779661017,5,91.52542372881356,10,83.05084745762711,4,93.22033898305084,14,76.27118644067797,8,86.4406779661017,7,88.13559322033898,3,94.91525423728814,12,79.66101694915254,8,86.4406779661017,59
2023.3,12,84.4155844155844,4,94.8051948051948,5,93.5064935064935,19,75.32467532467533,4,94.8051948051948,11,85.71428571428571,12,84.4155844155844,9,88.31168831168831,8,89.6103896103896,10,87.01298701298701,22,71.42857142857143,77
2023.2,10,88.37209302325581,11,87.20930232558139,9,89.53488372093024,18,79.06976744186046,12,86.04651162790698,15,82.55813953488372,20,76.74418604651163,23,73.25581395348837,8,90.69767441860465,12,86.04651162790698,18,79.06976744186046,86
2023.1,10,87.8048780487805,20,75.60975609756098,3,96.34146341463415,9,89.02439024390245,3,96.34146341463415,15,81.70731707317073,22,73.17073170731707,16,80.48780487804879,38,53.65853658536586,14,82.92682926829268,17,79.26829268292683,82
2022.3,8,81.81818181818183,8,81.81818181818183,3,93.18181818181817,10,77.27272727272727,2,95.45454545454545,21,52.27272727272727,13,70.45454545454545,16,63.63636363636363,4,90.9090909090909,9,79.54545454545455,11,75.0,44
2022.2,39,55.68181818181818,31,64.77272727272727,4,95.45454545454545,12,86.36363636363636,2,97.72727272727273,43,51.13636363636363,28,68.18181818181817,43,51.13636363636363,20,77.27272727272727,39,55.68181818181818,48,45.45454545454545,88
2022.1,19,79.56989247311827,20,78.49462365591397,3,96.7741935483871,11,88.17204301075269,1,98.9247311827957,39,58.06451612903226,25,73.11827956989248,25,73.11827956989248,40,56.98924731182796,19,79.56989247311827,48,48.38709677419355,93
2021.2,30,63.41463414634146,32,60.97560975609756,10,87.8048780487805,10,87.8048780487805,15,81.70731707317073,4,95.1219512195122,41,50.0,17,79.26829268292683,36,56.09756097560976,41,50.0,33,59.756097560975604,82
2021.1,,,,,,,,,,,,,,,,,,,,,,,
2020.3,,,,,,,,,,,,,,,,,,,,,,,
2020.2,62,38.0,62,38.0,62,38.0,62,38.0,62,38.0,62,38.0,62,38.0,62,38.0,62,38.0,62,38.0,62,38.0,100
2020.1,58,41.41414141414141,58,41.41414141414141,58,41.41414141414141,58,41.41414141414141,58,41.41414141414141,58,41.41414141414141,58,41.41414141414141,58,41.41414141414141,58,41.41414141414141,58,41.41414141414141,58,41.41414141414141,99
2019.3,40,58.333333333333336,32,66.66666666666666,22,77.08333333333334,36,62.5,31,67.70833333333334,14,85.41666666666666,27,71.875,33,65.625,57,40.625,27,71.875,50,47.91666666666667,96
2019.2,8,91.83673469387756,16,83.6734693877551,12,87.75510204081633,21,78.57142857142857,16,83.6734693877551,3,96.93877551020408,12,87.75510204081633,32,67.3469387755102,21,78.57142857142857,30,69.38775510204081,13,86.73469387755102,98
2019.1,19,80.20833333333334,23,76.04166666666666,11,88.54166666666666,23,76.04166666666666,11,88.54166666666666,17,82.29166666666666,13,86.45833333333334,20,79.16666666666666,51,46.875,27,71.875,25,73.95833333333334,96
2018.3,23,76.28865979381443,31,68.04123711340206,23,76.28865979381443,22,77.31958762886599,25,74.22680412371135,31,68.04123711340206,25,74.22680412371135,31,68.04123711340206,58,40.20618556701031,26,73.19587628865979,26,73.19587628865979,97
2018.2,53,44.21052631578947,53,44.21052631578947,28,70.52631578947368,32,66.3157894736842,32,66.3157894736842,51,46.31578947368421,63,33.68421052631579,45,52.63157894736842,21,77.89473684210526,62,34.73684210526316,58,38.94736842105263,95
2018.1,77,18.085106382978726,83,11.702127659574469,17,81.91489361702128,28,70.2127659574468,12,87.2340425531915,73,22.340425531914892,80,14.893617021276595,78,17.02127659574468,81,13.829787234042554,78,17.02127659574468,78,17.02127659574468,94
2017.3,42,61.111111111111114,23,78.70370370370371,10,90.74074074074075,11,89.81481481481481,17,84.25925925925925,10,90.74074074074075,19,82.4074074074074,31,71.29629629629629,35,67.5925925925926,19,82.4074074074074,68,37.03703703703704,108
2017.2,17,84.25925925925925,28,74.07407407407408,14,87.03703703703704,17,84.25925925925925,16,85.18518518518519,24,77.77777777777779,21,80.55555555555556,28,74.07407407407408,30,72.22222222222221,31,71.29629629629629,26,75.92592592592592,108
2017.1,23,74.72527472527473,28,69.23076923076923,14,84.61538461538461,7,92.3076923076923,15,83.51648351648352,46,49.45054945054945,19,79.12087912087912,27,70.32967032967034,14,84.61538461538461,54,40.65934065934066,34,62.637362637362635,91
2016.3,42,57.14285714285714,17,82.6530612244898,13,86.73469387755102,3,96.93877551020408,24,75.51020408163265,21,78.57142857142857,26,73.46938775510205,27,72.44897959183673,26,73.46938775510205,12,87.75510204081633,74,24.489795918367346,98
2016.2,44,55.10204081632652,42,57.14285714285714,11,88.77551020408163,4,95.91836734693877,17,82.6530612244898,10,89.79591836734694,39,60.204081632653065,51,47.95918367346938,55,43.87755102040816,53,45.91836734693878,66,32.6530612244898,98
2016.1,,,,,,,,,,,,,,,,,,,,,,,
2015.3,9,90.81632653061224,21,78.57142857142857,17,82.6530612244898,6,93.87755102040816,18,81.63265306122449,44,55.10204081632652,10,89.79591836734694,34,65.3061224489796,46,53.06122448979592,17,82.6530612244898,9,90.81632653061224,98
2015.2,8,91.91919191919192,17,82.82828282828282,13,86.86868686868688,3,96.96969696969697,18,81.81818181818183,24,75.75757575757575,15,84.84848484848484,25,74.74747474747475,36,63.63636363636363,19,80.8080808080808,8,91.91919191919192,99
2015.1,,,,,,,,,,,,,,,,,,,,,,,
2014.3,35,70.58823529411765,53,55.46218487394958,25,78.99159663865547,7,94.11764705882352,33,72.26890756302521,55,53.78151260504202,27,77.31092436974791,56,52.94117647058824,56,52.94117647058824,14,88.23529411764706,39,67.22689075630252,119
2014.2,58,50.0,62,46.55172413793103,17,85.34482758620689,8,93.10344827586206,26,77.58620689655173,17,85.34482758620689,26,77.58620689655173,64,44.827586206896555,23,80.17241379310344,74,36.206896551724135,77,33.62068965517241,116
2014.1,,,,,,,,,,,,,,,,,,,,,,,
2013.3,39,61.0,6,94.0,17,83.0,20,80.0,21,79.0,39,61.0,6,94.0,1,99.0,18,82.0,51,49.0,62,38.0,100
2013.2,59,41.0,77,23.0,21,79.0,65,35.0,5,95.0,59,41.0,76,24.0,66,34.0,69,31.0,66,34.0,50,50.0,100
2013.1,,,,,,,,,,,,,,,,,,,,,,,
2012.3,9,90.81632653061224,15,84.6938775510204,16,83.6734693877551,39,60.204081632653065,9,90.81632653061224,9,90.81632653061224,10,89.79591836734694,3,96.93877551020408,7,92.85714285714286,38,61.224489795918366,12,87.75510204081633,98
2012.2,14,87.82608695652175,7,93.91304347826087,32,72.17391304347827,59,48.69565217391305,22,80.8695652173913,14,87.82608695652175,25,78.26086956521739,30,73.91304347826086,3,97.3913043478261,14,87.82608695652175,14,87.82608695652175,115
2012.1,,,,,,,,,,,,,,,,,,,,,,,
2011.3,17,85.21739130434783,25,78.26086956521739,14,87.82608695652175,18,84.34782608695653,17,85.21739130434783,12,89.56521739130436,21,81.73913043478261,7,93.91304347826087,33,71.30434782608695,59,48.69565217391305,25,78.26086956521739,115
2011.2,31,44.642857142857146,23,58.92857142857143,29,48.214285714285715,12,78.57142857142857,39,30.357142857142854,31,44.642857142857146,18,67.85714285714286,18,67.85714285714286,18,67.85714285714286,31,44.642857142857146,33,41.07142857142857,56
2011.1,,,,,,,,,,,,,,,,,,,,,,,
