Competition,Overall Rank,Overall Percentile,Dynamic Rank,Dynamic Percentile,Static Rank,Static Percentile,Cost Rank,Cost Percentile,Design Rank,Design Percentile,Business Rank,Business Percentile,Acceleration Rank,Acceleration Percentile,Maneuverability Rank,Maneuverability Percentile,Hill Climb/Sled Pull Rank,Hill Climb/Sled Pull Percentile,Suspension Rank,Suspension Percentile,Endurance Rank,Endurance Percentile,Num Cars
2024.1,7,88.13559322033898,11,81.35593220338984,6,89.83050847457628,8,86.4406779661017,8,86.4406779661017,2,96.61016949152543,16,72.88135593220339,5,91.52542372881356,11,81.35593220338984,13,77.96610169491525,9,84.7457627118644,59
2023.3,,,,,,,,,,,,,,,,,,,,,,,
2023.2,2,97.67441860465115,1,98.83720930232558,6,93.02325581395348,7,91.86046511627907,15,82.55813953488372,7,91.86046511627907,21,75.5813953488372,3,96.51162790697676,7,91.86046511627907,1,98.83720930232558,1,98.83720930232558,86
2023.1,,,,,,,,,,,,,,,,,,,,,,,
2022.3,4,90.9090909090909,4,90.9090909090909,6,86.36363636363636,5,88.63636363636364,4,90.9090909090909,23,47.72727272727273,19,56.81818181818182,4,90.9090909090909,8,81.81818181818183,2,95.45454545454545,6,86.36363636363636,44
2022.2,,,,,,,,,,,,,,,,,,,,,,,
2022.1,4,95.6989247311828,10,89.24731182795699,9,90.32258064516128,7,92.47311827956989,7,92.47311827956989,47,49.46236559139785,32,65.59139784946237,2,97.84946236559139,29,68.81720430107528,13,86.02150537634408,10,89.24731182795699,93
2021.2,,,,,,,,,,,,,,,,,,,,,,,
2021.1,3,91.17647058823529,4,88.23529411764706,4,88.23529411764706,4,88.23529411764706,3,91.17647058823529,8,76.47058823529412,14,58.82352941176471,1,97.05882352941177,19,44.11764705882353,4,88.23529411764706,3,91.17647058823529,34
2020.3,,,,,,,,,,,,,,,,,,,,,,,
2020.2,3,97.0,3,97.0,5,95.0,14,86.0,4,96.0,8,92.0,3,97.0,3,97.0,3,97.0,3,97.0,3,97.0,100
2020.1,3,96.96969696969697,3,96.96969696969697,7,92.92929292929293,19,80.8080808080808,7,92.92929292929293,11,88.88888888888889,3,96.96969696969697,3,96.96969696969697,3,96.96969696969697,3,96.96969696969697,3,96.96969696969697,99
2019.3,,,,,,,,,,,,,,,,,,,,,,,
2019.2,3,96.93877551020408,3,96.93877551020408,5,94.89795918367348,28,71.42857142857143,6,93.87755102040816,11,88.77551020408163,11,88.77551020408163,2,97.95918367346938,6,93.87755102040816,7,92.85714285714286,6,93.87755102040816,98
2019.1,1,98.95833333333334,1,98.95833333333334,7,92.70833333333334,24,75.0,7,92.70833333333334,1,98.95833333333334,18,81.25,4,95.83333333333334,10,89.58333333333334,1,98.95833333333334,1,98.95833333333334,96
2018.3,22,77.31958762886599,9,90.72164948453609,7,92.78350515463917,14,85.56701030927834,15,84.5360824742268,11,88.65979381443299,27,72.16494845360825,9,90.72164948453609,9,90.72164948453609,11,88.65979381443299,46,52.57731958762887,97
2018.2,,,,,,,,,,,,,,,,,,,,,,,
2018.1,,,,,,,,,,,,,,,,,,,,,,,
2017.3,2,98.14814814814815,5,95.37037037037037,5,95.37037037037037,13,87.96296296296296,5,95.37037037037037,2,98.14814814814815,33,69.44444444444444,4,96.29629629629629,6,94.44444444444444,26,75.92592592592592,4,96.29629629629629,108
2017.2,,,,,,,,,,,,,,,,,,,,,,,
2017.1,8,91.20879120879121,3,96.7032967032967,9,90.10989010989012,17,81.31868131868131,9,90.10989010989012,5,94.5054945054945,22,75.82417582417582,24,73.62637362637363,1,98.9010989010989,4,95.6043956043956,21,76.92307692307693,91
2016.3,,,,,,,,,,,,,,,,,,,,,,,
2016.2,,,,,,,,,,,,,,,,,,,,,,,
2016.1,6,93.93939393939394,10,89.8989898989899,7,92.92929292929293,23,76.76767676767676,8,91.91919191919192,1,98.98989898989899,5,94.94949494949495,3,96.96969696969697,76,23.232323232323232,2,97.97979797979798,7,92.92929292929293,99
2015.3,6,93.87755102040816,7,92.85714285714286,5,94.89795918367348,13,86.73469387755102,4,95.91836734693877,6,93.87755102040816,16,83.6734693877551,13,86.73469387755102,12,87.75510204081633,1,98.9795918367347,24,75.51020408163265,98
2015.2,3,96.96969696969697,5,94.94949494949495,1,98.98989898989899,12,87.87878787878788,2,97.97979797979798,19,80.8080808080808,26,73.73737373737373,6,93.93939393939394,6,93.93939393939394,2,97.97979797979798,5,94.94949494949495,99
2015.1,2,98.0,3,97.0,5,95.0,6,94.0,7,93.0,2,98.0,11,89.0,7,93.0,6,94.0,4,96.0,2,98.0,100
2014.3,2,98.31932773109243,2,98.31932773109243,3,97.47899159663865,6,94.9579831932773,6,94.9579831932773,10,91.59663865546219,24,79.83193277310924,3,97.47899159663865,1,99.15966386554622,3,97.47899159663865,2,98.31932773109243,119
2014.2,,,,,,,,,,,,,,,,,,,,,,,
2014.1,1,99.04761904761905,3,97.14285714285714,2,98.09523809523809,5,95.23809523809523,4,96.19047619047619,3,97.14285714285714,29,72.38095238095238,2,98.09523809523809,9,91.42857142857143,4,96.19047619047619,2,98.09523809523809,105
2013.3,,,,,,,,,,,,,,,,,,,,,,,
2013.2,,,,,,,,,,,,,,,,,,,,,,,
2013.1,2,97.5,1,98.75,2,97.5,1,98.75,6,92.5,1,98.75,1,98.75,2,97.5,4,95.0,1,98.75,16,80.0,80
2012.3,2,97.95918367346938,3,96.93877551020408,3,96.93877551020408,24,75.51020408163265,1,98.9795918367347,2,97.95918367346938,3,96.93877551020408,4,95.91836734693877,11,88.77551020408163,8,91.83673469387756,1,98.9795918367347,98
2012.2,2,98.26086956521739,2,98.26086956521739,10,91.30434782608695,33,71.30434782608695,5,95.65217391304348,2,98.26086956521739,10,91.30434782608695,3,97.3913043478261,57,50.43478260869565,2,98.26086956521739,1,99.1304347826087,115
2012.1,2,97.40259740259741,2,97.40259740259741,4,94.8051948051948,10,87.01298701298701,2,97.40259740259741,7,90.9090909090909,1,98.7012987012987,2,97.40259740259741,1,98.7012987012987,4,94.8051948051948,2,97.40259740259741,77
2011.3,4,96.52173913043478,5,95.65217391304348,9,92.17391304347827,29,74.78260869565217,4,96.52173913043478,26,77.39130434782608,1,99.1304347826087,9,92.17391304347827,21,81.73913043478261,10,91.30434782608695,7,93.91304347826087,115
2011.2,,,,,,,,,,,,,,,,,,,,,,,
2011.1,,,,,,,,,,,,,,,,,,,,,,,
2010.3,,,,,,,,,,,,,,,,,,,,,,,
2010.2,,,,,,,,,,,,,,,,,,,,,,,
2010.1,4,95.65217391304348,5,94.56521739130434,18,80.43478260869566,34,63.04347826086957,16,82.6086956521739,5,94.56521739130434,8,91.30434782608695,1,98.91304347826086,23,75.0,15,83.69565217391305,3,96.73913043478261,92
2009.3,,,,,,,,,,,,,,,,,,,,,,,
2009.2,1,99.16666666666667,3,97.5,15,87.5,49,59.166666666666664,9,92.5,1,99.16666666666667,10,91.66666666666666,4,96.66666666666667,34,71.66666666666667,5,95.83333333333334,1,99.16666666666667,120
2009.1,1,98.80952380952381,1,98.80952380952381,4,95.23809523809523,24,71.42857142857143,1,98.80952380952381,3,96.42857142857143,3,96.42857142857143,2,97.61904761904762,2,97.61904761904762,1,98.80952380952381,1,98.80952380952381,84
2008.3,,,,,,,,,,,,,,,,,,,,,,,
2008.2,2,97.97979797979798,6,93.93939393939394,1,98.98989898989899,14,85.85858585858585,1,98.98989898989899,1,98.98989898989899,16,83.83838383838383,2,97.97979797979798,12,87.87878787878788,8,91.91919191919192,8,91.91919191919192,99
2008.1,,,,,,,,,,,,,,,,,,,,,,,
2007.3,,,,,,,,,,,,,,,,,,,,,,,
2007.2,,,,,,,,,,,,,,,,,,,,,,,
2007.1,,,,,,,,,,,,,,,,,,,,,,,
