Competition,Overall Rank,Overall Percentile,Dynamic Rank,Dynamic Percentile,Static Rank,Static Percentile,Cost Rank,Cost Percentile,Design Rank,Design Percentile,Business Rank,Business Percentile,Acceleration Rank,Acceleration Percentile,Maneuverability Rank,Maneuverability Percentile,Hill Climb/Sled Pull Rank,Hill Climb/Sled Pull Percentile,Suspension Rank,Suspension Percentile,Endurance Rank,Endurance Percentile,Num Cars
2024.3,5,94.11764705882352,6,92.94117647058823,4,95.29411764705881,2,97.6470588235294,3,96.47058823529412,18,78.82352941176471,13,84.70588235294117,9,89.41176470588236,11,87.05882352941177,5,94.11764705882352,9,89.41176470588236,85
2024.2,4,96.22641509433963,6,94.33962264150944,2,98.11320754716981,3,97.16981132075472,1,99.05660377358491,19,82.0754716981132,7,93.39622641509435,4,96.22641509433963,12,88.67924528301887,7,93.39622641509435,11,89.62264150943396,106
2024.1,3,94.91525423728814,3,94.91525423728814,4,93.22033898305084,4,93.22033898305084,3,94.91525423728814,17,71.1864406779661,6,89.83050847457628,4,93.22033898305084,8,86.4406779661017,3,94.91525423728814,4,93.22033898305084,59
2023.3,4,94.8051948051948,12,84.4155844155844,3,96.1038961038961,2,97.40259740259741,2,97.40259740259741,7,90.9090909090909,17,77.92207792207793,6,92.20779220779221,43,44.15584415584416,7,90.9090909090909,8,89.6103896103896,77
2023.2,8,90.69767441860465,12,86.04651162790698,3,96.51162790697676,2,97.67441860465115,11,87.20930232558139,8,90.69767441860465,27,68.6046511627907,8,90.69767441860465,13,84.88372093023256,30,65.11627906976744,20,76.74418604651163,86
2023.1,4,95.1219512195122,1,98.78048780487805,4,95.1219512195122,3,96.34146341463415,11,86.58536585365853,5,93.90243902439023,31,62.19512195121951,1,98.78048780487805,5,93.90243902439023,1,98.78048780487805,13,84.14634146341463,82
2022.3,3,93.18181818181817,1,97.72727272727273,5,88.63636363636364,4,90.9090909090909,6,86.36363636363636,9,79.54545454545455,7,84.0909090909091,5,88.63636363636364,17,61.36363636363637,1,97.72727272727273,7,84.0909090909091,44
2022.2,1,98.86363636363636,1,98.86363636363636,9,89.77272727272727,5,94.31818181818183,15,82.95454545454545,20,77.27272727272727,10,88.63636363636364,14,84.0909090909091,4,95.45454545454545,2,97.72727272727273,3,96.5909090909091,88
2022.1,3,96.7741935483871,6,93.54838709677419,4,95.6989247311828,5,94.6236559139785,4,95.6989247311828,14,84.94623655913979,31,66.66666666666666,5,94.6236559139785,20,78.49462365591397,2,97.84946236559139,8,91.39784946236558,93
2021.2,2,97.5609756097561,1,98.78048780487805,1,98.78048780487805,3,96.34146341463415,3,96.34146341463415,10,87.8048780487805,9,89.02439024390245,3,96.34146341463415,4,95.1219512195122,1,98.78048780487805,6,92.6829268292683,82
2021.1,1,97.05882352941177,2,94.11764705882352,1,97.05882352941177,1,97.05882352941177,2,94.11764705882352,3,91.17647058823529,11,67.64705882352942,4,88.23529411764706,2,94.11764705882352,3,91.17647058823529,2,94.11764705882352,34
2020.3,2,97.97979797979798,2,97.97979797979798,2,97.97979797979798,4,95.95959595959596,2,97.97979797979798,13,86.86868686868688,2,97.97979797979798,2,97.97979797979798,2,97.97979797979798,2,97.97979797979798,2,97.97979797979798,99
2020.2,2,98.0,2,98.0,2,98.0,3,97.0,1,99.0,10,90.0,2,98.0,2,98.0,2,98.0,2,98.0,2,98.0,100
2020.1,2,97.97979797979798,2,97.97979797979798,2,97.97979797979798,3,96.96969696969697,1,98.98989898989899,12,87.87878787878788,2,97.97979797979798,2,97.97979797979798,2,97.97979797979798,2,97.97979797979798,2,97.97979797979798,99
2019.3,10,89.58333333333334,1,98.95833333333334,6,93.75,10,89.58333333333334,13,86.45833333333334,1,98.95833333333334,4,95.83333333333334,10,89.58333333333334,1,98.95833333333334,1,98.95833333333334,29,69.79166666666666,96
2019.2,2,97.95918367346938,6,93.87755102040816,3,96.93877551020408,7,92.85714285714286,2,97.95918367346938,10,89.79591836734694,8,91.83673469387756,16,83.6734693877551,7,92.85714285714286,3,96.93877551020408,9,90.81632653061224,98
2019.1,4,95.83333333333334,4,95.83333333333334,3,96.875,7,92.70833333333334,3,96.875,3,96.875,14,85.41666666666666,25,73.95833333333334,30,68.75,3,96.875,18,81.25,96
2018.3,1,98.96907216494846,1,98.96907216494846,2,97.9381443298969,16,83.50515463917526,1,98.96907216494846,1,98.96907216494846,6,93.81443298969072,2,97.9381443298969,11,88.65979381443299,1,98.96907216494846,2,97.9381443298969,97
2018.2,3,96.84210526315789,5,94.73684210526315,2,97.89473684210527,18,81.05263157894737,1,98.94736842105263,1,98.94736842105263,5,94.73684210526315,2,97.89473684210527,36,62.10526315789474,1,98.94736842105263,5,94.73684210526315,95
2018.1,1,98.93617021276596,1,98.93617021276596,2,97.87234042553192,11,88.29787234042553,1,98.93617021276596,2,97.87234042553192,5,94.68085106382979,2,97.87234042553192,5,94.68085106382979,1,98.93617021276596,5,94.68085106382979,94
2017.3,4,96.29629629629629,4,96.29629629629629,3,97.22222222222221,6,94.44444444444444,1,99.07407407407408,44,59.25925925925925,16,85.18518518518519,3,97.22222222222221,15,86.11111111111111,4,96.29629629629629,14,87.03703703703704,108
2017.2,28,74.07407407407408,43,60.18518518518518,3,97.22222222222221,10,90.74074074074075,1,99.07407407407408,17,84.25925925925925,2,98.14814814814815,46,57.407407407407405,13,87.96296296296296,41,62.03703703703704,37,65.74074074074075,108
2017.1,3,96.7032967032967,5,94.5054945054945,5,94.5054945054945,5,94.5054945054945,8,91.20879120879121,2,97.8021978021978,13,85.71428571428571,3,96.7032967032967,22,75.82417582417582,3,96.7032967032967,6,93.4065934065934,91
2016.3,2,97.95918367346938,2,97.95918367346938,4,95.91836734693877,10,89.79591836734694,3,96.93877551020408,11,88.77551020408163,8,91.83673469387756,2,97.95918367346938,2,97.95918367346938,4,95.91836734693877,4,95.91836734693877,98
2016.2,1,98.9795918367347,9,90.81632653061224,3,96.93877551020408,9,90.81632653061224,4,95.91836734693877,16,83.6734693877551,2,97.95918367346938,4,95.91836734693877,24,75.51020408163265,27,72.44897959183673,2,97.95918367346938,98
2016.1,3,96.96969696969697,8,91.91919191919192,2,97.97979797979798,14,85.85858585858585,3,96.96969696969697,12,87.87878787878788,4,95.95959595959596,5,94.94949494949495,23,76.76767676767676,15,84.84848484848484,4,95.95959595959596,99
2015.3,8,91.83673469387756,2,97.95918367346938,9,90.81632653061224,21,78.57142857142857,11,88.77551020408163,16,83.6734693877551,1,98.9795918367347,7,92.85714285714286,2,97.95918367346938,3,96.93877551020408,5,94.89795918367348,98
2015.2,10,89.8989898989899,1,98.98989898989899,4,95.95959595959596,20,79.7979797979798,3,96.96969696969697,10,89.8989898989899,2,97.97979797979798,11,88.88888888888889,1,98.98989898989899,1,98.98989898989899,38,61.61616161616161,99
2015.1,3,97.0,1,99.0,4,96.0,15,85.0,2,98.0,14,86.0,4,96.0,4,96.0,3,97.0,5,95.0,7,93.0,100
2014.3,5,95.7983193277311,6,94.9579831932773,4,96.63865546218487,41,65.54621848739495,1,99.15966386554622,1,99.15966386554622,2,98.31932773109243,2,98.31932773109243,50,57.98319327731093,6,94.9579831932773,4,96.63865546218487,119
2014.2,5,95.6896551724138,4,96.55172413793103,5,95.6896551724138,43,62.93103448275862,2,98.27586206896551,32,72.41379310344827,4,96.55172413793103,4,96.55172413793103,52,55.172413793103445,1,99.13793103448276,8,93.10344827586206,116
2014.1,2,98.09523809523809,4,96.19047619047619,5,95.23809523809523,33,68.57142857142857,2,98.09523809523809,33,68.57142857142857,6,94.28571428571428,10,90.47619047619048,4,96.19047619047619,1,99.04761904761905,4,96.19047619047619,105
2013.3,3,97.0,8,92.0,10,90.0,56,44.0,4,96.0,3,97.0,2,98.0,2,98.0,4,96.0,65,35.0,5,95.0,100
2013.2,9,91.0,1,99.0,4,96.0,44,56.00000000000001,3,97.0,9,91.0,6,94.0,1,99.0,6,94.0,3,97.0,39,61.0,100
2013.1,10,87.5,3,96.25,35,56.25,38,52.5,39,51.24999999999999,19,76.25,10,87.5,4,95.0,2,97.5,2,97.5,6,92.5,80
2012.3,3,96.93877551020408,4,95.91836734693877,10,89.79591836734694,36,63.26530612244898,6,93.87755102040816,3,96.93877551020408,6,93.87755102040816,14,85.71428571428571,8,91.83673469387756,3,96.93877551020408,6,93.87755102040816,98
2012.2,10,91.30434782608695,28,75.65217391304347,18,84.34782608695653,53,53.91304347826087,7,93.91304347826087,10,91.30434782608695,9,92.17391304347827,40,65.21739130434783,71,38.26086956521739,12,89.56521739130436,9,92.17391304347827,115
2012.1,3,96.1038961038961,3,96.1038961038961,10,87.01298701298701,27,64.93506493506493,3,96.1038961038961,13,83.11688311688312,3,96.1038961038961,5,93.5064935064935,2,97.40259740259741,9,88.31168831168831,9,88.31168831168831,77
2011.3,8,93.04347826086956,12,89.56521739130436,3,97.3913043478261,40,65.21739130434783,1,99.1304347826087,15,86.95652173913044,15,86.95652173913044,15,86.95652173913044,27,76.52173913043478,23,80.0,10,91.30434782608695,115
2011.2,8,85.71428571428571,9,83.92857142857143,10,82.14285714285714,23,58.92857142857143,7,87.5,8,85.71428571428571,19,66.07142857142857,16,71.42857142857143,11,80.35714285714286,9,83.92857142857143,11,80.35714285714286,56
2011.1,9,91.0,9,91.0,21,79.0,41,59.0,21,79.0,9,91.0,31,69.0,9,91.0,47,53.0,11,89.0,11,89.0,100
2010.3,3,96.55172413793103,5,94.25287356321839,15,82.75862068965517,41,52.87356321839081,2,97.70114942528735,3,96.55172413793103,15,82.75862068965517,5,94.25287356321839,9,89.65517241379311,4,95.40229885057471,2,97.70114942528735,87
2010.2,24,76.0,3,97.0,47,53.0,81,19.0,2,98.0,24,76.0,11,89.0,2,98.0,30,70.0,9,91.0,34,66.0,100
2010.1,1,98.91304347826086,1,98.91304347826086,14,84.78260869565217,33,64.13043478260869,8,91.30434782608695,9,90.21739130434783,24,73.91304347826086,2,97.82608695652173,1,98.91304347826086,8,91.30434782608695,5,94.56521739130434,92
2009.3,5,94.94949494949495,6,93.93939393939394,3,96.96969696969697,46,53.535353535353536,1,98.98989898989899,5,94.94949494949495,8,91.91919191919192,1,98.98989898989899,55,44.44444444444444,1,98.98989898989899,6,93.93939393939394,99
2009.2,15,87.5,25,79.16666666666666,29,75.83333333333333,76,36.666666666666664,19,84.16666666666667,15,87.5,17,85.83333333333333,23,80.83333333333333,18,85.0,17,85.83333333333333,13,89.16666666666667,120
2009.1,9,89.28571428571429,9,89.28571428571429,25,70.23809523809523,47,44.047619047619044,5,94.04761904761905,18,78.57142857142857,1,98.80952380952381,1,98.80952380952381,16,80.95238095238095,22,73.80952380952381,7,91.66666666666666,84
2008.3,2,97.61904761904762,8,90.47619047619048,7,91.66666666666666,24,71.42857142857143,9,89.28571428571429,2,97.61904761904762,1,98.80952380952381,28,66.66666666666666,14,83.33333333333334,12,85.71428571428571,1,98.80952380952381,84
2008.2,,,,,,,,,,,,,,,,,,,,,,,
2008.1,12,88.88888888888889,18,83.33333333333334,22,79.62962962962963,62,42.592592592592595,10,90.74074074074075,12,88.88888888888889,3,97.22222222222221,23,78.70370370370371,64,40.74074074074074,19,82.4074074074074,42,61.111111111111114,108
2007.3,,,,,,,,,,,,,,,,,,,,,,,
2007.2,17,75.0,6,91.17647058823529,33,51.470588235294116,29,57.35294117647059,35,48.529411764705884,17,75.0,9,86.76470588235294,17,75.0,10,85.29411764705883,13,80.88235294117648,16,76.47058823529412,68
2007.1,,,,,,,,,,,,,,,,,,,,,,,
