Competition,Overall Rank,Overall Percentile,Dynamic Rank,Dynamic Percentile,Static Rank,Static Percentile,Cost Rank,Cost Percentile,Design Rank,Design Percentile,Business Rank,Business Percentile,Acceleration Rank,Acceleration Percentile,Maneuverability Rank,Maneuverability Percentile,Hill Climb/Sled Pull Rank,Hill Climb/Sled Pull Percentile,Suspension Rank,Suspension Percentile,Endurance Rank,Endurance Percentile,Num Cars
2024.1,4,93.22033898305084,7,88.13559322033898,1,98.30508474576271,1,98.30508474576271,2,96.61016949152543,4,93.22033898305084,2,96.61016949152543,12,79.66101694915254,17,71.1864406779661,7,88.13559322033898,7,88.13559322033898,59
2023.3,2,97.40259740259741,9,88.31168831168831,2,97.40259740259741,4,94.8051948051948,3,96.1038961038961,1,98.7012987012987,2,97.40259740259741,5,93.5064935064935,39,49.35064935064935,11,85.71428571428571,7,90.9090909090909,77
2023.2,4,95.34883720930233,10,88.37209302325581,2,97.67441860465115,3,96.51162790697676,10,88.37209302325581,2,97.67441860465115,7,91.86046511627907,7,91.86046511627907,19,77.90697674418605,19,77.90697674418605,3,96.51162790697676,86
2023.1,1,98.78048780487805,3,96.34146341463415,2,97.5609756097561,1,98.78048780487805,4,95.1219512195122,1,98.78048780487805,3,96.34146341463415,6,92.6829268292683,19,76.82926829268293,3,96.34146341463415,1,98.78048780487805,82
2022.3,1,97.72727272727273,2,95.45454545454545,1,97.72727272727273,2,95.45454545454545,3,93.18181818181817,4,90.9090909090909,1,97.72727272727273,2,95.45454545454545,7,84.0909090909091,5,88.63636363636364,1,97.72727272727273,44
2022.2,2,97.72727272727273,10,88.63636363636364,1,98.86363636363636,3,96.5909090909091,4,95.45454545454545,12,86.36363636363636,1,98.86363636363636,9,89.77272727272727,13,85.22727272727273,29,67.04545454545455,4,95.45454545454545,88
2022.1,1,98.9247311827957,7,92.47311827956989,1,98.9247311827957,3,96.7741935483871,3,96.7741935483871,5,94.6236559139785,8,91.39784946236558,4,95.6989247311828,28,69.89247311827957,12,87.09677419354838,2,97.84946236559139,93
2021.2,1,98.78048780487805,3,96.34146341463415,4,95.1219512195122,7,91.46341463414635,7,91.46341463414635,1,98.78048780487805,3,96.34146341463415,2,97.5609756097561,6,92.6829268292683,7,91.46341463414635,4,95.1219512195122,82
2021.1,,,,,,,,,,,,,,,,,,,,,,,
2020.3,1,98.98989898989899,1,98.98989898989899,1,98.98989898989899,5,94.94949494949495,4,95.95959595959596,1,98.98989898989899,1,98.98989898989899,1,98.98989898989899,1,98.98989898989899,1,98.98989898989899,1,98.98989898989899,99
2020.2,1,99.0,1,99.0,1,99.0,4,96.0,3,97.0,1,99.0,1,99.0,1,99.0,1,99.0,1,99.0,1,99.0,100
2020.1,1,98.98989898989899,1,98.98989898989899,1,98.98989898989899,4,95.95959595959596,3,96.96969696969697,2,97.97979797979798,1,98.98989898989899,1,98.98989898989899,1,98.98989898989899,1,98.98989898989899,1,98.98989898989899,99
2019.3,1,98.95833333333334,3,96.875,2,97.91666666666666,4,95.83333333333334,2,97.91666666666666,4,95.83333333333334,2,97.91666666666666,1,98.95833333333334,2,97.91666666666666,23,76.04166666666666,1,98.95833333333334,96
2019.2,1,98.9795918367347,1,98.9795918367347,2,97.95918367346938,3,96.93877551020408,1,98.9795918367347,4,95.91836734693877,1,98.9795918367347,1,98.9795918367347,1,98.9795918367347,1,98.9795918367347,4,95.91836734693877,98
2019.1,2,97.91666666666666,3,96.875,2,97.91666666666666,4,95.83333333333334,1,98.95833333333334,15,84.375,3,96.875,1,98.95833333333334,18,81.25,10,89.58333333333334,4,95.83333333333334,96
2018.3,3,96.90721649484536,3,96.90721649484536,1,98.96907216494846,1,98.96907216494846,2,97.9381443298969,22,77.31958762886599,1,98.96907216494846,6,93.81443298969072,1,98.96907216494846,22,77.31958762886599,11,88.65979381443299,97
