Competition,Overall Rank,Overall Percentile,Dynamic Rank,Dynamic Percentile,Static Rank,Static Percentile,Cost Rank,Cost Percentile,Design Rank,Design Percentile,Business Rank,Business Percentile,Acceleration Rank,Acceleration Percentile,Maneuverability Rank,Maneuverability Percentile,Hill Climb/Sled Pull Rank,Hill Climb/Sled Pull Percentile,Suspension Rank,Suspension Percentile,Endurance Rank,Endurance Percentile,Num Cars
2024.1,11,81.35593220338984,10,83.05084745762711,8,86.4406779661017,2,96.61016949152543,15,74.57627118644068,6,89.83050847457628,10,83.05084745762711,14,76.27118644067797,6,89.83050847457628,16,72.88135593220339,15,74.57627118644068,59
2023.3,7,90.9090909090909,33,57.14285714285714,11,85.71428571428571,5,93.5064935064935,14,81.81818181818183,16,79.22077922077922,5,93.5064935064935,41,46.75324675324675,14,81.81818181818183,31,59.74025974025974,1,98.7012987012987,77
2023.2,51,40.69767441860465,65,24.418604651162788,27,68.6046511627907,1,98.83720930232558,69,19.767441860465116,19,77.90697674418605,63,26.744186046511626,53,38.372093023255815,64,25.581395348837212,60,30.23255813953488,50,41.86046511627907,86
2023.1,,,,,,,,,,,,,,,,,,,,,,,
2022.3,7,84.0909090909091,12,72.72727272727273,7,84.0909090909091,1,97.72727272727273,14,68.18181818181817,5,88.63636363636364,4,90.9090909090909,19,56.81818181818182,26,40.909090909090914,8,81.81818181818183,3,93.18181818181817,44
2022.2,9,89.77272727272727,30,65.9090909090909,3,96.5909090909091,1,98.86363636363636,13,85.22727272727273,1,98.86363636363636,14,84.0909090909091,25,71.5909090909091,40,54.54545454545454,31,64.77272727272727,8,90.9090909090909,88
2022.1,20,78.49462365591397,29,68.81720430107528,7,92.47311827956989,1,98.9247311827957,15,83.87096774193549,4,95.6989247311828,7,92.47311827956989,33,64.51612903225806,41,55.91397849462365,21,77.41935483870968,25,73.11827956989248,93
2021.2,39,52.4390243902439,23,71.95121951219512,11,86.58536585365853,16,80.48780487804879,12,85.36585365853658,9,89.02439024390245,21,74.39024390243902,23,71.95121951219512,23,71.95121951219512,26,68.29268292682927,42,48.78048780487805,82
2021.1,23,32.35294117647059,8,76.47058823529412,6,82.35294117647058,7,79.41176470588235,6,82.35294117647058,2,94.11764705882352,2,94.11764705882352,23,32.35294117647059,14,58.82352941176471,10,70.58823529411765,23,32.35294117647059,34
2020.3,7,92.92929292929293,7,92.92929292929293,4,95.95959595959596,8,91.91919191919192,7,92.92929292929293,19,80.8080808080808,7,92.92929292929293,7,92.92929292929293,7,92.92929292929293,7,92.92929292929293,7,92.92929292929293,99
2020.2,,,,,,,,,,,,,,,,,,,,,,,
2020.1,8,91.91919191919192,8,91.91919191919192,4,95.95959595959596,6,93.93939393939394,6,93.93939393939394,14,85.85858585858585,8,91.91919191919192,8,91.91919191919192,8,91.91919191919192,8,91.91919191919192,8,91.91919191919192,99
2019.3,20,79.16666666666666,26,72.91666666666666,21,78.125,44,54.166666666666664,22,77.08333333333334,15,84.375,29,69.79166666666666,8,91.66666666666666,19,80.20833333333334,62,35.41666666666667,22,77.08333333333334,96
2019.2,33,66.3265306122449,26,73.46938775510205,47,52.04081632653062,46,53.06122448979592,54,44.89795918367347,19,80.61224489795919,32,67.3469387755102,13,86.73469387755102,68,30.612244897959183,25,74.48979591836735,34,65.3061224489796,98
2019.1,15,84.375,51,46.875,17,82.29166666666666,37,61.458333333333336,16,83.33333333333334,8,91.66666666666666,36,62.5,43,55.208333333333336,60,37.5,37,61.458333333333336,10,89.58333333333334,96
2018.3,21,78.35051546391753,42,56.70103092783505,59,39.175257731958766,63,35.051546391752574,61,37.11340206185567,8,91.75257731958763,62,36.08247422680412,19,80.41237113402062,64,34.02061855670103,20,79.38144329896907,5,94.84536082474226,97
2018.2,40,57.89473684210527,24,74.73684210526315,54,43.15789473684211,75,21.052631578947366,45,52.63157894736842,11,88.42105263157895,41,56.84210526315789,14,85.26315789473684,51,46.31578947368421,24,74.73684210526315,34,64.21052631578948,95
2018.1,23,75.53191489361703,16,82.97872340425532,43,54.25531914893617,66,29.78723404255319,23,75.53191489361703,48,48.93617021276596,39,58.51063829787234,20,78.72340425531915,29,69.14893617021278,6,93.61702127659575,27,71.27659574468085,94
2017.3,34,68.51851851851852,29,73.14814814814815,43,60.18518518518518,59,45.370370370370374,46,57.407407407407405,12,88.88888888888889,18,83.33333333333334,38,64.81481481481481,37,65.74074074074075,44,59.25925925925925,35,67.5925925925926,108
2017.2,41,62.03703703703704,58,46.2962962962963,70,35.18518518518518,76,29.629629629629626,68,37.03703703703704,7,93.51851851851852,57,47.22222222222222,50,53.70370370370371,53,50.92592592592593,49,54.629629629629626,13,87.96296296296296,108
2017.1,17,81.31868131868131,8,91.20879120879121,40,56.043956043956044,36,60.43956043956044,50,45.05494505494506,30,67.03296703296702,21,76.92307692307693,16,82.41758241758241,26,71.42857142857143,5,94.5054945054945,5,94.5054945054945,91
2016.3,58,40.816326530612244,23,76.53061224489795,52,46.93877551020408,67,31.63265306122449,59,39.795918367346935,23,76.53061224489795,33,66.3265306122449,39,60.204081632653065,23,76.53061224489795,14,85.71428571428571,72,26.53061224489796,98
2016.2,,,,,,,,,,,,,,,,,,,,,,,
2016.1,41,58.58585858585859,11,88.88888888888889,58,41.41414141414141,55,44.44444444444444,61,38.38383838383838,60,39.39393939393939,18,81.81818181818183,28,71.71717171717171,37,62.62626262626263,8,91.91919191919192,55,44.44444444444444,99
2015.3,,,,,,,,,,,,,,,,,,,,,,,
2015.2,97,2.0202020202020203,97,2.0202020202020203,97,2.0202020202020203,97,2.0202020202020203,97,2.0202020202020203,97,2.0202020202020203,97,2.0202020202020203,97,2.0202020202020203,97,2.0202020202020203,97,2.0202020202020203,97,2.0202020202020203,99
2015.1,52,48.0,57,43.0,34,66.0,44,56.00000000000001,13,87.0,81,19.0,58,42.0,62,38.0,60,40.0,25,75.0,50,50.0,100
2014.3,63,47.05882352941176,30,74.78991596638656,80,32.773109243697476,52,56.30252100840336,85,28.57142857142857,85,28.57142857142857,38,68.0672268907563,17,85.71428571428571,69,42.016806722689076,44,63.02521008403361,56,52.94117647058824,119
2014.2,,,,,,,,,,,,,,,,,,,,,,,
2014.1,53,49.523809523809526,33,68.57142857142857,75,28.57142857142857,44,58.0952380952381,76,27.61904761904762,80,23.809523809523807,41,60.952380952380956,57,45.714285714285715,50,52.38095238095239,18,82.85714285714286,53,49.523809523809526,105
2013.3,,,,,,,,,,,,,,,,,,,,,,,
2013.2,,,,,,,,,,,,,,,,,,,,,,,
2013.1,55,31.25,33,58.75,62,22.5,52,35.0,61,23.75,60,25.0,48,40.0,7,91.25,25,68.75,52,35.0,49,38.75,80
2012.3,,,,,,,,,,,,,,,,,,,,,,,
2012.2,,,,,,,,,,,,,,,,,,,,,,,
2012.1,53,31.16883116883117,48,37.66233766233766,55,28.57142857142857,40,48.05194805194805,55,28.57142857142857,56,27.27272727272727,47,38.961038961038966,53,31.16883116883117,53,31.16883116883117,45,41.55844155844156,53,31.16883116883117,77
2011.3,,,,,,,,,,,,,,,,,,,,,,,
2011.2,,,,,,,,,,,,,,,,,,,,,,,
2011.1,87,13.0,86,14.000000000000002,81,19.0,96,4.0,76,24.0,86,14.000000000000002,86,14.000000000000002,86,14.000000000000002,86,14.000000000000002,86,14.000000000000002,86,14.000000000000002,100
2010.3,,,,,,,,,,,,,,,,,,,,,,,
2010.2,,,,,,,,,,,,,,,,,,,,,,,
2010.1,79,14.130434782608695,79,14.130434782608695,79,14.130434782608695,82,10.869565217391305,78,15.217391304347828,79,14.130434782608695,79,14.130434782608695,79,14.130434782608695,79,14.130434782608695,79,14.130434782608695,79,14.130434782608695,92
2009.3,,,,,,,,,,,,,,,,,,,,,,,
2009.2,,,,,,,,,,,,,,,,,,,,,,,
2009.1,62,26.190476190476193,71,15.476190476190476,61,27.380952380952383,71,15.476190476190476,56,33.33333333333333,71,15.476190476190476,71,15.476190476190476,71,15.476190476190476,71,15.476190476190476,71,15.476190476190476,71,15.476190476190476,84
2008.3,,,,,,,,,,,,,,,,,,,,,,,
2008.2,76,23.232323232323232,76,23.232323232323232,59,40.4040404040404,56,43.43434343434344,63,36.36363636363637,59,40.4040404040404,76,23.232323232323232,76,23.232323232323232,76,23.232323232323232,76,23.232323232323232,77,22.22222222222222,99
2008.1,,,,,,,,,,,,,,,,,,,,,,,
2007.3,,,,,,,,,,,,,,,,,,,,,,,
2007.2,,,,,,,,,,,,,,,,,,,,,,,
2007.1,,,,,,,,,,,,,,,,,,,,,,,
